T (C),normalized Savitsky-Golay derivative
43.01470881220001,1.4358061041882019e-05
43.50478302190004,1.6300617153945576e-05
53.79634142450004,1.8231549880614623e-05
54.77648984380005,2.025069084811676e-05
58.20700931140004,2.2617230211202498e-05
71.43901297190001,2.4766713290811002e-05
74.8695324395,2.7114531711043973e-05
81.7305713746,2.965156113251218e-05
87.12138768070002,3.202157858401504e-05
88.10153610000003,3.479044287510971e-05
88.10153610000003,3.760083456250401e-05
90.55190714830002,4.0603425466036863e-05
92.0221297772,4.384125345410652e-05
95.4526492448,4.6992972132168404e-05
103.78391080880004,5.004641832633951e-05
114.07546921150004,5.3091651590873695e-05
115.05561763080004,5.614039396442472e-05
117.99606288870001,5.916937376833933e-05
135.63873443610004,6.208204733659033e-05
137.10895706500003,6.485445303743088e-05
139.5593281133,6.747676805158936e-05
140.04940232290005,7.033419588042287e-05
141.51962495190003,7.316389269027808e-05
150.34096072560004,7.611297552931737e-05
158.67222228960003,7.91449954534164e-05
160.1424449186,8.206555583791588e-05
168.47370648260005,8.505685640089789e-05
180.7255617238,8.804383919682082e-05
181.70571014310002,9.100160755550427e-05
182.68585856240003,9.351780701262607e-05
184.1560811914,9.59222353554877e-05
184.1560811914,9.807279622215341e-05
185.1362296107,0.00010007469233138443
185.6263038203,0.0001020736313680178
186.11637803000002,0.00010390679033149383
188.56674907820002,0.00010546895725203194
200.3285301098,0.00010681129747907392
203.26897536770002,0.00010787366077443699
207.1895690449,0.00010878744181320707
207.1895690449,0.00010939309446551901
207.67964325460002,0.00010987509850897776
208.1697174642,0.00011012896860704827
208.1697174642,0.000110297825282462
209.1498658835,0.000110244885938737
211.11016272210003,0.00010984392136969996
211.6002369318,0.0001091885362801992
212.5803853511,0.00010850650741052441
212.5803853511,0.00010765390074150277
215.0307563993,0.00010639111287704562
231.20320531780004,0.00010473974712239252
231.20320531780004,0.00010238453106543982
231.69327952740002,9.937598142617235e-05
232.18335373710005,9.600938999015819e-05
232.67342794670003,9.21983097508771e-05
233.1635021564,8.804629629514801e-05
233.65357636600004,8.328085141997566e-05
237.5741700432,7.833629145828772e-05
252.27639633270007,7.349134498540734e-05
252.76647054240004,6.881252304244335e-05
253.74661896170005,6.411935499954579e-05
253.74661896170005,5.965413378697413e-05
253.74661896170005,5.5168723637151026e-05
255.21684159059998,5.072925381208345e-05
257.1771384292,4.6387290868992386e-05
259.1374352678,4.225506035906159e-05
260.6076578968,3.834859975591065e-05
274.8198099766,3.460415023122168e-05
275.3098841863,3.144426456054316e-05
276.2900326056,2.8881084814683258e-05
276.78010681520004,2.672873589364233e-05
277.76025523450005,2.5295712851224864e-05
278.74040365380006,2.418358938502629e-05
278.74040365380006,2.3269824027779734e-05
279.72055207310007,2.2831163599056288e-05
282.17092312140005,2.2731018004468535e-05
283.15107154070006,2.336153937793034e-05
284.6212941696,2.4773898282872516e-05
289.52203626610003,2.6644095848556964e-05
293.44262994330006,2.877221502693765e-05
300.3036688784,3.1486956049512645e-05
300.7937430881,3.4505074542525157e-05
300.7937430881,3.7499314001482355e-05
301.2838172977,4.030521404729364e-05
301.7738915074,4.313227307180848e-05
305.20441097490004,4.579900861389443e-05
306.18455939420005,4.828053003509522e-05
321.3768598934,5.029822403522914e-05
323.33715673200004,5.238665454702801e-05
323.8272309416001,5.4103481505166576e-05
325.29745357060006,5.545645161773605e-05
326.7676761995,5.717325425976738e-05
329.2180472478,5.849160552805115e-05
329.7081214574,5.966748626971695e-05
329.7081214574,6.072575258719712e-05
330.1981956671,6.150257515520212e-05
330.6882698767,6.201280587618847e-05
332.64856671530003,6.256291226994246e-05
347.35079300480004,6.283246650476544e-05
347.8408672144001,6.280139792689411e-05
348.8210156337,6.20835903793731e-05
350.7813124723,6.0827705820022294e-05
351.7614608916,5.9316960709173055e-05
351.7614608916,5.766918381556556e-05
352.7416093109,5.595361428684569e-05
370.38428085830003,5.420309780541964e-05
370.38428085830003,5.235822313183035e-05
371.36442927760004,5.040260519039532e-05
371.8545034873,4.87846882973039e-05
371.8545034873,4.745376127675675e-05
372.34457769690005,4.6440486660659406e-05
372.8346519066,4.550699515873086e-05
372.8346519066,4.505682074507649e-05
375.77509716450004,4.471989128159955e-05
376.75524558380005,4.472989270942338e-05
378.2254682127,4.518116424437931e-05
379.205616632,4.570258575869883e-05
384.1063587285,4.644900512267455e-05
393.9078429215,4.7553602098727806e-05
395.37806555049997,4.882398306563749e-05
396.3582139698,5.037425962691403e-05
397.3383623891,5.190027538849111e-05
399.2986592277,5.338113651355918e-05
400.278807647,5.48130154100091e-05
401.2589560663,5.61546011715691e-05
408.610069211,5.728739705063708e-05
417.43140498470007,5.825717186159943e-05
