m,
npv-z,npv
 1.0000000E-002, 0.0000000E+000
 1.2658228E-001, 0.0000000E+000
 2.5316456E-001, 0.0000000E+000
 3.7974684E-001, 0.0000000E+000
 5.0632911E-001, 0.0000000E+000
 6.3291139E-001, 0.0000000E+000
 7.5949367E-001, 0.0000000E+000
 8.8607595E-001, 0.0000000E+000
 1.0126582E+000, 0.0000000E+000
 1.1392405E+000, 0.0000000E+000
 1.2658228E+000, 0.0000000E+000
 1.3924051E+000, 0.0000000E+000
 1.5189873E+000, 0.0000000E+000
 1.6455696E+000, 0.0000000E+000
 1.7721519E+000, 0.0000000E+000
 1.8987342E+000, 0.0000000E+000
 2.0253165E+000, 0.0000000E+000
 2.1518987E+000, 0.0000000E+000
 2.2784810E+000, 0.0000000E+000
 2.4050633E+000, 3.1830989E-002
 2.5316456E+000, 6.3661977E-002
 2.6582278E+000, 1.9098593E-001
 2.7848101E+000, 9.5492966E-001
 2.9113924E+000, 2.0690143E+000
 3.0379747E+000, 5.1884511E+000
 3.1645570E+000, 1.1268170E+001
 3.2911392E+000, 2.6292397E+001
 3.4177215E+000, 5.5354089E+001
 3.5443038E+000, 1.0838452E+002
 3.6708861E+000, 2.0078988E+002
 3.7974684E+000, 3.5131862E+002
 3.9240506E+000, 5.8343019E+002
 4.0506329E+000, 9.1635050E+002
 4.1772152E+000, 1.3560319E+003
 4.3037975E+000, 1.8982728E+003
 4.4303797E+000, 2.5228923E+003
 4.5569620E+000, 3.1555651E+003
 4.6835443E+000, 3.7321516E+003
 4.8101266E+000, 4.1699550E+003
 4.9367089E+000, 4.4184914E+003
 5.0632911E+000, 4.4200511E+003
 5.1898734E+000, 4.1676313E+003
 5.3164557E+000, 3.7372445E+003
 5.4430380E+000, 3.1684248E+003
 5.5696203E+000, 2.5353382E+003
 5.6962025E+000, 1.9199179E+003
 5.8227848E+000, 1.3687325E+003
 5.9493671E+000, 9.2122064E+002
 6.0759494E+000, 5.8677244E+002
 6.2025316E+000, 3.4998172E+002
 6.3291139E+000, 1.9493297E+002
 6.4556962E+000, 1.0373719E+002
 6.5822785E+000, 5.1566202E+001
 6.7088608E+000, 2.4796340E+001
 6.8354430E+000, 1.0631550E+001
 6.9620253E+000, 3.9788736E+000
 7.0886076E+000, 1.5278875E+000
 7.2151899E+000, 5.4112681E-001
 7.3417722E+000, 1.5915494E-001
 7.4683544E+000, 9.5492966E-002
 7.5949367E+000, 3.1830989E-002
 7.7215190E+000, 0.0000000E+000
 7.8481013E+000, 0.0000000E+000
 7.9746835E+000, 0.0000000E+000
 8.1012658E+000, 0.0000000E+000
 8.2278481E+000, 0.0000000E+000
 8.3544304E+000, 0.0000000E+000
 8.4810127E+000, 0.0000000E+000
 8.6075949E+000, 0.0000000E+000
 8.7341772E+000, 0.0000000E+000
 8.8607595E+000, 0.0000000E+000
 8.9873418E+000, 0.0000000E+000
 9.1139241E+000, 0.0000000E+000
 9.2405063E+000, 0.0000000E+000
 9.3670886E+000, 0.0000000E+000
 9.4936709E+000, 0.0000000E+000
 9.6202532E+000, 0.0000000E+000
 9.7468354E+000, 0.0000000E+000
 9.8734177E+000, 0.0000000E+000
 9.9900000E+000, 0.0000000E+000
