g,Group_Number,Group_Title,Symbol,Color,Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,1,MCFRS Flashover,diamond,Red,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,2,MCFRS Ranch,circle,Black,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,Quantity,Comparison_Quantities,Scatter_Plot_Title,Ind_Title,Dep_Title,Plot_Min,Plot_Max,%error,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,1,HGL_Temperature,FDS Hot Gas Layer Temperature,Measured Temperature Rise ($^\circ$C),Predicted Temperature Rise ($^\circ$C),0,800,13,tl,tl,8,ScatterPlots/HGL_Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,2,HGL_Depth,FDS Hot Gas Layer Depth,Measured Layer Depth (m),Predicted Layer Depth (m),0,16,13,tl,tl,8,ScatterPlots/HGL_Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,Quantity,Dataname,Group,d1_Filename,d1_Col_Name_Row,d1_Ind_Col_Name,d1_Dep_Col_Name,d1_Data_Row,d1_Key,d1_Start,d1_End,d1_Comp_Start,d1_Comp_End,d1_Initial_Value,d2_Filename,d2_Col_Name_Row,d2_Ind_Col_Name,d2_Dep_Col_Name,d2_Data_Row,d2_Key,d2_Start,d2_End,d2_Comp_Start,d2_Comp_End,d2_Initial_Value,Metric,Plot_Title,Ind_Title,Dep_Title,Min_Ind,Max_Ind,Scale_Ind,Min_Dep,Max_Dep,Scale_Dep,Flip_Axis,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename
d,0,MCFRS_Flashover_Temperature_0,1,Experimental_Data/MCFRS_Flashover_00_exp_devc.csv,2,Time,"['exp1','exp2']",3,"[' ',' ']",0,1,0,1,0,FDS_Output_Files/MCFRS_Flashover_00_devc.csv,2,FDS Time,"['TC_A1','TC_A2']",3,"['TCA1 FDS','TCA2 FDS']",0,1000,0,1000,0,max,Flashover 0 Temperatures,Time (s),Temperature,0,300,1,20,620,1,no,tl,br,8,MCFRS_Flashover_00_temp
d,0,MCFRS_Flashover_HRR_0,1,Experimental_Data/MCFRS_Flashover_00_exp_hrr.csv,2,Time,HRR,3,HRR exp,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Flashover_00_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Flashover 0 HRR,Time (s),HRR (kW),0,300,1,0,1000,1,no,tl,br,8,MCFRS_Flashover_00_hrr
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0,MFRI_Tower_HRR_0,1,Experimental_Data/MFRI_Tower_00_exp_hrr.csv,2,Time,HRR,3,HRR exp,0,1000,0,1000,0,FDS_Output_Files/MFRI_Training_Tower_00_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Training Tower HRR,Time (s),HRR (kW),0,400,1,0,3000,1,no,tl,br,8,MFRI_Training_Tower_00_hrr
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0,Ranch_1_hrr,1,Experimental_Data/dummy.csv,2,Time,HRR,3,HRR exp,0,1,0,1000,0,FDS_Output_Files/ranch_01_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Ranch 1 HRR,Time (s),HRR (kW),0,600,1,0,7000,1,no,tl,br,8,ranch_01_hrr
d,0,Ranch_2_hrr,1,Experimental_Data/dummy.csv,2,Time,HRR,3,HRR exp,0,1,0,1000,0,FDS_Output_Files/ranch_02_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Ranch 2 HRR,Time (s),HRR (kW),0,600,1,0,7000,1,no,tl,br,8,ranch_02_hrr
d,0,Ranch_3_hrr,1,Experimental_Data/dummy.csv,2,Time,HRR,3,HRR exp,0,1,0,1000,0,FDS_Output_Files/ranch_03_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Ranch 3 HRR,Time (s),HRR (kW),0,600,1,0,7000,1,no,tl,br,8,ranch_03_hrr
d,0,Ranch_4_hrr,1,Experimental_Data/dummy.csv,2,Time,HRR,3,HRR exp,0,1,0,1000,0,FDS_Output_Files/ranch_04_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Ranch 4 HRR,Time (s),HRR (kW),0,600,1,0,7000,1,no,tl,br,8,ranch_04_hrr
d,0,Ranch_1_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5','exp6','exp7','exp8']",3,"[' ',' ',' ',' ',' ',' ',' ',' ']",0,1,0,1000,0,FDS_Output_Files/ranch_01_devc.csv,2,FDS Time,"['TC_A1','TC_A2','TC_A3','TC_A4','TC_A5','TC_A6','TC_A7','TC_A8']",3,"['TCA1 FDS','TCA2 FDS','TCA3 FDS','TCA4 FDS','TCA5 FDS','TCA6 FDS','TCA7 FDS','TCA8 FDS']",0,4000,0,4000,0,max,Ranch 1 Temp,Time (s),Temperature $^0$C,0,600,1,20,1020,1,no,tl,br,8,ranch_01_thcp_a
d,0,Ranch_2_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5','exp6','exp7','exp8']",3,"[' ',' ',' ',' ',' ',' ',' ',' ']",0,1,0,1000,0,FDS_Output_Files/ranch_02_devc.csv,2,FDS Time,"['TC_A1','TC_A2','TC_A3','TC_A4','TC_A5','TC_A6','TC_A7','TC_A8']",3,"['TCA1 FDS','TCA2 FDS','TCA3 FDS','TCA4 FDS','TCA5 FDS','TCA6 FDS','TCA7 FDS','TCA8 FDS']",0,4000,0,4000,0,max,Ranch 2 Temp,Time (s),Temperature $^0$C,0,600,1,20,1020,1,no,tl,br,8,ranch_02_thcp_a
d,0,Ranch_3_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5','exp6','exp7','exp8']",3,"[' ',' ',' ',' ',' ',' ',' ',' ']",0,1,0,1000,0,FDS_Output_Files/ranch_03_devc.csv,2,FDS Time,"['TC_A1','TC_A2','TC_A3','TC_A4','TC_A5','TC_A6','TC_A7','TC_A8']",3,"['TCA1 FDS','TCA2 FDS','TCA3 FDS','TCA4 FDS','TCA5 FDS','TCA6 FDS','TCA7 FDS','TCA8 FDS']",0,4000,0,4000,0,max,Ranch 3 Temp,Time (s),Temperature $^0$C,0,600,1,20,1020,1,no,tl,br,8,ranch_03_thcp_a
d,0,Ranch_4_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5','exp6','exp7','exp8']",3,"[' ',' ',' ',' ',' ',' ',' ',' ']",0,1,0,1000,0,FDS_Output_Files/ranch_04_devc.csv,2,FDS Time,"['TC_A1','TC_A2','TC_A3','TC_A4','TC_A5','TC_A6','TC_A7','TC_A8']",3,"['TCA1 FDS','TCA2 FDS','TCA3 FDS','TCA4 FDS','TCA5 FDS','TCA6 FDS','TCA7 FDS','TCA8 FDS']",0,4000,0,4000,0,max,Ranch 4 Temp,Time (s),Temperature $^0$C,0,600,1,20,1020,1,no,tl,br,8,ranch_04_thcp_a
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,0,MCFRS_Ranch_hrr,1,Experimental_Data/MCFRS_Ranch_00_exp_hrr.csv,2,Time,HRR,3,HRR exp,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Ranch_00_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Ranch 4 HRR,Time (s),HRR (kW),0,600,1,0,3000,1,no,tl,br,8,MCFRS_Ranch_00_hrr
