g,Group_Number,Group_Title,Symbol,Color,Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,1,VTT,diamond,Red,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,2,NIST/NRC,circle,Black,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,Quantity,Comparison_Quantities,Scatter_Plot_Title,Ind_Title,Dep_Title,Plot_Min,Plot_Max,%error,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,1,HGL_Temperature,FDS Hot Gas Layer Temperature,Measured Temperature Rise ($^\circ$C),Predicted Temperature Rise ($^\circ$C),0,800,13,tl,br,8,ScatterPlots/HGL_Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,2,HGL_Depth,FDS Hot Gas Layer Depth,Measured Layer Depth (m),Predicted Layer Depth (m),0,16,13,tl,br,8,ScatterPlots/HGL_Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,Quantity,Dataname,Group,d1_Filename,d1_Col_Name_Row,d1_Ind_Col_Name,d1_Dep_Col_Name,d1_Data_Row,d1_Key,d1_Start,d1_End,d1_Comp_Start,d1_Comp_End,d1_Initial_Value,d2_Filename,d2_Col_Name_Row,d2_Ind_Col_Name,d2_Dep_Col_Name,d2_Data_Row,d2_Key,d2_Start,d2_End,d2_Comp_Start,d2_Comp_End,d2_Initial_Value,Metric,Plot_Title,Ind_Title,Dep_Title,Min_Ind,Max_Ind,Scale_Ind,Min_Dep,Max_Dep,Scale_Dep,Flip_Axis,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename
d,0,emissivity,1,Radiation/emissivity.csv,1,Time,Emissivity,2,Analytical (Emissivity),0,1000,0,1000,0,Radiation/emissivity_devc.csv,2,FDS Time,EMISSIVITY,3,FDS (EMISSIVITY),0,1000,0,1000,1,max,Surface Emissivity (emissivity),Time (s),Emissivity,0,10,1,0,1,1,no,tr,bl,8,emissivity
d,0,enthalpy,1,Pyrolysis/enthalpy.csv,1,Time,T_slab,2,Analytical (T\_slab),0,1000,0,1000,0,Pyrolysis/enthalpy_devc.csv,2,FDS Time,T_slab,3,FDS (T\_slab),0,1000,0,1000,20,max,Surface Temperature (enthalpy),Time (s),Temperature ($^\circ$C),0,4,1,0,200,1,no,tl,br,8,enthalpy
d,0,heat_conduction_a,1,Heat_Transfer/heat_conduction_a.csv,1,Time,"['Front','4 cm','Back']",2,"['Analytical (Front)','Analytical (4 cm)','Analytical (Back)']",0,1000,0,1000,0,Heat_Transfer/heat_conduction_a_devc.csv,2,FDS Time,"['Front','4 cm','Back']",3,"['FDS (Front)','FDS (4 cm)','FDS (Back)']",0,1000,0,1000,20,max,Surface Temperature (heat\_conduction\_a),Time (min),Temperature ($^\circ$C),0,30,60,0,150,1,no,tl,br,8,heat_conduction_a
d,0,heat_conduction_b,1,Heat_Transfer/heat_conduction_b.csv,1,Time,"['Front','4 cm','Back']",2,"['Analytical (Front)','Analytical (4 cm)','Analytical (Back)']",0,1000,0,1000,0,Heat_Transfer/heat_conduction_b_devc.csv,2,FDS Time,"['Front','4 cm','Back']",3,"['FDS (Front)','FDS (4 cm)','FDS (Back)']",0,1000,0,1000,20,max,Surface Temperature (heat\_conduction\_b),Time (min),Temperature ($^\circ$C),0,300,60,0,150,1,no,tl,br,8,heat_conduction_b
d,0,heat_conduction_c,1,Heat_Transfer/heat_conduction_c.csv,1,Time,"['Front','4 cm','Back']",2,"['Analytical (Front)','Analytical (4 cm)','Analytical (Back)']",0,1000,0,1000,0,Heat_Transfer/heat_conduction_c_devc.csv,2,FDS Time,"['Front','4 cm','Back']",3,"['FDS (Front)','FDS (4 cm)','FDS (Back)']",0,1000,0,1000,20,max,Surface Temperature (heat\_conduction\_c),Time (min),Temperature ($^\circ$C),0,600,60,0,150,1,no,tl,br,8,heat_conduction_c
d,0,heat_conduction_d,1,Heat_Transfer/heat_conduction_d.csv,1,Time,"['Front','4 cm','Back']",2,"['Analytical (Front)','Analytical (4 cm)','Analytical (Back)']",0,1000,0,1000,0,Heat_Transfer/heat_conduction_d_devc.csv,2,FDS Time,"['Front','4 cm','Back']",3,"['FDS (Front)','FDS (4 cm)','FDS (Back)']",0,1000,0,1000,20,max,Surface Temperature (heat\_conduction\_d),Time (min),Temperature ($^\circ$C),0,800,60,0,150,1,no,tl,br,8,heat_conduction_d
