s,C,
Time,Isothermal,
0.00E+00,2.00E+01,
1.00E+00,2.00E+01,
2.00E+00,2.00E+01,
3.00E+00,2.00E+01,
4.00E+00,2.00E+01,
5.00E+00,2.00E+01,
