Time,u,v
0,0,0.000
1,0.395,0.593
2,0.76,1.140
3,1.074,1.611
4,1.328,1.992
5,1.523,2.285
6,1.667,2.501
7,1.771,2.657
8,1.843,2.765
9,1.894,2.841
10,1.928,2.892
11,1.951,2.927
12,1.967,2.951
13,1.978,2.967
14,1.985,2.978
15,1.99,2.985
16,1.993,2.990
17,1.996,2.994
18,1.997,2.996
19,1.998,2.997
20,1.999,2.999
