s, kg, kg, kg, kg, kg
Time, depo_all, depo_none, depo_gravitational, depo_thermophoretic, depo_turbulent
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.500000, 0.000002, 0.000002, 0.000002, 0.000002, 0.000002
1.000000, 0.000023, 0.000023, 0.000023, 0.000023, 0.000023
1.500000, 0.000064, 0.000064, 0.000064, 0.000064, 0.000064
2.000000, 0.000116, 0.000116, 0.000116, 0.000116, 0.000116
2.510000, 0.000179, 0.000179, 0.000179, 0.000179, 0.000179
3.010000, 0.000229, 0.000230, 0.000230, 0.000229, 0.000230
3.510000, 0.000284, 0.000285, 0.000285, 0.000284, 0.000285
4.010000, 0.000342, 0.000343, 0.000343, 0.000342, 0.000343
4.510000, 0.000395, 0.000397, 0.000397, 0.000395, 0.000397
5.010000, 0.000432, 0.000435, 0.000435, 0.000432, 0.000435
5.510000, 0.000444, 0.000448, 0.000448, 0.000444, 0.000448
6.010000, 0.000444, 0.000448, 0.000448, 0.000444, 0.000448
6.510000, 0.000443, 0.000448, 0.000448, 0.000443, 0.000448
7.010000, 0.000442, 0.000448, 0.000448, 0.000442, 0.000448
7.510000, 0.000442, 0.000448, 0.000448, 0.000442, 0.000448
8.010000, 0.000441, 0.000448, 0.000448, 0.000441, 0.000448
8.510000, 0.000441, 0.000448, 0.000448, 0.000441, 0.000448
9.010000, 0.000440, 0.000448, 0.000448, 0.000440, 0.000448
9.510000, 0.000440, 0.000448, 0.000448, 0.000440, 0.000448
10.000000, 0.000439, 0.000448, 0.000448, 0.000439, 0.000448
