Time,MF
0,1.00E-04
500,0.967248342
1000,0.935569354
1500,0.904927906
2000,0.875290017
2500,0.846622817
3000,0.818894516
3500,0.792074362
4000,0.766132613
4500,0.741040499
5000,0.716770194
