Time,cart_surf,cart_back,cyl_surf,cyl_back,sph_surf,sph_back
0,0,0,0,0,0,0
50,48.292,0,49.742,0,51.226,0
100,65.068,0,67.809,0,70.637,0
150,76.99,0,80.95,0,85.06,0
200,86.5,0,91.63,0,96.98,0.001
250,94.5,0,100.77,0.003,107.34,0.012
300,101.45,0.003,108.85,0.019,116.68,0.068
350,107.65,0.013,116.19,0.073,125.28,0.245
400,113.27,0.039,122.94,0.203,133.33,0.646
450,118.43,0.091,129.24,0.456,140.92,1.387
500,123.2,0.18,135.16,0.88,148.16,2.575
550,127.66,0.32,140.77,1.519,155.11,4.294
600,131.84,0.521,146.1,2.409,161.81,6.601
650,135.78,0.792,151.21,3.577,168.3,9.526
700,139.52,1.139,156.12,5.042,174.62,13.074
750,143.07,1.569,160.85,6.812,180.78,17.224
800,146.46,2.084,165.42,8.889,186.82,21.944
850,149.71,2.686,169.86,11.267,192.74,27.187
900,152.81,3.375,174.17,13.937,198.57,32.899
950,155.8,4.151,178.38,16.884,204.34,39.026
999,158.62,4.992,182.4,20.024,209.97,45.378
