s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.3992510E+001, 0.0000000E+000,-8.9728553E+000, 1.3619388E-001, 9.5276029E-031, 9.5257527E-031, 9.5236594E-031, 9.5217051E-031, 9.5181633E-031, 1.2783142E-008, 4.9453080E-017
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.4003712E+001, 0.0000000E+000, 4.4510582E+000, 4.3711815E-001, 6.5569052E-030, 6.5568060E-030, 6.5566360E-030, 6.5564013E-030, 6.5557668E-030, 1.0389450E-007, 3.1231213E-015
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 1.8298579E-125, 3.8640237E-004, 2.3998074E+001, 0.0000000E+000,-2.3186161E+000, 7.7671847E-001, 2.4245185E-029, 2.4244956E-029, 2.4244703E-029, 2.4244456E-029, 2.4243993E-029, 3.0498035E-007, 2.6934974E-014
 4.0460224E+000, 2.0755368E-001, 2.0755368E-001, 4.9810177E-115, 3.8640237E-004, 2.4001384E+001, 0.0000000E+000, 1.6229784E+000, 1.0935372E+000, 7.9247778E-029, 7.9247389E-029, 7.9246917E-029, 7.9246372E-029, 7.9245348E-029, 6.1758419E-007, 9.1139621E-014
 5.0093611E+000, 2.0755368E-001, 2.0755368E-001, 1.1396069E-108, 3.8640237E-004, 2.3999229E+001, 0.0000000E+000,-9.9408233E-001, 1.4142470E+000, 2.4719631E-028, 2.4719592E-028, 2.4719510E-028, 2.4719419E-028, 2.4719289E-028, 1.0184447E-006, 1.9862499E-013
 6.0690337E+000, 2.0755368E-001, 2.0755368E-001, 1.3297044E-103, 3.8640237E-004, 2.4000307E+001, 0.0000000E+000, 2.6299063E-001, 1.7241581E+000, 8.3891443E-028, 8.3891438E-028, 8.3891410E-028, 8.3891378E-028, 8.3891322E-028, 1.5485099E-006, 4.0468918E-013
 7.0323723E+000, 2.0755368E-001, 2.0755368E-001, 6.1766840E-100, 3.8640237E-004, 2.4000861E+001, 4.6808409E-292, 8.8515334E-001, 2.0520935E+000, 2.4488962E-027, 2.4488962E-027, 2.4488958E-027, 2.4488955E-027, 2.4488948E-027, 2.1838577E-006, 8.0365179E-013
 8.0920449E+000, 2.0755368E-001, 2.0755368E-001, 1.1626522E-096, 3.8640237E-004, 2.3999058E+001, 4.1985263E-276,-1.3157343E+000, 2.3331365E+000, 4.6412223E-027, 4.6412227E-027, 4.6412218E-027, 4.6412210E-027, 4.6412203E-027, 2.9268635E-006, 1.4062109E-012
 9.0553836E+000, 2.0755368E-001, 2.0755368E-001, 4.4417616E-094, 3.8640237E-004, 2.4002249E+001, 4.1221444E-266, 2.4550245E+000, 2.6377270E+000, 4.8066222E-027, 4.8066230E-027, 4.8066221E-027, 4.8066212E-027, 4.8066202E-027, 3.7621898E-006, 2.0641821E-012
