s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.4992973E+001, 0.0000000E+000,-8.3950178E+000, 3.2300144E+000, 1.3255803E-028, 1.3255784E-028, 1.3255762E-028, 1.3255738E-028, 1.3255695E-028, 2.9017691E-007, 1.9799938E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5004820E+001, 0.0000000E+000, 5.7377580E+000, 1.2765040E+001, 4.1425531E-024, 4.1425531E-024, 4.1425531E-024, 4.1425531E-024, 4.1425531E-024, 2.7465028E-006, 7.1163863E-014
 3.0643084E+000, 2.0755368E-001, 2.0755368E-001, 3.1019363E-121, 3.8640237E-004, 2.5000347E+001, 0.0000000E+000, 3.4641618E-001, 2.1688163E+001, 1.2533489E-014, 1.2533489E-014, 1.2533489E-014, 1.2533489E-014, 1.2533489E-014, 8.8212644E-006, 9.6930514E-013
 4.0193010E+000, 2.0755368E-001, 2.0755368E-001, 1.0181989E-110, 3.8640237E-004, 2.5002241E+001, 0.0000000E+000, 2.4642653E+000, 2.3878755E+001, 6.0543335E-019, 6.0543335E-019, 6.0543335E-019, 6.0543335E-019, 6.0543335E-019, 1.6027134E-005, 4.1827436E-012
 5.0120027E+000, 2.0755368E-001, 2.0755368E-001, 7.2228140E-102, 3.8640237E-004, 2.5003150E+001, 0.0000000E+000, 3.3160800E+000, 2.9813660E+001, 4.0475101E-018, 4.0475101E-018, 4.0475101E-018, 4.0475101E-018, 4.0475101E-018, 2.4654457E-005, 7.2562862E-012
 6.0288398E+000, 2.0755368E-001, 2.0755368E-001, 2.8906041E-078, 3.8640237E-004, 2.5004261E+001, 1.2922306E-282, 4.3734431E+000, 3.6425764E+001, 2.1687305E-015, 2.1687305E-015, 2.1687305E-015, 2.1687305E-015, 2.1687305E-015, 3.5748509E-005, 1.0286966E-011
 7.0087800E+000, 2.0755368E-001, 2.0755368E-001, 4.5599852E-059, 3.8640237E-004, 2.5005569E+001, 1.0235616E-268, 5.5870379E+000, 4.3343829E+001, 4.3903327E-015, 4.3903327E-015, 4.3903327E-015, 4.3903327E-015, 4.3903327E-015, 4.9028741E-005, 6.1937746E-010
 8.0007463E+000, 2.0755368E-001, 2.0755368E-001, 2.9486419E-049, 3.8640237E-004, 2.5006744E+001, 1.0716998E-248, 6.5125835E+000, 4.9597430E+001, 2.4493786E-014, 2.4493786E-014, 2.4493786E-014, 2.4493786E-014, 2.4493786E-014, 6.4393788E-005, 6.5155571E-009
 9.0184232E+000, 2.0755368E-001, 2.0755368E-001, 9.0397497E-037, 3.8640237E-004, 2.5008124E+001, 1.5391791E-222, 7.4848021E+000, 5.6615162E+001, 3.0073923E-013, 3.0073923E-013, 3.0073923E-013, 3.0073923E-013, 3.0073923E-013, 8.2216035E-005, 2.0778638E-008
 1.0000283E+001, 2.0755368E-001, 2.0755368E-001, 1.4019685E-023, 3.8640237E-004, 2.5009933E+001, 1.4827062E-199, 8.5848962E+000, 6.3255172E+001, 1.0125590E-012, 1.0125590E-012, 1.0125590E-012, 1.0125590E-012, 1.0125590E-012, 1.0224648E-004, 3.7925972E-008
 1.1020786E+001, 2.0755359E-001, 2.0755368E-001, 2.0835067E-010, 3.8645221E-004, 2.5013479E+001, 7.2442307E-177, 9.6236057E+000, 7.0310524E+001, 1.4711439E-011, 1.4711439E-011, 1.4711439E-011, 1.4711439E-011, 1.4711439E-011, 1.2451671E-004, 6.2073498E-008
 1.2002709E+001, 2.0755169E-001, 2.0755368E-001, 4.8571659E-009, 3.8756437E-004, 2.5035141E+001, 9.0168427E-152, 1.0576321E+001, 7.6902047E+001, 3.7137762E-011, 3.7137762E-011, 3.7137762E-011, 3.7137762E-011, 3.7137762E-011, 1.4904002E-004, 9.6789752E-008
 1.3017206E+001, 2.0755287E-001, 2.0755368E-001, 1.9713458E-009, 3.8687399E-004, 2.5023648E+001, 6.7595930E-128, 1.1530267E+001, 8.3527334E+001, 9.7378699E-011, 9.7378699E-011, 9.7378699E-011, 9.7378699E-011, 9.7378699E-011, 1.7567944E-004, 1.4979328E-007
 1.4016387E+001, 2.0755326E-001, 2.0755368E-001, 1.0104586E-009, 3.8664411E-004, 2.5020917E+001, 8.7420185E-107, 1.2648792E+001, 9.0620970E+001, 3.9211607E-010, 3.9211607E-010, 3.9211607E-010, 3.9211607E-010, 3.9211607E-010, 2.0476358E-004, 2.0751786E-007
 1.5015568E+001, 2.0755332E-001, 2.0755368E-001, 8.7611567E-010, 3.8661197E-004, 2.5022176E+001, 3.6350936E-087, 1.3732629E+001, 9.7254465E+001, 4.5094113E-010, 4.5094113E-010, 4.5094113E-010, 4.5094113E-010, 4.5094113E-010, 2.3581669E-004, 2.7301667E-007
 1.6003319E+001, 2.0755330E-001, 2.0755368E-001, 9.1840585E-010, 3.8662208E-004, 2.5024689E+001, 2.1134254E-069, 1.4811910E+001, 1.0407654E+002, 3.9668778E-009, 3.9668778E-009, 3.9668778E-009, 3.9668778E-009, 3.9668778E-009, 2.6883498E-004, 3.4415928E-007
 1.7016500E+001, 2.0755323E-001, 2.0755368E-001, 1.0913452E-009, 3.8666346E-004, 2.5028160E+001, 6.3017998E-055, 1.5914745E+001, 1.1030048E+002, 2.0740492E-009, 2.0740492E-009, 2.0740492E-009, 2.0740492E-009, 2.0740492E-009, 3.0432184E-004, 4.3094619E-007
