s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 1.0023358E+001, 2.0755368E-001, 2.0755368E-001, 4.9519573E-026, 3.8640237E-004, 1.8002213E+001, 7.8416889E-212,-9.8139897E-002, 6.1448279E+001, 9.8602122E-013, 9.8602122E-013, 9.8602122E-013, 9.8602122E-013, 9.8602122E-013, 9.8756271E-005, 3.0312977E-008
 1.1021399E+001, 2.0755368E-001, 2.0755368E-001, 2.1677890E-021, 3.8640237E-004, 1.8003263E+001, 1.8754602E-189,-1.1197671E-001, 6.8203496E+001, 1.8081896E-012, 1.8081896E-012, 1.8081896E-012, 1.8081896E-012, 1.8081896E-012, 1.2038368E-004, 5.9043500E-008
 1.2002697E+001, 2.0755368E-001, 2.0755368E-001, 3.2471999E-014, 3.8640238E-004, 1.8004599E+001, 1.2940541E-160,-7.9723873E-002, 7.4460714E+001, 1.0751037E-011, 1.0751037E-011, 1.0751037E-011, 1.0751037E-011, 1.0751037E-011, 1.4390858E-004, 9.0125705E-008
 1.3005458E+001, 2.0755367E-001, 2.0755368E-001, 1.2974212E-012, 3.8640268E-004, 1.8005277E+001, 3.7656803E-138,-9.7972970E-002, 8.1094207E+001, 2.2481226E-011, 2.2481226E-011, 2.2481226E-011, 2.2481226E-011, 2.2481226E-011, 1.6950279E-004, 1.3040563E-007
 1.4005275E+001, 2.0755367E-001, 2.0755368E-001, 2.7898358E-012, 3.8640304E-004, 1.8005787E+001, 5.3689192E-115,-1.5772582E-001, 8.7467396E+001, 4.4322421E-011, 4.4322421E-011, 4.4322421E-011, 4.4322421E-011, 4.4322421E-011, 1.9766378E-004, 1.8772320E-007
 1.5012389E+001, 2.0755367E-001, 2.0755368E-001, 6.4980173E-012, 3.8640392E-004, 1.8006632E+001, 3.6749193E-095,-1.7880515E-001, 9.4462353E+001, 1.0226170E-010, 1.0226170E-010, 1.0226170E-010, 1.0226170E-010, 1.0226170E-010, 2.2823000E-004, 2.5273736E-007
 1.6003155E+001, 2.0755367E-001, 2.0755368E-001, 1.2082411E-011, 3.8640526E-004, 1.8007528E+001, 8.6966445E-080,-1.7769098E-001, 1.0096346E+002, 1.1262135E-009, 1.1262135E-009, 1.1262135E-009, 1.1262135E-009, 1.1262135E-009, 2.6062982E-004, 3.3247052E-007
 1.7003563E+001, 2.0755366E-001, 2.0755368E-001, 2.5874405E-011, 3.8640856E-004, 1.8008652E+001, 3.5987279E-066,-1.6964923E-001, 1.0717010E+002, 5.1703503E-010, 5.1703503E-010, 5.1703503E-010, 5.1703503E-010, 5.1703503E-010, 2.9500051E-004, 4.3014611E-007
 1.8016962E+001, 2.0755364E-001, 2.0755368E-001, 9.2131420E-011, 3.8642441E-004, 1.8010350E+001, 9.2997453E-054,-1.7532833E-001, 1.1389646E+002, 3.2697545E-009, 3.2697545E-009, 3.2697545E-009, 3.2697545E-009, 3.2697545E-009, 3.3211431E-004, 5.4706744E-007
 1.9011636E+001, 2.0755359E-001, 2.0755368E-001, 1.9829230E-010, 3.8644981E-004, 1.8011984E+001, 1.5658049E-043,-2.1773189E-001, 1.2054750E+002, 2.1896188E-008, 2.1896188E-008, 2.1896188E-008, 2.1896188E-008, 2.1896188E-008, 3.7129092E-004, 6.8456274E-007
 2.0006832E+001, 2.0755359E-001, 2.0755368E-001, 2.0112628E-010, 3.8645049E-004, 1.8013251E+001, 3.0943357E-034,-2.1662082E-001, 1.2716355E+002, 1.9333700E-008, 1.9333700E-008, 1.9333700E-008, 1.9333700E-008, 1.9333700E-008, 4.1254881E-004, 8.4101219E-007
 2.1014367E+001, 2.0755361E-001, 2.0755368E-001, 1.6588659E-010, 3.8644206E-004, 1.8014573E+001, 1.4810623E-025,-1.8696093E-001, 1.3358995E+002, 7.1017977E-008, 7.1017977E-008, 7.1017977E-008, 7.1017977E-008, 7.1017977E-008, 4.5609564E-004, 1.0030289E-006
 2.2018427E+001, 2.0755363E-001, 2.0755368E-001, 1.1545528E-010, 3.8642999E-004, 1.8015890E+001, 2.6424835E-018,-1.7673605E-001, 1.3988730E+002, 8.8103242E-008, 8.8103242E-008, 8.8103242E-008, 8.8103242E-008, 8.8103242E-008, 5.0206278E-004, 1.1765049E-006
 2.3015921E+001, 2.0755362E-001, 2.0755368E-001, 1.4172294E-010, 3.8643628E-004, 1.8017758E+001, 1.0266470E-012,-2.0840696E-001, 1.4700723E+002, 1.5104114E-007, 1.5104114E-007, 1.5104114E-007, 1.5104114E-007, 1.5104114E-007, 5.5006775E-004, 1.3542533E-006
 2.4016344E+001, 2.0755358E-001, 2.0755368E-001, 2.3684238E-010, 3.8645903E-004, 1.8020241E+001, 7.6089468E-005,-2.1081394E-001, 1.5318258E+002, 1.2145367E-007, 1.2145367E-007, 1.2145367E-007, 1.2145367E-007, 1.2145367E-007, 5.9985529E-004, 1.5539991E-006
 2.5016753E+001, 2.0755352E-001, 2.0755368E-001, 3.8713360E-010, 3.8649499E-004, 1.8023232E+001, 2.1238100E+000,-1.5926931E-001, 1.5998005E+002, 5.6335072E-007, 5.6335072E-007, 5.6335072E-007, 5.6335072E-007, 5.6335072E-007, 6.5167798E-004, 1.7866018E-006
 2.6016907E+001, 2.0755337E-001, 2.0755368E-001, 7.3873882E-010, 3.8657910E-004, 1.8027447E+001, 4.5019684E+000,-1.6614844E-001, 1.6636230E+002, 7.2545465E-007, 7.2545465E-007, 7.2545465E-007, 7.2545465E-007, 7.2545465E-007, 7.0593965E-004, 2.0426116E-006
 2.7014878E+001, 2.0755289E-001, 2.0755368E-001, 1.9158657E-009, 3.8686071E-004, 1.8034169E+001, 4.2059780E+000,-1.8711066E-001, 1.7321042E+002, 1.9582510E-006, 1.9582510E-006, 1.9582510E-006, 1.9582510E-006, 1.9582510E-006, 7.6260205E-004, 2.3237836E-006
 2.8007963E+001, 2.0754619E-001, 2.0755368E-001, 1.8282830E-008, 3.9077626E-004, 1.8109041E+001, 4.9174781E+000,-1.8462246E-001, 1.7921638E+002, 1.0953073E-006, 1.0953073E-006, 1.0953073E-006, 1.0953073E-006, 1.0953073E-006, 8.2114886E-004, 2.6103508E-006
 2.9000023E+001, 2.0722979E-001, 2.0755368E-001, 7.9087182E-007, 5.7560660E-004, 2.1533003E+001, 5.9502565E+000,-1.7351444E-001, 1.8642992E+002, 2.1263015E-006, 2.1263015E-006, 2.1263015E-006, 2.1263015E-006, 2.1263015E-006, 8.8160552E-004, 2.9041527E-006
 3.0003809E+001, 2.0668284E-001, 2.0755368E-001, 2.1264658E-006, 8.9512748E-004, 2.7425178E+001, 4.3492848E+000,-1.6153622E-001, 1.9241596E+002, 2.3414539E-006, 2.3414539E-006, 2.3414539E-006, 2.3414539E-006, 2.3414539E-006, 9.4449804E-004, 3.2210793E-006
 3.1007594E+001, 2.0658052E-001, 2.0755368E-001, 2.3763273E-006, 9.5490311E-004, 2.8546710E+001, 3.5364449E+000,-1.6625782E-001, 1.9912752E+002, 5.1630123E-006, 5.1630123E-006, 5.1630123E-006, 5.1630123E-006, 5.1630123E-006, 1.0093862E-003, 3.5669243E-006
 3.2015587E+001, 2.0667178E-001, 2.0755368E-001, 2.1534678E-006, 9.0158731E-004, 2.7474135E+001, 3.6336786E+000,-1.3659119E-001, 2.0567101E+002, 5.9650469E-006, 5.9650469E-006, 5.9650469E-006, 5.9650469E-006, 5.9650469E-006, 1.0764519E-003, 3.9646788E-006
 3.3005368E+001, 2.0670292E-001, 2.0755368E-001, 2.0774225E-006, 8.8339460E-004, 2.7065664E+001, 3.7137148E+000,-7.7209464E-002, 2.1186182E+002, 7.4700329E-006, 7.4700329E-006, 7.4700329E-006, 7.4700329E-006, 7.4700329E-006, 1.1449431E-003, 4.4155089E-006
 3.4007820E+001, 2.0674357E-001, 2.0755368E-001, 1.9781725E-006, 8.5965053E-004, 2.6673125E+001, 4.3207536E+000,-2.1962739E-002, 2.1916989E+002, 1.5364184E-005, 1.5364184E-005, 1.5364184E-005, 1.5364184E-005, 1.5364184E-005, 1.2155637E-003, 4.8551843E-006
 3.5004221E+001, 2.0678169E-001, 2.0755368E-001, 1.8850894E-006, 8.3738178E-004, 2.6309199E+001, 7.5107900E+000,-1.3664122E-001, 2.2587498E+002, 2.6492743E-005, 2.6492743E-005, 2.6492743E-005, 2.6492743E-005, 2.6492743E-005, 1.2883607E-003, 5.3009836E-006
 3.6006460E+001, 2.0687016E-001, 2.0755368E-001, 1.6690381E-006, 7.8569474E-004, 2.5401548E+001, 9.5050061E+000,-6.8184575E-002, 2.3112454E+002, 9.3399672E-006, 9.3399672E-006, 9.3399672E-006, 9.3399672E-006, 9.3399672E-006, 1.3628530E-003, 5.7533849E-006
 3.7013427E+001, 2.0695199E-001, 2.0755368E-001, 1.4692302E-006, 7.3789368E-004, 2.4510650E+001, 1.1084096E+001,-5.9634208E-002, 2.3931672E+002, 4.2820416E-005, 4.2820416E-005, 4.2820416E-005, 4.2820416E-005, 4.2820416E-005, 1.4396188E-003, 6.2519807E-006
 3.8005968E+001, 2.0705664E-001, 2.0755368E-001, 1.2136767E-006, 6.7675633E-004, 2.3385234E+001, 8.3391983E+000,-1.0011030E-001, 2.4448162E+002, 3.8770772E-005, 3.8770772E-005, 3.8770772E-005, 3.8770772E-005, 3.8770772E-005, 1.5183255E-003, 6.7983784E-006
 3.9015655E+001, 2.0715527E-001, 2.0755368E-001, 9.7282335E-007, 6.1913578E-004, 2.2324548E+001, 8.6566398E+000,-2.5626712E-002, 2.5220458E+002, 3.8579805E-005, 3.8579805E-005, 3.8579805E-005, 3.8579805E-005, 3.8579805E-005, 1.5994626E-003, 7.3713140E-006
 4.0008526E+001, 2.0703922E-001, 2.0755368E-001, 1.2562144E-006, 6.8693284E-004, 2.3550563E+001, 8.5668948E+000,-2.5267792E-002, 2.5789606E+002, 6.0546104E-005, 6.0546104E-005, 6.0546104E-005, 6.0546104E-005, 6.0546104E-005, 1.6826539E-003, 7.9346753E-006
 4.1002441E+001, 2.0678918E-001, 2.0755368E-001, 1.8667790E-006, 8.3300128E-004, 2.6191988E+001, 1.0050351E+001,-7.3645869E-002, 2.6366375E+002, 5.1292547E-005, 5.1292547E-005, 5.1292547E-005, 5.1292547E-005, 5.1292547E-005, 1.7674568E-003, 8.5245558E-006
 4.2004601E+001, 2.0666574E-001, 2.0755368E-001, 2.1681957E-006, 9.0511073E-004, 2.7483620E+001, 1.0666205E+001, 2.4605590E-002, 2.7301001E+002, 1.0741784E-004, 1.0741784E-004, 1.0741784E-004, 1.0741784E-004, 1.0741784E-004, 1.8545863E-003, 9.1532443E-006
 4.3008495E+001, 2.0655309E-001, 2.0755368E-001, 2.4432725E-006, 9.7091874E-004, 2.8635663E+001, 1.0710642E+001,-4.4600247E-002, 2.7737288E+002, 7.1147256E-005, 7.1147256E-005, 7.1147256E-005, 7.1147256E-005, 7.1147256E-005, 1.9449871E-003, 9.8199616E-006
 4.4014226E+001, 2.0649995E-001, 2.0755368E-001, 2.5730478E-006, 1.0019655E-003, 2.9159565E+001, 1.1553833E+001,-1.1290717E-002, 2.8418543E+002, 1.2554631E-004, 1.2554631E-004, 1.2554631E-004, 1.2554631E-004, 1.2554631E-004, 2.0378360E-003, 1.0523599E-005
 4.5006768E+001, 2.0642655E-001, 2.0755368E-001, 2.7522795E-006, 1.0448441E-003, 2.9861662E+001, 1.2146807E+001,-2.6631454E-002, 2.9051019E+002, 1.4240810E-004, 1.4240810E-004, 1.4240810E-004, 1.4240810E-004, 1.4240810E-004, 2.1320925E-003, 1.1238037E-005
 4.6010510E+001, 2.0633138E-001, 2.0755368E-001, 2.9846693E-006, 1.1004399E-003, 3.0797975E+001, 1.2051529E+001, 1.8801545E-002, 2.9820538E+002, 1.6670574E-004, 1.6670574E-004, 1.6670574E-004, 1.6670574E-004, 1.6670574E-004, 2.2292381E-003, 1.1946384E-005
 4.7000447E+001, 2.0620938E-001, 2.0755368E-001, 3.2825842E-006, 1.1717116E-003, 3.1863662E+001, 1.1138774E+001,-1.0268236E-001, 3.0442497E+002, 2.0400855E-004, 2.0400855E-004, 2.0400855E-004, 2.0400855E-004, 2.0400855E-004, 2.3277141E-003, 1.2673630E-005
 4.8014897E+001, 2.0616230E-001, 2.0755368E-001, 3.3975468E-006, 1.1992147E-003, 3.2065245E+001, 1.2898048E+001, 4.6582524E-002, 3.1046024E+002, 1.8983950E-004, 1.8983950E-004, 1.8983950E-004, 1.8983950E-004, 1.8983950E-004, 2.4288403E-003, 1.3442692E-005
