s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.7999989E+001, 0.0000000E+000, 2.0742929E-004, 3.1686284E+000, 3.0552718E-028, 3.0552674E-028, 3.0552638E-028, 3.0552592E-028, 3.0552502E-028, 2.9108204E-007, 2.0727881E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.7999987E+001, 0.0000000E+000, 1.2542511E-003, 1.2660299E+001, 6.6401235E-024, 6.6401235E-024, 6.6401235E-024, 6.6401235E-024, 6.6401235E-024, 2.6956998E-006, 7.3460468E-014
 3.0691625E+000, 2.0755368E-001, 2.0755368E-001, 8.5427154E-123, 3.8640237E-004, 2.8000027E+001, 0.0000000E+000, 2.1173188E-003, 2.2525366E+001, 2.6082791E-013, 2.6082791E-013, 2.6082791E-013, 2.6082791E-013, 2.6082791E-013, 8.7493517E-006, 9.3128191E-013
 4.0246320E+000, 2.0755368E-001, 2.0755368E-001, 5.1019680E-111, 3.8640237E-004, 2.8000161E+001, 0.0000000E+000, 8.4157076E-004, 2.3921712E+001, 5.3267030E-016, 5.3267030E-016, 5.3267030E-016, 5.3267030E-016, 5.3267030E-016, 1.6345066E-005, 4.0061310E-012
 5.0204517E+000, 2.0755368E-001, 2.0755368E-001, 1.1693448E-102, 3.8640237E-004, 2.8000384E+001, 0.0000000E+000, 1.2517033E-003, 2.9465815E+001, 3.8969188E-018, 3.8969188E-018, 3.8969188E-018, 3.8969188E-018, 3.8969188E-018, 2.4929562E-005, 6.9602599E-012
 6.0074918E+000, 2.0755368E-001, 2.0755368E-001, 6.7195440E-080, 3.8640237E-004, 2.8000617E+001, 1.8040335E-283, 2.1042549E-003, 3.6102852E+001, 2.4488053E-015, 2.4488053E-015, 2.4488053E-015, 2.4488053E-015, 2.4488053E-015, 3.5772318E-005, 9.8172734E-012
 7.0118649E+000, 2.0755368E-001, 2.0755368E-001, 3.8244393E-063, 3.8640237E-004, 2.8000922E+001, 1.5303654E-269, 8.0409205E-003, 4.2890026E+001, 7.1255170E-015, 7.1255170E-015, 7.1255170E-015, 7.1255170E-015, 7.1255170E-015, 4.8875340E-005, 1.5809507E-010
 8.0221439E+000, 2.0755368E-001, 2.0755368E-001, 1.9570553E-050, 3.8640237E-004, 2.8001338E+001, 2.8817057E-241,-2.7631082E-003, 4.9429702E+001, 5.5686909E-014, 5.5686909E-014, 5.5686909E-014, 5.5686909E-014, 5.5686909E-014, 6.4356296E-005, 2.0152943E-009
 9.0052348E+000, 2.0755368E-001, 2.0755368E-001, 3.0705132E-041, 3.8640237E-004, 2.8001853E+001, 4.2101003E-220,-7.0404618E-002, 5.6187889E+001, 2.0298981E-013, 2.0298981E-013, 2.0298981E-013, 2.0298981E-013, 2.0298981E-013, 8.1702194E-005, 1.1627636E-008
 1.0017310E+001, 2.0755368E-001, 2.0755368E-001, 1.2473085E-026, 3.8640237E-004, 2.8002597E+001, 3.9808603E-202,-1.2062779E-001, 6.2702606E+001, 2.5615011E-012, 2.5615011E-012, 2.5615011E-012, 2.5615011E-012, 2.5615011E-012, 1.0131181E-004, 3.2447250E-008
 1.1017103E+001, 2.0755368E-001, 2.0755368E-001, 8.0524418E-016, 3.8640237E-004, 2.8003932E+001, 8.4899775E-184,-1.0888112E-001, 6.9547693E+001, 6.6118225E-012, 6.6118225E-012, 6.6118225E-012, 6.6118225E-012, 6.6118225E-012, 1.2352515E-004, 6.0051714E-008
