(y z),Phi_HdA
2.50E-02,1.46E-01
7.50E-02,1.60E-01
1.25E-01,1.75E-01
1.75E-01,1.89E-01
2.25E-01,2.02E-01
2.75E-01,2.13E-01
3.25E-01,2.23E-01
3.75E-01,2.31E-01
4.25E-01,2.36E-01
4.75E-01,2.39E-01
5.25E-01,2.39E-01
5.75E-01,2.36E-01
6.25E-01,2.31E-01
6.75E-01,2.23E-01
7.25E-01,2.13E-01
7.75E-01,2.02E-01
8.25E-01,1.89E-01
8.75E-01,1.75E-01
9.25E-01,1.60E-01
9.75E-01,1.46E-01
