s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","R2,6","R2,7","R2,8","R2,9","R2,10","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271521E+000, 3.1253770E+000, 1.6122621E-028, 1.6122601E-028, 1.6122574E-028, 1.6122542E-028, 1.6122519E-028, 1.6122494E-028, 1.6122455E-028, 1.6122412E-028, 1.6122340E-028, 1.6121928E-028, 2.8478354E-007, 4.4835686E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0873061E+000, 1.2431962E+001, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 3.7662313E-024, 2.6628488E-006, 1.5501494E-013
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9457712E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7069843E-001, 2.1813766E+001, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 1.7440396E-013, 8.7016496E-006, 1.9246171E-012
 4.0528013E+000, 2.0755368E-001, 2.0755368E-001, 1.2825598E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3081837E-001, 2.3638252E+001, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 2.9939362E-018, 1.6080747E-005, 8.2659320E-012
 5.0391325E+000, 2.0755368E-001, 2.0755368E-001, 4.4193560E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0711262E+000, 2.9288075E+001, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 3.8038243E-018, 2.4615397E-005, 1.4177559E-011
 6.0112934E+000, 2.0755368E-001, 2.0755368E-001, 2.6078034E-079, 3.8640237E-004, 2.6001867E+001, 3.9634782E-284, 1.4905284E+000, 3.5744121E+001, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.3732008E-015, 3.5210498E-005, 1.9657123E-011
 7.0116561E+000, 2.0755368E-001, 2.0755368E-001, 1.0934422E-058, 3.8640237E-004, 2.6002637E+001, 2.9691604E-269, 2.0601144E+000, 4.2354526E+001, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 6.2689069E-015, 4.8045097E-005, 3.2312470E-011
 8.0226869E+000, 2.0755368E-001, 2.0755368E-001, 1.0256701E-047, 3.8640237E-004, 2.6003515E+001, 4.5101990E-250, 2.6216679E+000, 4.8620195E+001, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 2.2005014E-014, 6.3389037E-005, 1.8343327E-009
 9.0271900E+000, 2.0755368E-001, 2.0755368E-001, 1.0650766E-038, 3.8640237E-004, 2.6004545E+001, 1.5898064E-228, 3.1992458E+000, 5.5414971E+001, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 5.9073312E-013, 8.0927691E-005, 1.2342778E-008
 1.0013116E+001, 2.0755368E-001, 2.0755368E-001, 3.8135856E-027, 3.8640237E-004, 2.6005859E+001, 1.2957145E-210, 3.8355896E+000, 6.1940314E+001, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.7127835E-012, 1.0045069E-004, 2.9737874E-008
 1.1004188E+001, 2.0755368E-001, 2.0755368E-001, 4.1091169E-022, 3.8640237E-004, 2.6007552E+001, 4.2852439E-179, 4.5668916E+000, 6.8651900E+001, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 2.5768430E-011, 1.2196760E-004, 5.0575298E-008
 1.2004319E+001, 2.0755368E-001, 2.0755368E-001, 4.7727296E-015, 3.8640237E-004, 2.6009210E+001, 3.0060299E-149, 5.3002384E+000, 7.5205638E+001, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 2.2124230E-011, 1.4581628E-004, 7.8728256E-008
 1.3011149E+001, 2.0755367E-001, 2.0755368E-001, 2.4935785E-012, 3.8640297E-004, 2.6011017E+001, 1.6119446E-125, 6.0887675E+000, 8.1840258E+001, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 5.6386268E-011, 1.7202599E-004, 1.1617134E-007
 1.4016117E+001, 2.0755367E-001, 2.0755368E-001, 1.1818561E-011, 3.8640520E-004, 2.6012734E+001, 4.2868422E-105, 6.9274332E+000, 8.8422632E+001, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 1.6087731E-010, 2.0043709E-004, 1.6397956E-007
 1.5006989E+001, 2.0755367E-001, 2.0755368E-001, 1.8196642E-011, 3.8640672E-004, 2.6014092E+001, 1.4621728E-088, 7.6048257E+000, 9.4877858E+001, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 8.0681131E-010, 2.3078882E-004, 2.3278589E-007
 1.6004165E+001, 2.0755367E-001, 2.0755368E-001, 2.0925978E-011, 3.8640738E-004, 2.6015792E+001, 2.6347698E-073, 8.5929691E+000, 1.0183428E+002, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 6.0385763E-009, 2.6305013E-004, 3.0401565E-007
 1.7007959E+001, 2.0755367E-001, 2.0755368E-001, 2.4116889E-011, 3.8640814E-004, 2.6017863E+001, 1.3123310E-059, 9.5524081E+000, 1.0797789E+002, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.3669125E-009, 2.9770972E-004, 3.9309156E-007
 1.8007385E+001, 2.0755366E-001, 2.0755368E-001, 2.8426113E-011, 3.8640917E-004, 2.6020005E+001, 3.0741138E-048, 1.0353970E+001, 1.1476581E+002, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 1.5959324E-008, 3.3454191E-004, 5.0242629E-007
