s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 1.1016565E+001, 2.0755368E-001, 2.0755368E-001, 3.3535838E-018, 3.8640237E-004, 2.6007869E+001, 6.3387251E-174, 4.6140555E+000, 2.4791249E-005, 2.4791249E-005, 1.2231282E-004
 1.2007470E+001, 2.0755368E-001, 2.0755368E-001, 2.3784390E-013, 3.8640243E-004, 2.6009511E+001, 1.3202900E-144, 5.3412261E+000, 2.7115295E-005, 2.7115295E-005, 1.4621927E-004
 1.3008900E+001, 2.0755367E-001, 2.0755368E-001, 1.9390371E-012, 3.8640283E-004, 2.6010716E+001, 3.4934685E-121, 6.0666374E+000, 2.9545639E-005, 2.9545639E-005, 1.7228591E-004
 1.4002928E+001, 2.0755367E-001, 2.0755368E-001, 3.8527407E-012, 3.8640329E-004, 2.6012186E+001, 8.9014305E-102, 6.7707837E+000, 3.1922760E-005, 3.1922760E-005, 2.0053380E-004
 1.5008181E+001, 2.0755367E-001, 2.0755368E-001, 7.0681744E-012, 3.8640406E-004, 2.6014064E+001, 3.9127352E-085, 7.7233460E+000, 3.4210481E-005, 3.4210481E-005, 2.3096808E-004
 1.6021721E+001, 2.0755367E-001, 2.0755368E-001, 9.7515841E-012, 3.8640470E-004, 2.6015914E+001, 1.9039075E-071, 8.6986568E+000, 3.6711577E-005, 3.6711577E-005, 2.6387117E-004
 1.7009062E+001, 2.0755367E-001, 2.0755368E-001, 1.2549905E-011, 3.8640537E-004, 2.6018011E+001, 1.2941945E-059, 9.6997655E+000, 3.9134215E-005, 3.9134215E-005, 2.9863617E-004
 1.8014164E+001, 2.0755367E-001, 2.0755368E-001, 1.9953508E-011, 3.8640714E-004, 2.6020596E+001, 6.6840734E-049, 1.0739894E+001, 4.1445897E-005, 4.1445897E-005, 3.3539371E-004
 1.9014526E+001, 2.0755367E-001, 2.0755368E-001, 2.4971584E-011, 3.8640834E-004, 2.6023357E+001, 6.1632760E-039, 1.1733623E+001, 4.3778969E-005, 4.3778969E-005, 3.7449271E-004
 2.0009769E+001, 2.0755366E-001, 2.0755368E-001, 3.7878906E-011, 3.8641143E-004, 2.6026310E+001, 1.7090515E-029, 1.2818692E+001, 4.6223123E-005, 4.6223123E-005, 4.1551904E-004
 2.1016727E+001, 2.0755365E-001, 2.0755368E-001, 5.3689188E-011, 3.8641521E-004, 2.6029240E+001, 9.0553469E-021, 1.3667534E+001, 4.8747602E-005, 4.8747602E-005, 4.5888992E-004
 2.2016037E+001, 2.0755363E-001, 2.0755368E-001, 1.0506597E-010, 3.8642751E-004, 2.6032816E+001, 6.6466889E-014, 1.4610169E+001, 5.0896776E-005, 5.0896776E-005, 5.0432710E-004
 2.3004534E+001, 2.0755361E-001, 2.0755368E-001, 1.5541663E-010, 3.8643955E-004, 2.6035546E+001, 5.0460220E-006, 1.5713815E+001, 5.3506538E-005, 5.3506538E-005, 5.5160606E-004
