s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,,,,,,,,
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0725995E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5995762E+001, 0.0000000E+000,-4.9391606E+000,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009,-2.1428571E+009
 2.0685848E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000739E+001, 0.0000000E+000, 1.0834295E+000, 1.7233954E+001, 1.0229666E-018, 1.0229666E-018, 1.0229666E-018, 1.0229666E-018, 1.0229666E-018, 3.0026607E-006, 1.9108427E-016
 3.0020975E+000, 2.0755368E-001, 2.0755368E-001, 8.5957567E-149, 3.8640237E-004, 2.6000548E+001, 0.0000000E+000, 8.9441485E-001, 1.9943976E+001, 9.3410150E-013, 9.3410150E-013, 9.3410150E-013, 9.3410150E-013, 9.3410150E-013, 9.9961826E-006, 6.9428107E-015
 4.0120417E+000, 2.0755368E-001, 2.0755368E-001, 1.4897224E-134, 3.8640237E-004, 2.6000374E+001, 0.0000000E+000, 6.2788278E-001, 2.2197582E+001, 1.2631051E-018, 1.2631051E-018, 1.2631051E-018, 1.2631051E-018, 1.2631051E-018, 1.6856392E-005, 6.3131694E-014
 5.0076185E+000, 2.0755368E-001, 2.0755368E-001, 9.7094244E-103, 3.8640237E-004, 2.6000809E+001, 0.0000000E+000, 9.4869858E-001, 2.8706033E+001, 4.3736665E-016, 4.3736665E-016, 4.3736665E-016, 4.3736665E-016, 4.3736665E-016, 2.5397659E-005, 2.0533996E-013
 6.0216531E+000, 2.0755368E-001, 2.0755368E-001, 1.2846092E-074, 3.8640237E-004, 2.6001329E+001, 0.0000000E+000, 1.3308691E+000, 3.5245093E+001, 5.7703553E-015, 5.7703553E-015, 5.7703553E-015, 5.7703553E-015, 5.7703553E-015, 3.6129983E-005, 7.8301662E-010
 7.0149777E+000, 2.0755368E-001, 2.0755368E-001, 1.4045284E-060, 3.8640237E-004, 2.6001996E+001, 0.0000000E+000, 1.8111107E+000, 4.1980093E+001, 3.9771630E-014, 3.9771630E-014, 3.9771630E-014, 3.9771630E-014, 3.9771630E-014, 4.9067171E-005, 6.3635516E-009
 8.0053966E+000, 2.0755368E-001, 2.0755368E-001, 1.1621120E-044, 3.8640237E-004, 2.6002828E+001, 9.8615612E-290, 2.3555661E+000, 4.8502515E+001, 3.8339815E-013, 3.8339815E-013, 3.8339815E-013, 3.8339815E-013, 3.8339815E-013, 6.4118195E-005, 1.5127506E-008
 9.0199988E+000, 2.0755368E-001, 2.0755368E-001, 3.2831595E-032, 3.8640237E-004, 2.6003867E+001, 2.0736752E-253, 2.9224908E+000, 5.5227346E+001, 5.3467093E-012, 5.3467093E-012, 5.3467093E-012, 5.3467093E-012, 5.3467093E-012, 8.1477595E-005, 2.7822293E-008
 1.0018880E+001, 2.0755368E-001, 2.0755368E-001, 4.2862571E-023, 3.8640237E-004, 2.6005253E+001, 1.5078722E-216, 3.5381028E+000, 6.1966517E+001, 1.8695673E-011, 1.8695673E-011, 1.8695673E-011, 1.8695673E-011, 1.8695673E-011, 1.0121307E-004, 4.6842090E-008
 1.1010941E+001, 2.0755368E-001, 2.0755368E-001, 9.2550240E-016, 3.8640237E-004, 2.6007095E+001, 7.4554912E-184, 4.1467632E+000, 6.8407050E+001, 7.0057904E-011, 7.0057904E-011, 7.0057904E-011, 7.0057904E-011, 7.0057904E-011, 1.2280579E-004, 7.3591744E-008
