Time,O2,CH4,CO,CO2,H2O
0,0.8,0.1,0,0,0
0.05,0.54783,0.036788,0,0.17341,0.141971
0.1,0.455062,0.013534,0,0.237205,0.194199
0.15,0.420935,0.004979,0,0.260673,0.213413
0.2,0.40838,0.001832,0,0.269307,0.220481
0.25,0.403762,0.000674,0,0.272483,0.223082
0.3,0.402062,0.000248,0,0.273651,0.224038
0.35,0.401437,0.000091,0,0.274081,0.22439
0.4,0.401207,0.000034,0,0.274239,0.22452
0.45,0.401123,0.000012,0,0.274298,0.224567
0.5,0.401092,0.000005,0,0.274319,0.224585
0.55,0.40108,0.000002,0,0.274327,0.224591
0.6,0.401076,0.000001,0,0.27433,0.224594
0.65,0.401075,0,0,0.274331,0.224594
0.7,0.401074,0,0,0.274331,0.224595
0.75,0.401074,0,0,0.274331,0.224595
0.8,0.401074,0,0,0.274331,0.224595
0.85,0.401074,0,0,0.274331,0.224595
0.9,0.401074,0,0,0.274331,0.224595
0.95,0.401074,0,0,0.274331,0.224595
1,0.401074,0,0,0.274331,0.224595
