Time,"FED (O2, CO2, CO)",FED (Asphyxiants),FED (Irritants),FED (All),"FIC (O2, CO2, CO)",FIC (Asphyxiants),FIC (Irritants),FIC (All)
0,0,0,0,0,0,0,0.8574,0.4287
20,0.11988,0.19481,0.0016517,0.10274,0,0,0.8574,0.4287
40,0.23976,0.38961,0.0033034,0.20547,0,0,0.8574,0.4287
60,0.35964,0.58442,0.004955,0.30821,0,0,0.8574,0.4287
80,0.47952,0.77922,0.0066067,0.41095,0,0,0.8574,0.4287
100,0.5994,0.97403,0.0082584,0.51369,0,0,0.8574,0.4287
