Time,O2,C3H8,CO,CO2,H2O,H2,Temperature,Pressure
3,0.02815,0,0.03834,0.12095,0.09868,0.00079,2537.97,419890
4,0.02815,0,0.03834,0.12095,0.09868,0.00079,2537.97,419890
5,0.02815,0,0.03834,0.12095,0.09868,0.00079,2537.97,419890
