Time,O2,C3H8,CO,CO2,H2O
0,0.219,0.06,0,0,0
0.5,0.19593,0.051097,0.016282,0.0011226,0.014569
1,0.17577,0.043785,0.027532,0.0053814,0.026534
1.5,0.15783,0.037759,0.034487,0.01253,0.036395
2,0.14182,0.032783,0.038139,0.021719,0.044537
2.5,0.12758,0.028666,0.039404,0.03208,0.051274
3,0.11494,0.02525,0.039039,0.042903,0.056864
3.5,0.10378,0.022404,0.037619,0.053673,0.061521
4,0.093949,0.020022,0.035565,0.064045,0.065418
4.5,0.085298,0.018018,0.033177,0.073809,0.068697
5,0.077693,0.016322,0.030661,0.082852,0.071473
5.5,0.071004,0.014879,0.028143,0.091139,0.073835
6,0.065117,0.013641,0.025715,0.098667,0.07586
6.5,0.059928,0.012575,0.023418,0.10548,0.077604
7,0.055343,0.01165,0.021284,0.1116,0.079119
7.5,0.051286,0.010842,0.019321,0.11711,0.08044
8,0.047683,0.010133,0.017531,0.12205,0.0816
8.5,0.044479,0.0095069,0.015907,0.12648,0.082625
9,0.041617,0.0089505,0.014441,0.13046,0.083536
9.5,0.039057,0.0084538,0.013121,0.13402,0.084348
10,0.036758,0.008008,0.011935,0.13722,0.085078
