Time,X,Z,Mass
0,0.01,0.5,0
2,0.01,0.5,6.283185307179587e-06
5,0.45,0.5,1.5707963267948967e-05
7,0.45,0.8,2.1991148575128552e-05
10,1.0,0.8,3.1415926535897935e-05
