z, u, T
     0,      0, 20.0000
0.0101, 0.0101, 20.0505
0.0202, 0.0202, 20.1010
0.0303, 0.0303, 20.1515
0.0404, 0.0404, 20.2020
0.0505, 0.0505, 20.2525
0.0606, 0.0606, 20.3030
0.0707, 0.0707, 20.3535
0.0808, 0.0808, 20.4040
0.0909, 0.0909, 20.4545
0.1010, 0.1010, 20.5051
0.1111, 0.1111, 20.5556
0.1212, 0.1212, 20.6061
0.1313, 0.1313, 20.6566
0.1414, 0.1414, 20.7071
0.1515, 0.1515, 20.7576
0.1616, 0.1616, 20.8081
0.1717, 0.1717, 20.8586
0.1818, 0.1818, 20.9091
0.1919, 0.1919, 20.9596
0.2020, 0.2020, 21.0101
0.2121, 0.2121, 21.0606
0.2222, 0.2222, 21.1111
0.2323, 0.2323, 21.1616
0.2424, 0.2424, 21.2121
0.2525, 0.2525, 21.2626
0.2626, 0.2626, 21.3131
0.2727, 0.2727, 21.3636
0.2828, 0.2828, 21.4141
0.2929, 0.2929, 21.4646
0.3030, 0.3030, 21.5152
0.3131, 0.3131, 21.5657
0.3232, 0.3232, 21.6162
0.3333, 0.3333, 21.6667
0.3434, 0.3434, 21.7172
0.3535, 0.3535, 21.7677
0.3636, 0.3636, 21.8182
0.3737, 0.3737, 21.8687
0.3838, 0.3838, 21.9192
0.3939, 0.3939, 21.9697
0.4040, 0.4040, 22.0202
0.4141, 0.4141, 22.0707
0.4242, 0.4242, 22.1212
0.4343, 0.4343, 22.1717
0.4444, 0.4444, 22.2222
0.4545, 0.4545, 22.2727
0.4646, 0.4646, 22.3232
0.4747, 0.4747, 22.3737
0.4848, 0.4848, 22.4242
0.4949, 0.4949, 22.4747
0.5051, 0.5051, 22.5253
0.5152, 0.5152, 22.5758
0.5253, 0.5253, 22.6263
0.5354, 0.5354, 22.6768
0.5455, 0.5455, 22.7273
0.5556, 0.5556, 22.7778
0.5657, 0.5657, 22.8283
0.5758, 0.5758, 22.8788
0.5859, 0.5859, 22.9293
0.5960, 0.5960, 22.9798
0.6061, 0.6061, 23.0303
0.6162, 0.6162, 23.0808
0.6263, 0.6263, 23.1313
0.6364, 0.6364, 23.1818
0.6465, 0.6465, 23.2323
0.6566, 0.6566, 23.2828
0.6667, 0.6667, 23.3333
0.6768, 0.6768, 23.3838
0.6869, 0.6869, 23.4343
0.6970, 0.6970, 23.4848
0.7071, 0.7071, 23.5354
0.7172, 0.7172, 23.5859
0.7273, 0.7273, 23.6364
0.7374, 0.7374, 23.6869
0.7475, 0.7475, 23.7374
0.7576, 0.7576, 23.7879
0.7677, 0.7677, 23.8384
0.7778, 0.7778, 23.8889
0.7879, 0.7879, 23.9394
0.7980, 0.7980, 23.9899
0.8081, 0.8081, 24.0404
0.8182, 0.8182, 24.0909
0.8283, 0.8283, 24.1414
0.8384, 0.8384, 24.1919
0.8485, 0.8485, 24.2424
0.8586, 0.8586, 24.2929
0.8687, 0.8687, 24.3434
0.8788, 0.8788, 24.3939
0.8889, 0.8889, 24.4444
0.8990, 0.8990, 24.4949
0.9091, 0.9091, 24.5455
0.9192, 0.9192, 24.5960
0.9293, 0.9293, 24.6465
0.9394, 0.9394, 24.6970
0.9495, 0.9495, 24.7475
0.9596, 0.9596, 24.7980
0.9697, 0.9697, 24.8485
0.9798, 0.9798, 24.8990
0.9899, 0.9899, 24.9495
1.0000, 1.0000, 25.0000
