s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271524E+000, 3.1253791E+000, 1.6169149E-028, 1.6169118E-028, 1.6169035E-028, 1.6168266E-028, 1.6167998E-028, 2.8476789E-007, 1.5908919E-011
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0872723E+000, 1.2431987E+001, 3.8865442E-024, 3.8865442E-024, 3.8865442E-024, 3.8865442E-024, 3.8865441E-024, 2.6626480E-006, 2.8889208E-010
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9443229E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7038126E-001, 2.1814253E+001, 1.7927877E-013, 1.7927877E-013, 1.7927877E-013, 1.7927877E-013, 1.7927877E-013, 8.6993013E-006, 9.5337182E-010
 4.0530420E+000, 2.0755368E-001, 2.0755368E-001, 1.2854540E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3015994E-001, 2.3637960E+001, 3.2626002E-018, 3.2626002E-018, 3.2626002E-018, 3.2626002E-018, 3.2626002E-018, 1.6053778E-005, 1.8921964E-009
 5.0398757E+000, 2.0755368E-001, 2.0755368E-001, 4.4644093E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0694282E+000, 2.9288093E+001, 5.6891115E-018, 5.6891115E-018, 5.6891115E-018, 5.6891115E-018, 5.6891115E-018, 2.4583714E-005, 2.6635803E-009
 6.0124166E+000, 2.0755368E-001, 2.0755368E-001, 2.6855158E-079, 3.8640237E-004, 2.6001867E+001, 1.6513273E-284, 1.4866504E+000, 3.5744335E+001, 4.6690298E-015, 4.6690298E-015, 4.6690298E-015, 4.6690298E-015, 4.6690298E-015, 3.5181988E-005, 3.7610303E-009
 7.0067879E+000, 2.0755368E-001, 2.0755368E-001, 8.9066687E-059, 3.8640237E-004, 2.6002630E+001, 9.6354401E-270, 2.0463822E+000, 4.2259111E+001, 7.6396509E-015, 7.6396509E-015, 7.6396509E-015, 7.6396509E-015, 7.6396509E-015, 4.7960310E-005, 5.1871273E-009
 8.0155944E+000, 2.0755368E-001, 2.0755368E-001, 8.2823843E-048, 3.8640237E-004, 2.6003523E+001, 4.6902735E-251, 2.6238422E+000, 4.8660111E+001, 2.6720552E-014, 2.6720552E-014, 2.6720552E-014, 2.6720552E-014, 2.6720552E-014, 6.3216297E-005, 1.6945527E-008
 9.0137258E+000, 2.0755368E-001, 2.0755368E-001, 7.6446909E-039, 3.8640237E-004, 2.6004538E+001, 2.8233229E-229, 3.1847069E+000, 5.5314285E+001, 6.7341123E-013, 6.7341123E-013, 6.7341123E-013, 6.7341123E-013, 6.7341123E-013, 8.0626895E-005, 7.3272821E-008
 1.0011857E+001, 2.0755368E-001, 2.0755368E-001, 6.5149239E-027, 3.8640237E-004, 2.6005862E+001, 6.2177854E-211, 3.8282877E+000, 6.1928670E+001, 1.9009792E-012, 1.9009792E-012, 1.9009792E-012, 1.9009792E-012, 1.9009792E-012, 1.0014978E-004, 1.3801699E-007
 1.1003486E+001, 2.0755368E-001, 2.0755368E-001, 4.9507644E-022, 3.8640237E-004, 2.6007565E+001, 2.3215989E-179, 4.5547725E+000, 6.8627659E+001, 2.8844615E-011, 2.8844615E-011, 2.8844615E-011, 2.8844615E-011, 2.8844615E-011, 1.2178277E-004, 1.8873588E-007
