s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271522E+000, 3.1253770E+000, 1.6126797E-028, 1.6126771E-028, 1.6126743E-028, 1.6126709E-028, 1.6126435E-028, 2.8478355E-007, 9.8224795E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0873044E+000, 1.2431961E+001, 3.7694299E-024, 3.7694299E-024, 3.7694299E-024, 3.7694299E-024, 3.7694299E-024, 2.6628517E-006, 3.3670264E-013
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9457436E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7069458E-001, 2.1813788E+001, 1.7448294E-013, 1.7448294E-013, 1.7448294E-013, 1.7448294E-013, 1.7448294E-013, 8.7016507E-006, 3.8823865E-012
 4.0528099E+000, 2.0755368E-001, 2.0755368E-001, 1.2826999E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3081566E-001, 2.3638246E+001, 2.9978358E-018, 2.9978358E-018, 2.9978358E-018, 2.9978358E-018, 2.9978358E-018, 1.6080513E-005, 1.6368609E-011
 5.0391337E+000, 2.0755368E-001, 2.0755368E-001, 4.4191844E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0711166E+000, 2.9288079E+001, 3.8077603E-018, 3.8077603E-018, 3.8077603E-018, 3.8077603E-018, 3.8077603E-018, 2.4615069E-005, 2.7984542E-011
 6.0113015E+000, 2.0755368E-001, 2.0755368E-001, 2.6072161E-079, 3.8640237E-004, 2.6001867E+001, 3.5282039E-284, 1.4905119E+000, 3.5744121E+001, 3.3797194E-015, 3.3797194E-015, 3.3797194E-015, 3.3797194E-015, 3.3797194E-015, 3.5210160E-005, 3.8732953E-011
 7.0116648E+000, 2.0755368E-001, 2.0755368E-001, 1.0936298E-058, 3.8640237E-004, 2.6002637E+001, 2.5447274E-269, 2.0600976E+000, 4.2354507E+001, 6.2826055E-015, 6.2826055E-015, 6.2826055E-015, 6.2826055E-015, 6.2826055E-015, 4.8044762E-005, 5.7084617E-011
 8.0226801E+000, 2.0755368E-001, 2.0755368E-001, 1.0252974E-047, 3.8640237E-004, 2.6003515E+001, 2.6860724E-250, 2.6216341E+000, 4.8620178E+001, 2.2032722E-014, 2.2032722E-014, 2.2032722E-014, 2.2032722E-014, 2.2032722E-014, 6.3388653E-005, 1.7781745E-009
 9.0272308E+000, 2.0755368E-001, 2.0755368E-001, 1.0718449E-038, 3.8640237E-004, 2.6004545E+001, 9.2967031E-229, 3.1992315E+000, 5.5414960E+001, 5.9195557E-013, 5.9195557E-013, 5.9195557E-013, 5.9195557E-013, 5.9195557E-013, 8.0928133E-005, 1.1764251E-008
 1.0013233E+001, 2.0755368E-001, 2.0755368E-001, 3.9650101E-027, 3.8640237E-004, 2.6005859E+001, 8.0885421E-211, 3.8355486E+000, 6.1940436E+001, 1.7157792E-012, 1.7157792E-012, 1.7157792E-012, 1.7157792E-012, 1.7157792E-012, 1.0045329E-004, 2.8253373E-008
 1.1004206E+001, 2.0755368E-001, 2.0755368E-001, 4.1417356E-022, 3.8640237E-004, 2.6007552E+001, 2.8974581E-179, 4.5668383E+000, 6.8651819E+001, 2.5772724E-011, 2.5772724E-011, 2.5772724E-011, 2.5772724E-011, 2.5772724E-011, 1.2197104E-004, 4.7973580E-008
