Time,Rel. Hum,h_gas,h_water,dens,temp,pres,vapor
0,0,543.5202,75.446159,1.1988221,20,0,0
0.1,0,543.5202,75.446159,1.1988221,20,0,0
2,NaN, NaN,NaN,NaN,NaN,NaN,NaN
4.5,100,592.982,21.1992,1.212771,28.44251394,4782.71,0.013103656
5,100,592.982,21.1992,1.212771,28.44251394,4782.71,0.013103656
,,,,,,,
,,,,,,,
,,,,,,,
