d (mu-m),CNF,CVF
 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 0.815376772E+01, 0.914068534E-12, 0.112691248E-16
 0.931304857E+01, 0.651601957E-11, 0.114177646E-15
 0.104723294E+02, 0.325439122E-10, 0.794015459E-15
 0.116316103E+02, 0.130347255E-09, 0.429435078E-14
 0.127908911E+02, 0.441255092E-09, 0.190912426E-13
 0.139501720E+02, 0.130500582E-08, 0.724202546E-13
 0.151094528E+02, 0.345344495E-08, 0.240961302E-12
 0.162687337E+02, 0.832692458E-08, 0.718201292E-12
 0.174280145E+02, 0.185543411E-07, 0.194945090E-11
 0.185872954E+02, 0.386377967E-07, 0.488252791E-11
 0.197465762E+02, 0.758792730E-07, 0.114038962E-10
 0.209058571E+02, 0.141579751E-06, 0.250562925E-10
 0.220651379E+02, 0.252531556E-06, 0.521638718E-10
 0.232244187E+02, 0.432813209E-06, 0.103523576E-09
 0.243836996E+02, 0.715883661E-06, 0.196855402E-09
 0.255429804E+02, 0.114696039E-05, 0.360237970E-09
 0.267022613E+02, 0.178565421E-05, 0.636787713E-09
 0.278615421E+02, 0.270882327E-05, 0.109086850E-08
 0.290208230E+02, 0.401360057E-05, 0.181614230E-08
 0.301801038E+02, 0.582054241E-05, 0.294578939E-08
 0.313393847E+02, 0.827684159E-05, 0.466523754E-08
 0.324986655E+02, 0.115595465E-04, 0.722774332E-08
 0.336579464E+02, 0.158787275E-04, 0.109731646E-07
 0.348172272E+02, 0.214805335E-04, 0.163502512E-07
 0.359765081E+02, 0.286500849E-04, 0.239427623E-07
 0.371357889E+02, 0.377141534E-04, 0.344996905E-07
 0.382950698E+02, 0.490435843E-04, 0.489698432E-07
 0.394543506E+02, 0.630554238E-04, 0.685409903E-07
 0.406136315E+02, 0.802147197E-04, 0.946837458E-07
 0.417729123E+02, 0.101035970E-03, 0.129200305E-06
 0.429321932E+02, 0.126084202E-03, 0.174278106E-06
 0.440914740E+02, 0.155975669E-03, 0.232548441E-06
 0.452507549E+02, 0.191378163E-03, 0.307149976E-06
 0.464100357E+02, 0.233010934E-03, 0.401797107E-06
 0.475693166E+02, 0.281644238E-03, 0.520853010E-06
 0.487285974E+02, 0.338098503E-03, 0.669407203E-06
 0.498878783E+02, 0.403243146E-03, 0.853357393E-06
 0.510471591E+02, 0.477995053E-03, 0.107949533E-05
 0.522064400E+02, 0.563316730E-03, 0.135559637E-05
 0.533657208E+02, 0.660214173E-03, 0.169051236E-05
 0.545250017E+02, 0.769734463E-03, 0.209426751E-05
 0.556842825E+02, 0.892963117E-03, 0.257815681E-05
 0.568435634E+02, 0.103102123E-02, 0.315484657E-05
 0.580028442E+02, 0.118506242E-02, 0.383847663E-05
 0.591621251E+02, 0.135626962E-02, 0.464476380E-05
 0.603214059E+02, 0.154585175E-02, 0.559110596E-05
 0.614806868E+02, 0.175504026E-02, 0.669668652E-05
 0.626399676E+02, 0.198508563E-02, 0.798257852E-05
 0.637992485E+02, 0.223725377E-02, 0.947184809E-05
 0.649585293E+02, 0.251282242E-02, 0.111896567E-04
 0.661178101E+02, 0.281307757E-02, 0.131633619E-04
 0.672770910E+02, 0.313930986E-02, 0.154226155E-04
 0.684363718E+02, 0.349281101E-02, 0.179994599E-04
 0.695956527E+02, 0.387487032E-02, 0.209284206E-04
 0.707549335E+02, 0.428677127E-02, 0.242465964E-04
 0.719142144E+02, 0.472978812E-02, 0.279937449E-04
 0.730734952E+02, 0.520518274E-02, 0.322123641E-04
 0.742327761E+02, 0.571420141E-02, 0.369477704E-04
 0.753920569E+02, 0.625807184E-02, 0.422481705E-04
 0.765513378E+02, 0.683800029E-02, 0.481647294E-04
 0.777106186E+02, 0.745516881E-02, 0.547516327E-04
 0.788698995E+02, 0.811073266E-02, 0.620661435E-04
 0.800291803E+02, 0.880581786E-02, 0.701686535E-04
 0.811884612E+02, 0.954151888E-02, 0.791227282E-04
 0.823477420E+02, 0.103188965E-01, 0.889951465E-04
 0.835070229E+02, 0.111389759E-01, 0.998559340E-04
 0.846663037E+02, 0.120027446E-01, 0.111778390E-03
 0.858255846E+02, 0.129111513E-01, 0.124839107E-03
 0.869848654E+02, 0.138651036E-01, 0.139117989E-03
 0.881441463E+02, 0.148654675E-01, 0.154698254E-03
 0.893034271E+02, 0.159130655E-01, 0.171666441E-03
 0.904627080E+02, 0.170086759E-01, 0.190112405E-03
 0.916219888E+02, 0.181530320E-01, 0.210129301E-03
 0.927812697E+02, 0.193468209E-01, 0.231813576E-03
 0.939405505E+02, 0.205906833E-01, 0.255264939E-03
 0.950998314E+02, 0.218852130E-01, 0.280586336E-03
 0.962591122E+02, 0.232309560E-01, 0.307883914E-03
 0.974183931E+02, 0.246284110E-01, 0.337266982E-03
 0.985776739E+02, 0.260780288E-01, 0.368847964E-03
 0.997369548E+02, 0.275802124E-01, 0.402742350E-03
 0.100896236E+03, 0.291353174E-01, 0.439068637E-03
 0.102055516E+03, 0.307436515E-01, 0.477948270E-03
 0.103214797E+03, 0.324054755E-01, 0.519505573E-03
 0.104374078E+03, 0.341210035E-01, 0.563867683E-03
 0.105533359E+03, 0.358904031E-01, 0.611164471E-03
 0.106692640E+03, 0.377137964E-01, 0.661528463E-03
