d (mu-m),CNF,CVF
 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 0.815376772E+01, 0.920687592E-12, 0.116611359E-16
 0.931304857E+01, 0.656320411E-11, 0.118149462E-15
 0.104723294E+02, 0.327795729E-10, 0.821636309E-15
 0.116316103E+02, 0.131291141E-09, 0.444373531E-14
 0.127908911E+02, 0.444450359E-09, 0.197553561E-13
 0.139501720E+02, 0.131445578E-08, 0.749394864E-13
 0.151094528E+02, 0.347845244E-08, 0.249343451E-12
 0.162687337E+02, 0.838722246E-08, 0.743184849E-12
 0.174280145E+02, 0.186886989E-07, 0.201726506E-11
 0.185872954E+02, 0.389175851E-07, 0.505237294E-11
 0.197465762E+02, 0.764287386E-07, 0.118005955E-10
 0.209058571E+02, 0.142604975E-06, 0.259279079E-10
 0.220651379E+02, 0.254360217E-06, 0.539784593E-10
 0.232244187E+02, 0.435947346E-06, 0.107124777E-09
 0.243836996E+02, 0.721067599E-06, 0.203703271E-09
 0.255429804E+02, 0.115526589E-05, 0.372769312E-09
 0.267022613E+02, 0.179858469E-05, 0.658939194E-09
 0.278615421E+02, 0.272843871E-05, 0.112881576E-08
 0.290208230E+02, 0.404266431E-05, 0.187931915E-08
 0.301801038E+02, 0.586269079E-05, 0.304826247E-08
 0.313393847E+02, 0.833677680E-05, 0.482752384E-08
 0.324986655E+02, 0.116432528E-04, 0.747916968E-08
 0.336579464E+02, 0.159937103E-04, 0.113548802E-07
 0.348172272E+02, 0.216360808E-04, 0.169190158E-07
 0.359765081E+02, 0.288575492E-04, 0.247756422E-07
 0.371357889E+02, 0.379872535E-04, 0.356998067E-07
 0.382950698E+02, 0.493987243E-04, 0.506733223E-07
 0.394543506E+02, 0.635120280E-04, 0.709252769E-07
 0.406136315E+02, 0.807955797E-04, 0.979774418E-07
 0.417729123E+02, 0.101767603E-03, 0.133694704E-06
 0.429321932E+02, 0.126997217E-03, 0.180340595E-06
 0.440914740E+02, 0.157105138E-03, 0.240637938E-06
 0.452507549E+02, 0.192763992E-03, 0.317834584E-06
 0.464100357E+02, 0.234698240E-03, 0.415774137E-06
 0.475693166E+02, 0.283683712E-03, 0.538971553E-06
 0.487285974E+02, 0.340546780E-03, 0.692693395E-06
 0.498878783E+02, 0.406163157E-03, 0.883042529E-06
 0.510471591E+02, 0.481456365E-03, 0.111704697E-05
 0.522064400E+02, 0.567395883E-03, 0.140275254E-05
 0.533657208E+02, 0.664994991E-03, 0.174931901E-05
 0.545250017E+02, 0.775308352E-03, 0.216711931E-05
 0.556842825E+02, 0.899429344E-03, 0.266784131E-05
 0.568435634E+02, 0.103848718E-02, 0.326459197E-05
 0.580028442E+02, 0.119364383E-02, 0.397200298E-05
 0.591621251E+02, 0.136609079E-02, 0.480633789E-05
 0.603214059E+02, 0.155704575E-02, 0.578559979E-05
 0.614806868E+02, 0.176774906E-02, 0.692963939E-05
 0.626399676E+02, 0.199946026E-02, 0.826026279E-05
 0.637992485E+02, 0.225345442E-02, 0.980133853E-05
 0.649585293E+02, 0.253101855E-02, 0.115789034E-04
 0.661178101E+02, 0.283344795E-02, 0.136212664E-04
 0.672770910E+02, 0.316204259E-02, 0.159591111E-04
 0.684363718E+02, 0.351810355E-02, 0.186255943E-04
 0.695956527E+02, 0.390292948E-02, 0.216564427E-04
 0.707549335E+02, 0.431781312E-02, 0.250900455E-04
 0.719142144E+02, 0.476403800E-02, 0.289675434E-04
 0.730734952E+02, 0.524287511E-02, 0.333329127E-04
 0.742327761E+02, 0.575557974E-02, 0.382330462E-04
 0.753920569E+02, 0.630338851E-02, 0.437178275E-04
 0.765513378E+02, 0.688751640E-02, 0.498402015E-04
 0.777106186E+02, 0.750915403E-02, 0.566562388E-04
 0.788698995E+02, 0.816946503E-02, 0.642251943E-04
 0.800291803E+02, 0.886958356E-02, 0.726095605E-04
 0.811884612E+02, 0.961061202E-02, 0.818751142E-04
 0.823477420E+02, 0.103936189E-01, 0.920909573E-04
 0.835070229E+02, 0.112196367E-01, 0.103329551E-03
 0.846663037E+02, 0.120896603E-01, 0.115666745E-03
 0.858255846E+02, 0.130046450E-01, 0.129181796E-03
 0.869848654E+02, 0.139655052E-01, 0.143957387E-03
 0.881441463E+02, 0.149731130E-01, 0.160079632E-03
 0.893034271E+02, 0.160282970E-01, 0.177638080E-03
 0.904627080E+02, 0.171318411E-01, 0.196725710E-03
 0.916219888E+02, 0.182844838E-01, 0.217438920E-03
 0.927812697E+02, 0.194869173E-01, 0.239877510E-03
 0.939405505E+02, 0.207397869E-01, 0.264144659E-03
 0.950998314E+02, 0.220436907E-01, 0.290346893E-03
 0.962591122E+02, 0.233991786E-01, 0.318594052E-03
 0.974183931E+02, 0.248067530E-01, 0.348999248E-03
 0.985776739E+02, 0.262668680E-01, 0.381678816E-03
 0.997369548E+02, 0.277799294E-01, 0.416752262E-03
 0.100896236E+03, 0.293462953E-01, 0.454342205E-03
 0.102055516E+03, 0.309662759E-01, 0.494574316E-03
 0.103214797E+03, 0.326401337E-01, 0.537577243E-03
 0.104374078E+03, 0.343680844E-01, 0.583482547E-03
 0.105533359E+03, 0.361502968E-01, 0.632424614E-03
 0.106692640E+03, 0.379868939E-01, 0.684540583E-03
 0.107851921E+03, 0.398779529E-01, 0.739970253E-03
 0.109011202E+03, 0.418235065E-01, 0.798855995E-03
 0.110170482E+03, 0.438235436E-01, 0.861342661E-03
 0.111329763E+03, 0.458780095E-01, 0.927577481E-03
 0.112489044E+03, 0.479868077E-01, 0.997709969E-03
 0.113648325E+03, 0.501497999E-01, 0.107189182E-02
 0.114807606E+03, 0.523668080E-01, 0.115027679E-02
 0.115966887E+03, 0.546376139E-01, 0.123302061E-02
 0.117126167E+03, 0.569619618E-01, 0.132028087E-02
 0.118285448E+03, 0.593395582E-01, 0.141221688E-02
 0.119444729E+03, 0.617700737E-01, 0.150898959E-02
 0.120604010E+03, 0.642531439E-01, 0.161076147E-02
 0.121763291E+03, 0.667883704E-01, 0.171769637E-02
 0.122922572E+03, 0.693753223E-01, 0.182995942E-02
 0.124081853E+03, 0.720135371E-01, 0.194771690E-02
 0.125241133E+03, 0.747025218E-01, 0.207113614E-02
 0.126400414E+03, 0.774417545E-01, 0.220038538E-02
 0.127559695E+03, 0.802306852E-01, 0.233563364E-02
 0.128718976E+03, 0.830687372E-01, 0.247705065E-02
 0.129878257E+03, 0.859553082E-01, 0.262480665E-02
 0.131037538E+03, 0.888897714E-01, 0.277907237E-02
 0.132196819E+03, 0.918714770E-01, 0.294001879E-02
 0.133356099E+03, 0.948997531E-01, 0.310781713E-02
 0.134515380E+03, 0.979739067E-01, 0.328263868E-02
 0.135674661E+03, 0.101093225E+00, 0.346465467E-02
 0.136833942E+03, 0.104256978E+00, 0.365403620E-02
 0.137993223E+03, 0.107464416E+00, 0.385095406E-02
 0.139152504E+03, 0.110714775E+00, 0.405557868E-02
 0.140311784E+03, 0.114007273E+00, 0.426807999E-02
 0.141471065E+03, 0.117341118E+00, 0.448862729E-02
 0.142630346E+03, 0.120715500E+00, 0.471738918E-02
 0.143789627E+03, 0.124129601E+00, 0.495453342E-02
 0.144948908E+03, 0.127582589E+00, 0.520022683E-02
 0.146108189E+03, 0.131073624E+00, 0.545463521E-02
 0.147267470E+03, 0.134601855E+00, 0.571792322E-02
 0.148426750E+03, 0.138166424E+00, 0.599025425E-02
 0.149586031E+03, 0.141766466E+00, 0.627179039E-02
 0.150745312E+03, 0.145401107E+00, 0.656269228E-02
 0.151904593E+03, 0.149069470E+00, 0.686311904E-02
 0.153063874E+03, 0.152770673E+00, 0.717322817E-02
 0.154223155E+03, 0.156503829E+00, 0.749317548E-02
 0.155382435E+03, 0.160268049E+00, 0.782311497E-02
 0.156541716E+03, 0.164062440E+00, 0.816319879E-02
 0.157700997E+03, 0.167886110E+00, 0.851357712E-02
 0.158860278E+03, 0.171738163E+00, 0.887439813E-02
 0.160019559E+03, 0.175617706E+00, 0.924580786E-02
 0.161178840E+03, 0.179523843E+00, 0.962795020E-02
 0.162338121E+03, 0.183455683E+00, 0.100209668E-01
 0.163497401E+03, 0.187412332E+00, 0.104249969E-01
 0.164656682E+03, 0.191392903E+00, 0.108401774E-01
 0.165815963E+03, 0.195396510E+00, 0.112666430E-01
 0.166975244E+03, 0.199422269E+00, 0.117045255E-01
 0.168134525E+03, 0.203469301E+00, 0.121539543E-01
 0.169293806E+03, 0.207536733E+00, 0.126150564E-01
 0.170453087E+03, 0.211623695E+00, 0.130879558E-01
 0.171612367E+03, 0.215729323E+00, 0.135727740E-01
 0.172771648E+03, 0.219852759E+00, 0.140696296E-01
 0.173930929E+03, 0.223993151E+00, 0.145786387E-01
 0.175090210E+03, 0.228149654E+00, 0.150999140E-01
 0.176249491E+03, 0.232321429E+00, 0.156335659E-01
 0.177408772E+03, 0.236507646E+00, 0.161797016E-01
 0.178568052E+03, 0.240707481E+00, 0.167384253E-01
 0.179727333E+03, 0.244920120E+00, 0.173098384E-01
 0.180886614E+03, 0.249144755E+00, 0.178940390E-01
 0.182045895E+03, 0.253380588E+00, 0.184911226E-01
 0.183205176E+03, 0.257626830E+00, 0.191011812E-01
 0.184364457E+03, 0.261882701E+00, 0.197243039E-01
 0.185523738E+03, 0.266147430E+00, 0.203605768E-01
 0.186683018E+03, 0.270420255E+00, 0.210100828E-01
 0.187842299E+03, 0.274700425E+00, 0.216729015E-01
 0.189001580E+03, 0.278987198E+00, 0.223491096E-01
 0.190160861E+03, 0.283279843E+00, 0.230387805E-01
 0.191320142E+03, 0.287577638E+00, 0.237419844E-01
 0.192479423E+03, 0.291879871E+00, 0.244587885E-01
 0.193638703E+03, 0.296185844E+00, 0.251892568E-01
 0.194797984E+03, 0.300494866E+00, 0.259334498E-01
 0.195957265E+03, 0.304806257E+00, 0.266914252E-01
 0.197116546E+03, 0.309119350E+00, 0.274632374E-01
 0.198275827E+03, 0.313433487E+00, 0.282489375E-01
 0.199435108E+03, 0.317748022E+00, 0.290485736E-01
 0.200594389E+03, 0.322062320E+00, 0.298621905E-01
 0.201753669E+03, 0.326375755E+00, 0.306898300E-01
 0.202912950E+03, 0.330687715E+00, 0.315315305E-01
 0.204072231E+03, 0.334997598E+00, 0.323873275E-01
 0.205231512E+03, 0.339304813E+00, 0.332572534E-01
 0.206390793E+03, 0.343608780E+00, 0.341413371E-01
 0.207550074E+03, 0.347908930E+00, 0.350396050E-01
 0.208709355E+03, 0.352204706E+00, 0.359520798E-01
 0.209868635E+03, 0.356495561E+00, 0.368787817E-01
 0.211027916E+03, 0.360780960E+00, 0.378197274E-01
 0.212187197E+03, 0.365060379E+00, 0.387749310E-01
 0.213346478E+03, 0.369333305E+00, 0.397444031E-01
 0.214505759E+03, 0.373599235E+00, 0.407281519E-01
 0.215665040E+03, 0.377857679E+00, 0.417261821E-01
 0.216824320E+03, 0.382108156E+00, 0.427384960E-01
 0.217983601E+03, 0.386350196E+00, 0.437650925E-01
 0.219142882E+03, 0.390583340E+00, 0.448059680E-01
 0.220302163E+03, 0.394807142E+00, 0.458611158E-01
 0.221461444E+03, 0.399021162E+00, 0.469305266E-01
 0.222620725E+03, 0.403224975E+00, 0.480141883E-01
 0.223780006E+03, 0.407418163E+00, 0.491120858E-01
 0.224939286E+03, 0.411600321E+00, 0.502242014E-01
 0.226098567E+03, 0.415771054E+00, 0.513505150E-01
 0.227257848E+03, 0.419929974E+00, 0.524910034E-01
 0.228417129E+03, 0.424076708E+00, 0.536456409E-01
 0.229576410E+03, 0.428210889E+00, 0.548143995E-01
 0.230735691E+03, 0.432332161E+00, 0.559972483E-01
