T,U
0,50
0.04,22.1568637927911
0.08,14.2317388997613
0.12,10.4823754715794
0.16,8.2966232014011
0.2,6.86512808492065
0.24,5.85492271873872
0.28,5.10388476132724
0.32,4.52361924448122
0.36,4.06182634132859
0.4,3.68558411245806
0.44,3.37313459546044
0.48,3.10952143639277
0.52,2.88412478411863
0.56,2.68919583720076
0.6,2.51894804083476
0.64,2.36897293795866
0.68,2.23585297123416
0.72,2.11689788664299
0.76,2.00996103183074
0.8,1.91330865607979
0.84,1.8255251897402
0.88,1.74544345474647
0.92,1.67209247224568
0.96,1.6046578995641
1,1.54245166938632
1.04,1.48488842720484
1.08,1.43146705498531
1.12,1.38175604463292
1.16,1.33538181681611
1.2,1.29201931565631
1.24,1.25138437824030
1.28,1.21322750013336
1.32,1.17732870774443
1.36,1.14349331487354
1.4,1.11154839053644
1.44,1.08133980275341
1.48,1.05272973163054
1.52,1.02559456705781
1.56,0.99982312337086
1.6,0.97531511658966
1.64,0.951979860257423
1.68,0.92973514412395
1.72,0.908506266448777
1.76,0.88822519591881
1.8,0.868829843368545
1.84,0.850263426877923
1.88,0.832473916572048
1.92,0.81541354768916
1.96,0.799038392320084
2,0.783307981733849
2.04,0.768184972452938
2.08,0.753634850277574
2.12,0.739625667321036
2.16,0.726127807838955
2.2,0.713113779240159
2.24,0.700558025175481
2.28,0.688436758030531
2.32,0.676727808512267
2.36,0.66541049032829
2.4,0.654465478221073
2.44,0.643874697844347
2.48,0.633621226161549
2.52,0.623689201211815
2.56,0.614063740231517
2.6,0.6047308652424
2.64,0.595677435323839
2.68,0.586891084879082
2.72,0.578360167285574
2.76,0.570073703389394
2.8,0.562021334364821
2.84,0.554193278513454
2.88,0.546580291624041
2.92,0.53917363055528
2.96,0.531965019739944
3,0.524946620340546
3.04,0.518111001814845
3.08,0.511451115674372
3.12,0.504960271241136
3.16,0.498632113227234
3.2,0.49246060097943
3.24,0.486439989246214
3.28,0.480564810338619
3.32,0.474829857568382
3.36,0.469230169857977
3.4,0.463761017426938
3.44,0.458417888467639
3.48,0.453196476731672
3.52,0.44809266995501
3.56,0.443102539056592
3.6,0.438222328050681
3.64,0.433448444618584
3.68,0.428777451289979
3.72,0.424206057188372
3.76,0.419731110299002
3.8,0.415349590221047
3.84,0.411058601369085
3.88,0.406855366591662
3.92,0.402737221177413
3.96,0.398701607221554
4,0.394746068327716
