Time,Water ,Nozzles 1,Nozzles 2
0,0,1,0
15,2.5,1,0
15.001,2.5,2,0
30,5,2,0
30.001,5,3,0
45,7.5,3,0
45.001,7.5,3,1
60,12.5,3,1
60.001,12.5,0,0
70,12.5,0,0
