T,U
0,50
0.5,43.2122375918183
1,38.0471388194656
1.5,33.9849633303351
2,30.7065227452481
2.5,28.0049576755779
3,25.7403199670961
3.5,23.8145426817951
4,22.1568637927911
4.5,20.7149414518692
5,19.4492264824171
5.5,18.3292791691431
6,17.3312893051052
6.5,16.4363645732402
7,15.6293231806227
7.5,14.8978255420277
8,14.2317388997613
8.5,13.6226650971657
9,13.0635846344832
9.5,12.5485849180578
10,12.0726503502612
10.5,11.6314984419047
11,11.2214505900491
11.5,10.8393292580456
12,10.4823754715794
12.5,10.1481820967903
13,9.83463948720018
13.5,9.53989090455836
14,9.26229572276767
14.5,9.00039887439466
15,8.75290533815028
15.5,8.51865872299082
16,8.2966232014011
16.5,8.08586819631684
17,7.88555534417089
17.5,7.69492734889692
18,7.51329841445524
18.5,7.34004600108183
19,7.1746036964066
19.5,7.01645502941655
20,6.86512808492065
20.5,6.72019080021457
21,6.58124684521095
21.5,6.44793200330133
22,6.31991098335703
22.5,6.19687460411489
23,6.07853730116969
23.5,5.96463491425722
24,5.85492271873872
24.5,5.74917367041216
25,5.64717683715766
25.5,5.548735994619
26,5.45366836624807
26.5,5.36180349068988
27,5.27298220174216
27.5,5.18705570804793
28,5.10388476132724
28.5,5.02333890336707
29,4.94529578320434
29.5,4.86964053698503
30,4.79626522388874
30.5,4.72506831229278
31,4.65595421103194
31.5,4.58883284120309
32,4.52361924448122
32.5,4.4602332243657
33,4.39859901717139
33.5,4.3386449899266
34,4.28030336264524
34.5,4.22350995270915
35,4.16820393933408
35.5,4.11432764630206
36,4.06182634132858
36.5,4.01064805059743
37,3.96074338714194
37.5,3.91206539188164
38,3.86456938623857
38.5,3.8182128353611
39,3.77295522107503
39.5,3.72875792376435
40,3.68558411245806
40.5,3.64339864246524
41,3.60216795996085
41.5,3.56186001297738
42,3.52244416830646
42.5,3.48389113385756
43,3.44617288606002
43.5,3.40926260193065
44,3.37313459546044
44.5,3.33776425800361
45,3.30312800237823
45.5,3.26920321041138
46,3.23596818368406
46.5,3.20340209725009
47,3.17148495612187
47.5,3.1401975543317
48,3.10952143639277
48.5,3.07943886099704
49,3.04993276680023
49.5,3.02098674015515
50,2.99258498466509
