s,C,kg/m3,Pa,kg/kg,%,kJ,kJ
FDS Time,"Temp","dens","pres","H2O","humid","h_gas","h_water"
 0.0000000E+000, 2.0000000E+001, 1.1984476E+000,-6.2981206E-005, 0.0000000E+000, 0.0000000E+000, 5.4008872E+002, 7.5312000E+001
 9.9999998E-003, 2.1062014E+001, 1.2099369E+000, 1.3538683E+003, 1.2850977E-004, 6.4490623E-001, 5.5837010E+002, 4.5377301E+001
 2.0000000E-002, 2.3394062E+001, 1.2337558E+000, 4.2372485E+003, 7.0010460E-004, 3.2659686E+000, 5.8215102E+002, 3.2522480E+001
 2.9999999E-002, 2.3832388E+001, 1.2372157E+000, 4.7037505E+003, 9.1863866E-004, 4.1856029E+000, 5.8823730E+002, 2.8813948E+001
 3.9999999E-002, 2.3977792E+001, 1.2380036E+000, 4.8315104E+003, 1.0491919E-003, 4.7419478E+000, 5.9076765E+002, 2.6948915E+001
 5.5000000E-002, 2.4048861E+001, 1.2380726E+000, 4.8710251E+003, 1.1771864E-003, 5.2992963E+000, 5.9250338E+002, 2.5639086E+001
 6.4999998E-002, 2.4080873E+001, 1.2378272E+000, 4.8690549E+003, 1.2972408E-003, 5.8293846E+000, 5.9361206E+002, 2.4816768E+001
 7.5000003E-002, 2.4095139E+001, 1.2375308E+000, 4.8551450E+003, 1.3956867E-003, 6.2667617E+000, 5.9423538E+002, 2.4375032E+001
 7.9999998E-002, 2.4103529E+001, 1.2372981E+000, 4.8428645E+003, 1.4701054E-003, 6.5978233E+000, 5.9458459E+002, 2.4117962E+001
 9.0000004E-002, 2.4111028E+001, 1.2370444E+000, 4.8288505E+003, 1.5496236E-003, 6.9517589E+000, 5.9487139E+002, 2.3912704E+001
 1.0000000E-001, 2.4121400E+001, 1.2367046E+000, 4.8104273E+003, 1.6601761E-003, 7.4433714E+000, 5.9519270E+002, 2.3688754E+001
 1.1000000E-001, 2.4133120E+001, 1.2363496E+000, 4.7918455E+003, 1.7810589E-003, 7.9801022E+000, 5.9543794E+002, 2.3511508E+001
 1.2000000E-001, 2.4145596E+001, 1.2359851E+000, 4.7731879E+003, 1.9090772E-003, 8.5477079E+000, 5.9564306E+002, 2.3367649E+001
 1.3000000E-001, 2.4158343E+001, 1.2356171E+000, 4.7546671E+003, 2.0427026E-003, 9.1394662E+000, 5.9581297E+002, 2.3249044E+001
 1.4000000E-001, 2.4173829E+001, 1.2352530E+000, 4.7379722E+003, 2.1852392E-003, 9.7687089E+000, 5.9595633E+002, 2.3150274E+001
 1.5000001E-001, 2.4191437E+001, 1.2348827E+000, 4.7221182E+003, 2.3366937E-003, 1.0435449E+001, 5.9608961E+002, 2.3066932E+001
 1.6000000E-001, 2.4212514E+001, 1.2345230E+000, 4.7090959E+003, 2.4984638E-003, 1.1144721E+001, 5.9619241E+002, 2.2995867E+001
 1.7000000E-001, 2.4233842E+001, 1.2341459E+000, 4.6950316E+003, 2.6675341E-003, 1.1884662E+001, 5.9629263E+002, 2.2934007E+001
 1.8000001E-001, 2.4258135E+001, 1.2337701E+000, 4.6828015E+003, 2.8463092E-003, 1.2663900E+001, 5.9637618E+002, 2.2879989E+001
 1.9000000E-001, 2.4283887E+001, 1.2333814E+000, 4.6706461E+003, 3.0359607E-003, 1.3488219E+001, 5.9645455E+002, 2.2832313E+001
 2.0000000E-001, 2.4312224E+001, 1.2329876E+000, 4.6596585E+003, 3.2359293E-003, 1.4353835E+001, 5.9651082E+002, 2.2789470E+001
 2.0999999E-001, 2.4341721E+001, 1.2325758E+000, 4.6480625E+003, 3.4456555E-003, 1.5258897E+001, 5.9657345E+002, 2.2750958E+001
 2.2000000E-001, 2.4373646E+001, 1.2321662E+000, 4.6381421E+003, 3.6641928E-003, 1.6197688E+001, 5.9662719E+002, 2.2716178E+001
 2.3000000E-001, 2.4407528E+001, 1.2317479E+000, 4.6287936E+003, 3.8933311E-003, 1.7177976E+001, 5.9667824E+002, 2.2684439E+001
 2.3999999E-001, 2.4442780E+001, 1.2313104E+000, 4.6190364E+003, 4.1346336E-003, 1.8206671E+001, 5.9672670E+002, 2.2654908E+001
 2.5000000E-001, 2.4479467E+001, 1.2308645E+000, 4.6099550E+003, 4.3894496E-003, 1.9289082E+001, 5.9677002E+002, 2.2627067E+001
 2.5999999E-001, 2.4502389E+001, 1.2304499E+000, 4.6000706E+003, 4.6672633E-003, 2.0483693E+001, 5.9682087E+002, 2.2601039E+001
 2.7000001E-001, 2.4524293E+001, 1.2300572E+000, 4.5916537E+003, 4.9442895E-003, 2.1672929E+001, 5.9685738E+002, 2.2576524E+001
 2.8000000E-001, 2.4548097E+001, 1.2296620E+000, 4.5843298E+003, 5.2313960E-003, 2.2900909E+001, 5.9689670E+002, 2.2553443E+001
 2.8999999E-001, 2.4573900E+001, 1.2292629E+000, 4.5780025E+003, 5.5288187E-003, 2.4167990E+001, 5.9693195E+002, 2.2531412E+001
 3.0000001E-001, 2.4600561E+001, 1.2288479E+000, 4.5712337E+003, 5.8356975E-003, 2.5471437E+001, 5.9696891E+002, 2.2510076E+001
 3.1000000E-001, 2.4629138E+001, 1.2284271E+000, 4.5652200E+003, 6.1522967E-003, 2.6810427E+001, 5.9699918E+002, 2.2489485E+001
 3.1999999E-001, 2.4658405E+001, 1.2279938E+000, 4.5589691E+003, 6.4783200E-003, 2.8185015E+001, 5.9702781E+002, 2.2469251E+001
 3.3000001E-001, 2.4688591E+001, 1.2275506E+000, 4.5526592E+003, 6.8123484E-003, 2.9588291E+001, 5.9706198E+002, 2.2449444E+001
 3.4000000E-001, 2.4720390E+001, 1.2271017E+000, 4.5471161E+003, 7.1572884E-003, 3.1031277E+001, 5.9708648E+002, 2.2430016E+001
 3.4999999E-001, 2.4752294E+001, 1.2266435E+000, 4.5412796E+003, 7.5099081E-003, 3.2502116E+001, 5.9711650E+002, 2.2410718E+001
 3.6000001E-001, 2.4785615E+001, 1.2261798E+000, 4.5358488E+003, 7.8689900E-003, 3.3992845E+001, 5.9714663E+002, 2.2391624E+001
 3.7000000E-001, 2.4819316E+001, 1.2257127E+000, 4.5307078E+003, 8.2350083E-003, 3.5507086E+001, 5.9717758E+002, 2.2372585E+001
 3.8000000E-001, 2.4854098E+001, 1.2252402E+000, 4.5258971E+003, 8.6083456E-003, 3.7044786E+001, 5.9720975E+002, 2.2353722E+001
 3.8999999E-001, 2.4889167E+001, 1.2247634E+000, 4.5212073E+003, 8.9884352E-003, 3.8604793E+001, 5.9723769E+002, 2.2334802E+001
 4.0000001E-001, 2.4924351E+001, 1.2242823E+000, 4.5165950E+003, 9.3743172E-003, 4.0183140E+001, 5.9726341E+002, 2.2315822E+001
 4.1000000E-001, 2.4959583E+001, 1.2237932E+000, 4.5115831E+003, 9.7659545E-003, 4.1779671E+001, 5.9729222E+002, 2.2296806E+001
 4.1999999E-001, 2.4995074E+001, 1.2233078E+000, 4.5073076E+003, 1.0162802E-002, 4.3391417E+001, 5.9731886E+002, 2.2277640E+001
 4.3000001E-001, 2.5029769E+001, 1.2228151E+000, 4.5024699E+003, 1.0565329E-002, 4.5022837E+001, 5.9734504E+002, 2.2258392E+001
 4.4000000E-001, 2.5064847E+001, 1.2223238E+000, 4.4981014E+003, 1.0971852E-002, 4.6663807E+001, 5.9737334E+002, 2.2238936E+001
 4.4999999E-001, 2.5099585E+001, 1.2218342E+000, 4.4939580E+003, 1.1381970E-002, 4.8314380E+001, 5.9740174E+002, 2.2219369E+001
 4.6000001E-001, 2.5133935E+001, 1.2213504E+000, 4.4903821E+003, 1.1795287E-002, 4.9973052E+001, 5.9742295E+002, 2.2199532E+001
 4.7000000E-001, 2.5166954E+001, 1.2208609E+000, 4.4859515E+003, 1.2211131E-002, 5.1639742E+001, 5.9745132E+002, 2.2179421E+001
 4.7999999E-001, 2.5199217E+001, 1.2203795E+000, 4.4819824E+003, 1.2627668E-002, 5.3305312E+001, 5.9748138E+002, 2.2159334E+001
