m,Pa
pres-x,pres
 1.0000000E-003, 2.1311959E-001
 1.0204082E-001, 2.1312145E-001
 2.0408163E-001, 2.1311751E-001
 3.0612245E-001, 2.1312149E-001
 4.0816327E-001, 2.1312413E-001
 5.1020408E-001, 2.1312662E-001
 6.1224490E-001, 2.1312719E-001
 7.1428571E-001, 2.1313642E-001
 8.1632653E-001, 2.1314194E-001
 9.1836735E-001, 2.1314263E-001
 1.0204082E+000, 2.1313780E-001
 1.1224490E+000, 2.1315128E-001
 1.2244898E+000, 2.1316249E-001
 1.3265306E+000, 2.1316140E-001
 1.4285714E+000, 2.1315145E-001
 1.5306122E+000, 2.1316760E-001
 1.6326531E+000, 2.1318133E-001
 1.7346939E+000, 2.1318279E-001
 1.8367347E+000, 2.1317331E-001
 1.9387755E+000, 2.1318957E-001
 2.0408163E+000, 2.1320061E-001
 2.1428571E+000, 2.1320905E-001
 2.2448980E+000, 2.1320265E-001
 2.3469388E+000, 2.1321997E-001
 2.4489796E+000, 2.1322659E-001
 2.5510204E+000, 2.1324236E-001
 2.6530612E+000, 2.1323983E-001
 2.7551020E+000, 2.1325918E-001
 2.8571429E+000, 2.1325976E-001
 2.9591837E+000, 2.1328030E-001
 3.0612245E+000, 2.1328088E-001
 3.1632653E+000, 2.1330050E-001
 3.2653061E+000, 2.1329489E-001
 3.3673469E+000, 2.1331289E-001
 3.4693878E+000, 2.1330614E-001
 3.5714286E+000, 2.1330736E-001
 3.6734694E+000, 2.1326598E-001
 3.7755102E+000, 2.1319407E-001
 3.8775510E+000, 2.1302410E-001
 3.9795918E+000, 2.1268554E-001
 4.0816327E+000, 2.0061182E-001
 4.1836735E+000, 1.7927437E-001
 4.2857143E+000, 1.5936378E-001
 4.3877551E+000, 1.4105988E-001
 4.4897959E+000, 1.1645844E-001
 4.5918367E+000, 9.6898534E-002
 4.6938776E+000, 7.2757003E-002
 4.7959184E+000, 5.4645860E-002
 4.8979592E+000, 2.9823783E-002
 5.0000000E+000,-1.0677754E-003
 5.1020408E+000,-1.1321200E-003
 5.2040816E+000,-9.7798591E-004
 5.3061224E+000,-8.5490747E-004
 5.4081633E+000,-7.6562168E-004
 5.5102041E+000,-6.9650180E-004
 5.6122449E+000,-6.4122720E-004
 5.7142857E+000,-5.9623461E-004
 5.8163265E+000,-5.5683897E-004
 5.9183673E+000,-5.2108777E-004
 6.0204082E+000,-4.9096856E-004
 6.1224490E+000,-4.6441607E-004
 6.2244898E+000,-4.3892592E-004
 6.3265306E+000,-4.1381765E-004
 6.4285714E+000,-3.9123156E-004
 6.5306122E+000,-3.7273728E-004
 6.6326531E+000,-3.5590366E-004
 6.7346939E+000,-3.3518039E-004
 6.8367347E+000,-3.1545750E-004
 6.9387755E+000,-3.0047344E-004
 7.0408163E+000,-2.8482458E-004
 7.1428571E+000,-2.6554198E-004
 7.2448980E+000,-2.4999827E-004
 7.3469388E+000,-2.3782259E-004
 7.4489796E+000,-2.2228776E-004
 7.5510204E+000,-2.0531657E-004
 7.6530612E+000,-1.9376262E-004
 7.7551020E+000,-1.8378598E-004
 7.8571429E+000,-1.6921424E-004
 7.9591837E+000,-1.5445310E-004
 8.0612245E+000,-1.4556245E-004
 8.1632653E+000,-1.3701168E-004
 8.2653061E+000,-1.2220282E-004
 8.3673469E+000,-1.0825292E-004
 8.4693878E+000,-1.0252952E-004
 8.5714286E+000,-9.6354584E-005
 8.6734694E+000,-8.2534974E-005
 8.7755102E+000,-7.1574373E-005
 8.8775510E+000,-6.9817328E-005
 8.9795918E+000,-6.7514466E-005
 9.0816327E+000,-5.8709545E-005
 9.1836735E+000,-5.1914980E-005
 9.2857143E+000,-5.1958571E-005
 9.3877551E+000,-4.9655983E-005
 9.4897959E+000,-4.1951702E-005
 9.5918367E+000,-3.4987174E-005
 9.6938776E+000,-2.9742690E-005
 9.7959184E+000,-2.0689582E-005
 9.8979592E+000,-6.3789944E-006
 9.9990000E+000, 2.8393795E-005
