d (mu-m),CNF,CVF
 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 0.109200000E+01, 0.546000000E-08, 0.203699465E-16
 0.218400000E+01, 0.109200000E-07, 0.570358501E-15
 0.327600000E+01, 0.163800000E-07, 0.311660181E-14
 0.436800000E+01, 0.218400000E-07, 0.101034934E-13
 0.546000000E+01, 0.273000000E-07, 0.249531844E-13
 0.655200000E+01, 0.327600000E-07, 0.520655831E-13
 0.764400000E+01, 0.382200000E-07, 0.968183555E-13
 0.873600000E+01, 0.436800000E-07, 0.165566925E-12
 0.982800000E+01, 0.491400000E-07, 0.265644472E-12
 0.109200000E+02, 0.546000000E-07, 0.405361934E-12
 0.120120000E+02, 0.600600000E-07, 0.594008009E-12
 0.131040000E+02, 0.655200000E-07, 0.841849147E-12
 0.141960000E+02, 0.709800000E-07, 0.116012956E-11
 0.152880000E+02, 0.764400000E-07, 0.156107122E-11
 0.163800000E+02, 0.819000000E-07, 0.205787384E-11
 0.174720000E+02, 0.873600000E-07, 0.266471492E-11
 0.185640000E+02, 0.928200000E-07, 0.339674968E-11
 0.196560000E+02, 0.982800000E-07, 0.427011114E-11
 0.207480000E+02, 0.266564000E-05, 0.489434803E-09
 0.218400000E+02, 0.641120000E-05, 0.131834565E-08
 0.229320000E+02, 0.101567600E-04, 0.228143277E-08
 0.240240000E+02, 0.139023200E-04, 0.339244636E-08
 0.251160000E+02, 0.176478800E-04, 0.466580736E-08
 0.262080000E+02, 0.213934400E-04, 0.611660746E-08
 0.273000000E+02, 0.251390000E-04, 0.776060908E-08
 0.283920000E+02, 0.288845600E-04, 0.961424541E-08
 0.294840000E+02, 0.326301200E-04, 0.116946203E-07
 0.305760000E+02, 0.363756800E-04, 0.140195085E-07
 0.316680000E+02, 0.401212400E-04, 0.166073554E-07
 0.327600000E+02, 0.438668000E-04, 0.194772770E-07
 0.338520000E+02, 0.476123600E-04, 0.226490603E-07
 0.349440000E+02, 0.513579200E-04, 0.261431629E-07
 0.360360000E+02, 0.551034800E-04, 0.299807131E-07
 0.371280000E+02, 0.588490400E-04, 0.341835101E-07
 0.382200000E+02, 0.625946000E-04, 0.387740237E-07
 0.393120000E+02, 0.663401600E-04, 0.437753944E-07
 0.404040000E+02, 0.958892000E-04, 0.866607683E-07
 0.414960000E+02, 0.169380800E-03, 0.202330236E-06
 0.425880000E+02, 0.242872400E-03, 0.327502216E-06
 0.436800000E+02, 0.316364000E-03, 0.462683393E-06
 0.447720000E+02, 0.389855600E-03, 0.608393609E-06
 0.458640000E+02, 0.463347200E-03, 0.765165871E-06
 0.469560000E+02, 0.536838800E-03, 0.933546344E-06
 0.480480000E+02, 0.610330400E-03, 0.111409435E-05
 0.491400000E+02, 0.683822000E-03, 0.130738239E-05
 0.502320000E+02, 0.757313600E-03, 0.151399609E-05
 0.513240000E+02, 0.830805200E-03, 0.173453427E-05
 0.524160000E+02, 0.904296800E-03, 0.196960891E-05
 0.535080000E+02, 0.977788400E-03, 0.221984511E-05
 0.546000000E+02, 0.105128000E-02, 0.248588119E-05
 0.556920000E+02, 0.112477160E-02, 0.276836858E-05
 0.567840000E+02, 0.119826320E-02, 0.306797190E-05
 0.578760000E+02, 0.127175480E-02, 0.338536892E-05
 0.589680000E+02, 0.134524640E-02, 0.372125057E-05
