s,status,status,status
Time,"FDS 0.1","FDS 0.4","FDS 0.8"
 0.0000000E+000,-1,-1,-1
 5.0526194E-002,-1,-1,-1
 9.2713736E-002,-1,-1,-1
 1.2336915E-001,-1,-1,-1
 1.4529715E-001,-1,-1,-1
 1.6281879E-001,-1,-1,-1
 1.8034041E-001,-1,-1,-1
 1.9786204E-001,-1,-1,-1
 2.0614775E-001,-1,-1,-1
 2.1414627E-001,-1,-1,-1
 2.2214478E-001,-1,-1,-1
 2.2837377E-001,-1,-1,-1
 2.3522566E-001,-1,-1,-1
 2.4160677E-001,-1,-1,-1
 2.4798787E-001,-1,-1,-1
 2.5500709E-001,-1,-1,-1
 2.6202628E-001,-1,-1,-1
 2.6904550E-001,-1,-1,-1
 2.7453971E-001,-1,-1,-1
 2.8058332E-001,-1,-1,-1
 2.8723130E-001,-1,-1,-1
 2.9387930E-001,-1,-1,-1
 2.9936841E-001,-1,-1,-1
 3.0485752E-001,-1,-1,-1
 3.1089553E-001,-1,-1,-1
 3.1693354E-001,-1,-1,-1
 3.2290882E-001,-1,-1,-1
 3.2888409E-001,-1,-1,-1
 3.3485937E-001,-1,-1,-1
 3.4083465E-001,-1,-1,-1
 3.4680992E-001,-1,-1,-1
 3.5278520E-001,-1,-1,-1
 3.5876048E-001,-1,-1,-1
 3.6394843E-001,-1,-1,-1
 3.6913639E-001,-1,-1,-1
 3.7484315E-001,-1,-1,-1
 3.8054991E-001,-1,-1,-1
 3.8625666E-001,-1,-1,-1
 3.9196342E-001,-1,-1,-1
 3.9767018E-001,-1,-1,-1
 4.0337694E-001,-1,-1,-1
 4.1402221E-001,-1,-1,-1
 4.2439309E-001,-1,-1,-1
 4.3525782E-001,-1,-1,-1
 4.4069019E-001,-1,-1,-1
 4.5155492E-001,-1,-1,-1
 4.6241966E-001,-1,-1,-1
 4.7328439E-001,-1,-1,-1
 4.8292682E-001,-1,-1,-1
 4.9353352E-001,-1,-1,-1
 5.0414020E-001,-1,-1,-1
 5.1474684E-001,-1,-1,-1
 5.2005023E-001,-1,-1,-1
 5.3065687E-001,-1,-1,-1
 5.4064482E-001,-1,-1,-1
 5.5048251E-001,-1,-1,-1
