d (mu-m),CNF,CVF
 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 0.815376772E+01, 0.898252795E-01, 0.357059411E-04
 0.931304857E+01, 0.162439073E+00, 0.491244910E-04
 0.104723294E+02, 0.222624305E+00, 0.650995575E-04
 0.116316103E+02, 0.273501998E+00, 0.837540311E-04
 0.127908911E+02, 0.317203926E+00, 0.105202822E-03
 0.139501720E+02, 0.355240733E+00, 0.129554096E-03
 0.151094528E+02, 0.388715808E+00, 0.156910230E-03
 0.162687337E+02, 0.418455768E+00, 0.187368555E-03
 0.174280145E+02, 0.445093372E+00, 0.221021961E-03
 0.185872954E+02, 0.469122054E+00, 0.257959386E-03
 0.197465762E+02, 0.490932851E+00, 0.298266225E-03
 0.209058571E+02, 0.510840078E+00, 0.342024669E-03
 0.220651379E+02, 0.529099560E+00, 0.389313997E-03
 0.232244187E+02, 0.545921858E+00, 0.440210823E-03
 0.243836996E+02, 0.561482020E+00, 0.494789311E-03
 0.255429804E+02, 0.575926894E+00, 0.553121364E-03
 0.267022613E+02, 0.589380681E+00, 0.615276781E-03
 0.278615421E+02, 0.601949214E+00, 0.681323411E-03
 0.290208230E+02, 0.613723295E+00, 0.751327274E-03
 0.301801038E+02, 0.624781315E+00, 0.825352675E-03
 0.313393847E+02, 0.635191346E+00, 0.903462313E-03
 0.324986655E+02, 0.645012813E+00, 0.985717363E-03
 0.336579464E+02, 0.654297849E+00, 0.107217757E-02
 0.348172272E+02, 0.663092404E+00, 0.116290131E-02
 0.359765081E+02, 0.671437148E+00, 0.125794568E-02
 0.371357889E+02, 0.679368225E+00, 0.135736653E-02
 0.382950698E+02, 0.686917876E+00, 0.146121855E-02
 0.394543506E+02, 0.694114963E+00, 0.156955531E-02
 0.406136315E+02, 0.700985408E+00, 0.168242929E-02
 0.417729123E+02, 0.707552563E+00, 0.179989197E-02
 0.429321932E+02, 0.713837532E+00, 0.192199382E-02
 0.440914740E+02, 0.719859435E+00, 0.204878437E-02
 0.452507549E+02, 0.725635643E+00, 0.218031223E-02
 0.464100357E+02, 0.731181978E+00, 0.231662512E-02
 0.475693166E+02, 0.736512884E+00, 0.245776994E-02
 0.487285974E+02, 0.741641574E+00, 0.260379274E-02
 0.498878783E+02, 0.746580168E+00, 0.275473877E-02
 0.510471591E+02, 0.751339799E+00, 0.291065251E-02
 0.522064400E+02, 0.755930717E+00, 0.307157772E-02
 0.533657208E+02, 0.760362375E+00, 0.323755739E-02
 0.545250017E+02, 0.764643510E+00, 0.340863383E-02
 0.556842825E+02, 0.768782204E+00, 0.358484865E-02
 0.568435634E+02, 0.772785952E+00, 0.376624280E-02
 0.580028442E+02, 0.776661714E+00, 0.395285656E-02
 0.591621251E+02, 0.780415959E+00, 0.414472958E-02
 0.603214059E+02, 0.784054713E+00, 0.434190089E-02
 0.614806868E+02, 0.787583597E+00, 0.454440891E-02
 0.626399676E+02, 0.791007855E+00, 0.475229148E-02
 0.637992485E+02, 0.794332394E+00, 0.496558582E-02
 0.649585293E+02, 0.797561806E+00, 0.518432862E-02
 0.661178101E+02, 0.800700395E+00, 0.540855598E-02
 0.672770910E+02, 0.803752198E+00, 0.563830347E-02
 0.684363718E+02, 0.806721010E+00, 0.587360612E-02
 0.695956527E+02, 0.809610398E+00, 0.611449842E-02
 0.707549335E+02, 0.812423718E+00, 0.636101435E-02
 0.719142144E+02, 0.815164135E+00, 0.661318739E-02
 0.730734952E+02, 0.817834634E+00, 0.687105050E-02
 0.742327761E+02, 0.820438030E+00, 0.713463614E-02
 0.753920569E+02, 0.822976986E+00, 0.740397632E-02
 0.765513378E+02, 0.825454020E+00, 0.767910252E-02
 0.777106186E+02, 0.827871514E+00, 0.796004580E-02
 0.788698995E+02, 0.830231726E+00, 0.824683670E-02
 0.800291803E+02, 0.832536797E+00, 0.853950535E-02
 0.811884612E+02, 0.834788756E+00, 0.883808139E-02
 0.823477420E+02, 0.836989533E+00, 0.914259403E-02
 0.835070229E+02, 0.839140959E+00, 0.945307203E-02
 0.846663037E+02, 0.841244777E+00, 0.976954372E-02
 0.858255846E+02, 0.843302646E+00, 0.100920370E-01
 0.869848654E+02, 0.845316143E+00, 0.104205793E-01
 0.881441463E+02, 0.847286774E+00, 0.107551977E-01
 0.893034271E+02, 0.849215973E+00, 0.110959188E-01
 0.904627080E+02, 0.851105109E+00, 0.114427688E-01
 0.916219888E+02, 0.852955487E+00, 0.117957736E-01
 0.927812697E+02, 0.854768357E+00, 0.121549584E-01
 0.939405505E+02, 0.856544910E+00, 0.125203483E-01
 0.950998314E+02, 0.858286288E+00, 0.128919679E-01
 0.962591122E+02, 0.859993581E+00, 0.132698413E-01
 0.974183931E+02, 0.861667835E+00, 0.136539924E-01
