Time,Rel. Hum,h_gas,h_water,dens,temp,pres,vapor
10,1.327945689,-6.973323209,-0.840013761,0.01,154.3024207,-7813.33697,0.01
15,1.327945689,-6.973323209,-0.840013761,0.01,154.3024207,-7813.33697,0.01
