D_USER,USER,D_LOGNORMAL,LOGNORMAL,D_ROSIN-RAMMLER-LOGNORMAL,ROSIN-RAMMLER-LOGNORMAL,D_ROSIN-RAMMLER,ROSIN-RAMMLER,D_USER_D30,USER_D30,D_LOGNORMAL_D30,LOGNORMAL_D30,D_ROSIN-RAMMLER-LOGNORMAL_D30,ROSIN-RAMMLER-LOGNORMAL_D30,D_ROSIN-RAMMLER_D30,ROSIN-RAMMLER_D30
 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 4.3647638E-001, 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 0.0000000E+000, 1.0000000E+001, 2.3091427E-004
 3.0000000E+001, 3.5787867E-004, 3.0000000E+001, 2.2279767E-004, 3.0000000E+001, 0.0000000E+000, 3.0000000E+001, 6.5695078E-001, 3.0000000E+001, 3.9636893E-007, 3.0000000E+001, 2.0956261E-007, 3.0000000E+001, 0.0000000E+000, 3.0000000E+001, 1.5795312E-003
 5.0000000E+001, 2.0578023E-003, 5.0000000E+001, 1.4481848E-003, 5.0000000E+001, 1.0971971E-003, 5.0000000E+001, 7.5298215E-001, 5.0000000E+001, 4.9321050E-006, 5.0000000E+001, 5.2025505E-006, 5.0000000E+001, 3.8522342E-006, 5.0000000E+001, 4.2908985E-003
 7.0000000E+001, 9.5732544E-003, 7.0000000E+001, 1.0360092E-002, 7.0000000E+001, 6.2540233E-003, 7.0000000E+001, 8.0696429E-001, 7.0000000E+001, 6.8046162E-005, 7.0000000E+001, 8.6391758E-005, 7.0000000E+001, 4.4391609E-005, 7.0000000E+001, 8.6917725E-003
 9.0000000E+001, 2.8182945E-002, 9.0000000E+001, 3.1414471E-002, 9.0000000E+001, 2.5674412E-002, 9.0000000E+001, 8.4276297E-001, 9.0000000E+001, 3.8010805E-004, 9.0000000E+001, 4.6362939E-004, 9.0000000E+001, 3.8598517E-004, 9.0000000E+001, 1.4634685E-002
 1.1000000E+002, 6.1197252E-002, 1.1000000E+002, 6.2383347E-002, 1.1000000E+002, 6.1881915E-002, 1.1000000E+002, 8.6890168E-001, 1.1000000E+002, 1.4060190E-003, 1.1000000E+002, 1.4336158E-003, 1.1000000E+002, 1.5124509E-003, 1.1000000E+002, 2.2555808E-002
 1.3000000E+002, 1.0995822E-001, 1.3000000E+002, 1.0983925E-001, 1.3000000E+002, 1.1191410E-001, 1.3000000E+002, 8.9219924E-001, 1.3000000E+002, 3.8511125E-003, 1.3000000E+002, 3.9277900E-003, 1.3000000E+002, 4.0233077E-003, 1.3000000E+002, 3.4797166E-002
 1.5000000E+002, 1.7255770E-001, 1.5000000E+002, 1.6954902E-001, 1.5000000E+002, 1.7280854E-001, 1.5000000E+002, 9.1663325E-001, 1.5000000E+002, 8.6410233E-003, 1.5000000E+002, 8.6845736E-003, 1.5000000E+002, 8.7553665E-003, 1.5000000E+002, 5.4282876E-002
 1.7000000E+002, 2.3998697E-001, 1.7000000E+002, 2.4443648E-001, 1.7000000E+002, 2.3879215E-001, 1.7000000E+002, 9.2751293E-001, 1.7000000E+002, 1.6273575E-002, 1.7000000E+002, 1.7282989E-002, 1.7000000E+002, 1.6049047E-002, 1.7000000E+002, 6.7101823E-002
 1.9000000E+002, 3.1055913E-001, 1.9000000E+002, 3.1817736E-001, 1.9000000E+002, 3.0786416E-001, 1.9000000E+002, 9.3745784E-001, 1.9000000E+002, 2.7297895E-002, 1.9000000E+002, 2.9135108E-002, 1.9000000E+002, 2.6782502E-002, 1.9000000E+002, 8.2882653E-002
 2.1000000E+002, 3.8084556E-001, 2.1000000E+002, 3.9884084E-001, 2.1000000E+002, 3.7990064E-001, 2.1000000E+002, 9.4551001E-001, 2.1000000E+002, 4.2214692E-002, 2.1000000E+002, 4.6568267E-002, 2.1000000E+002, 4.1771240E-002, 2.1000000E+002, 1.0029014E-001
 2.3000000E+002, 4.4998913E-001, 2.3000000E+002, 4.7258172E-001, 2.3000000E+002, 4.4571174E-001, 2.3000000E+002, 9.5276017E-001, 2.3000000E+002, 6.1340298E-002, 2.3000000E+002, 6.7541673E-002, 2.3000000E+002, 6.0169289E-002, 2.3000000E+002, 1.2087659E-001
 2.5000000E+002, 5.1741840E-001, 2.5000000E+002, 5.3578818E-001, 2.5000000E+002, 5.2130558E-001, 2.5000000E+002, 9.5895168E-001, 2.5000000E+002, 8.5169459E-002, 2.5000000E+002, 9.0382612E-002, 2.5000000E+002, 8.6935457E-002, 2.5000000E+002, 1.4345038E-001
 2.7000000E+002, 5.8370480E-001, 2.7000000E+002, 5.9207203E-001, 2.7000000E+002, 5.7259081E-001, 2.7000000E+002, 9.6414870E-001, 2.7000000E+002, 1.1484032E-001, 2.7000000E+002, 1.1613605E-001, 2.7000000E+002, 1.0967687E-001, 2.7000000E+002, 1.6732922E-001
 2.9000000E+002, 6.4427685E-001, 2.9000000E+002, 6.4113229E-001, 2.9000000E+002, 6.3484455E-001, 2.9000000E+002, 9.6957028E-001, 2.9000000E+002, 1.4852848E-001, 2.9000000E+002, 1.4405023E-001, 2.9000000E+002, 1.4403007E-001, 2.9000000E+002, 1.9825114E-001
 3.1000000E+002, 6.8919048E-001, 3.1000000E+002, 6.8567780E-001, 3.1000000E+002, 6.8850135E-001, 3.1000000E+002, 9.7345200E-001, 3.1000000E+002, 1.7903778E-001, 3.1000000E+002, 1.7512067E-001, 3.1000000E+002, 1.8032130E-001, 3.1000000E+002, 2.2509575E-001
 3.3000000E+002, 7.3217723E-001, 3.3000000E+002, 7.3107969E-001, 3.3000000E+002, 7.3113142E-001, 3.3000000E+002, 9.7683475E-001, 3.3000000E+002, 2.1430303E-001, 3.3000000E+002, 2.1314657E-001, 3.3000000E+002, 2.1483726E-001, 3.3000000E+002, 2.5364955E-001
 3.5000000E+002, 7.7247730E-001, 3.5000000E+002, 7.6888417E-001, 3.5000000E+002, 7.7222576E-001, 3.5000000E+002, 9.7961216E-001, 3.5000000E+002, 2.5337200E-001, 3.5000000E+002, 2.5091789E-001, 3.5000000E+002, 2.5464586E-001, 3.5000000E+002, 2.8147448E-001
 3.7000000E+002, 8.0279831E-001, 3.7000000E+002, 7.9977320E-001, 3.7000000E+002, 8.0276272E-001, 3.7000000E+002, 9.8229108E-001, 3.7000000E+002, 2.8829556E-001, 3.7000000E+002, 2.8741910E-001, 3.7000000E+002, 2.8943477E-001, 3.7000000E+002, 3.1320817E-001
 3.9000000E+002, 8.2774598E-001, 3.9000000E+002, 8.3158429E-001, 3.9000000E+002, 8.3341319E-001, 3.9000000E+002, 9.8451695E-001, 3.9000000E+002, 3.2194350E-001, 3.9000000E+002, 3.3131596E-001, 3.9000000E+002, 3.3061813E-001, 3.9000000E+002, 3.4407697E-001
 4.1000000E+002, 8.5077459E-001, 4.1000000E+002, 8.5751724E-001, 4.1000000E+002, 8.5623077E-001, 4.1000000E+002, 9.8626021E-001, 4.1000000E+002, 3.5804718E-001, 4.1000000E+002, 3.7270550E-001, 4.1000000E+002, 3.6615847E-001, 4.1000000E+002, 3.7225318E-001
 4.3000000E+002, 8.6855780E-001, 4.3000000E+002, 8.7826360E-001, 4.3000000E+002, 8.7655090E-001, 4.3000000E+002, 9.8815121E-001, 4.3000000E+002, 3.9024157E-001, 4.3000000E+002, 4.1092345E-001, 4.3000000E+002, 4.0286905E-001, 4.3000000E+002, 4.0727100E-001
 4.5000000E+002, 8.8685276E-001, 4.5000000E+002, 8.9774213E-001, 4.5000000E+002, 8.9130853E-001, 4.5000000E+002, 9.8979599E-001, 4.5000000E+002, 4.2808901E-001, 4.5000000E+002, 4.5232110E-001, 4.5000000E+002, 4.3329682E-001, 4.5000000E+002, 4.4222541E-001
 4.7000000E+002, 9.0587575E-001, 4.7000000E+002, 9.1491551E-001, 4.7000000E+002, 9.0538505E-001, 4.7000000E+002, 9.9097787E-001, 4.7000000E+002, 4.7299534E-001, 4.7000000E+002, 4.9370352E-001, 4.7000000E+002, 4.6659233E-001, 4.7000000E+002, 4.7071987E-001
 4.9000000E+002, 9.1796019E-001, 4.9000000E+002, 9.2656507E-001, 4.9000000E+002, 9.1727669E-001, 4.9000000E+002, 9.9217284E-001, 4.9000000E+002, 5.0531517E-001, 4.9000000E+002, 5.2577627E-001, 4.9000000E+002, 4.9824195E-001, 4.9000000E+002, 5.0368641E-001
 5.1000000E+002, 9.2880005E-001, 5.1000000E+002, 9.3724278E-001, 5.1000000E+002, 9.2858937E-001, 5.1000000E+002, 9.9319861E-001, 5.1000000E+002, 5.3803538E-001, 5.1000000E+002, 5.5888680E-001, 5.1000000E+002, 5.3230021E-001, 5.1000000E+002, 5.3541415E-001
 5.3000000E+002, 9.3843548E-001, 5.3000000E+002, 9.4624920E-001, 5.3000000E+002, 9.3874092E-001, 5.3000000E+002, 9.9419488E-001, 5.3000000E+002, 5.7062476E-001, 5.3000000E+002, 5.9000560E-001, 5.3000000E+002, 5.6644953E-001, 5.3000000E+002, 5.7013434E-001
 5.5000000E+002, 9.4650515E-001, 5.5000000E+002, 9.5404858E-001, 5.5000000E+002, 9.4590672E-001, 5.5000000E+002, 9.9499453E-001, 5.5000000E+002, 6.0103338E-001, 5.5000000E+002, 6.2018676E-001, 5.5000000E+002, 5.9353285E-001, 5.5000000E+002, 6.0126669E-001
 5.7000000E+002, 9.5413320E-001, 5.7000000E+002, 9.5971241E-001, 5.7000000E+002, 9.5317205E-001, 5.7000000E+002, 9.9569258E-001, 5.7000000E+002, 6.3308520E-001, 5.7000000E+002, 6.4459080E-001, 5.7000000E+002, 6.2401078E-001, 5.7000000E+002, 6.3153943E-001
 5.9000000E+002, 9.6107874E-001, 5.9000000E+002, 9.6574764E-001, 5.9000000E+002, 9.5980705E-001, 5.9000000E+002, 9.9623660E-001, 5.9000000E+002, 6.6558777E-001, 5.9000000E+002, 6.7347183E-001, 5.9000000E+002, 6.5495498E-001, 5.9000000E+002, 6.5772445E-001
 6.1000000E+002, 9.6786368E-001, 6.1000000E+002, 9.7079247E-001, 6.1000000E+002, 9.6561268E-001, 6.1000000E+002, 9.9692154E-001, 6.1000000E+002, 7.0055921E-001, 6.1000000E+002, 7.0006919E-001, 6.1000000E+002, 6.8474878E-001, 6.1000000E+002, 6.9406901E-001
 6.3000000E+002, 9.7241618E-001, 6.3000000E+002, 9.7469216E-001, 6.3000000E+002, 9.7141831E-001, 6.3000000E+002, 9.9730169E-001, 6.3000000E+002, 7.2637836E-001, 6.3000000E+002, 7.2282050E-001, 6.3000000E+002, 7.1764979E-001, 6.3000000E+002, 7.1626225E-001
 6.5000000E+002, 9.7657204E-001, 6.5000000E+002, 9.7840615E-001, 6.5000000E+002, 9.7616233E-001, 6.5000000E+002, 9.9764580E-001, 6.5000000E+002, 7.5228951E-001, 6.5000000E+002, 7.4659146E-001, 6.5000000E+002, 7.4715960E-001, 6.5000000E+002, 7.3839873E-001
 6.7000000E+002, 9.8045172E-001, 6.7000000E+002, 9.8175927E-001, 6.7000000E+002, 9.8036540E-001, 6.7000000E+002, 9.9799799E-001, 6.7000000E+002, 7.7873758E-001, 6.7000000E+002, 7.7001946E-001, 6.7000000E+002, 7.7581693E-001, 6.7000000E+002, 7.6314767E-001
 6.9000000E+002, 9.8343709E-001, 6.9000000E+002, 9.8454652E-001, 6.9000000E+002, 9.8344052E-001, 6.9000000E+002, 9.9830667E-001, 6.9000000E+002, 8.0096643E-001, 6.9000000E+002, 7.9135578E-001, 6.9000000E+002, 7.9871590E-001, 6.9000000E+002, 7.8683679E-001
 7.1000000E+002, 9.8621205E-001, 7.1000000E+002, 9.8663696E-001, 7.1000000E+002, 9.8609902E-001, 7.1000000E+002, 9.9860750E-001, 7.1000000E+002, 8.2349660E-001, 7.1000000E+002, 8.0873928E-001, 7.1000000E+002, 8.2026373E-001, 7.1000000E+002, 8.1204650E-001
 7.3000000E+002, 9.8842149E-001, 7.3000000E+002, 9.8855949E-001, 7.3000000E+002, 9.8844999E-001, 7.3000000E+002, 9.9882505E-001, 7.3000000E+002, 8.4307651E-001, 7.3000000E+002, 8.2615463E-001, 7.3000000E+002, 8.4101981E-001, 7.3000000E+002, 8.3185201E-001
 7.5000000E+002, 9.9059148E-001, 7.5000000E+002, 9.9030572E-001, 7.5000000E+002, 9.9077121E-001, 7.5000000E+002, 9.9901222E-001, 7.5000000E+002, 8.6401042E-001, 7.5000000E+002, 8.4333739E-001, 7.5000000E+002, 8.6320565E-001, 7.5000000E+002, 8.5026574E-001
 7.7000000E+002, 9.9226870E-001, 7.7000000E+002, 9.9179169E-001, 7.7000000E+002, 9.9228894E-001, 7.7000000E+002, 9.9918174E-001, 7.7000000E+002, 8.8140071E-001, 7.7000000E+002, 8.5910586E-001, 7.7000000E+002, 8.7897438E-001, 7.7000000E+002, 8.6835513E-001
 7.9000000E+002, 9.9362250E-001, 7.9000000E+002, 9.9289148E-001, 7.9000000E+002, 9.9353882E-001, 7.9000000E+002, 9.9932285E-001, 7.9000000E+002, 8.9655950E-001, 7.9000000E+002, 8.7174221E-001, 7.9000000E+002, 8.9300798E-001, 7.9000000E+002, 8.8459971E-001
 8.1000000E+002, 9.9479505E-001, 8.1000000E+002, 9.9395769E-001, 8.1000000E+002, 9.9458040E-001, 8.1000000E+002, 9.9943947E-001, 8.1000000E+002, 9.1074262E-001, 8.1000000E+002, 8.8495223E-001, 8.1000000E+002, 9.0555819E-001, 8.1000000E+002, 8.9904792E-001
 8.3000000E+002, 9.9567539E-001, 8.3000000E+002, 9.9489746E-001, 8.3000000E+002, 9.9547760E-001, 8.3000000E+002, 9.9953602E-001, 8.3000000E+002, 9.2217399E-001, 8.3000000E+002, 8.9747145E-001, 8.3000000E+002, 9.1718246E-001, 8.3000000E+002, 9.1192927E-001
 8.5000000E+002, 9.9641887E-001, 8.5000000E+002, 9.9566397E-001, 8.5000000E+002, 9.9630810E-001, 8.5000000E+002, 9.9961595E-001, 8.5000000E+002, 9.3257714E-001, 8.5000000E+002, 9.0842704E-001, 8.5000000E+002, 9.2874787E-001, 8.5000000E+002, 9.2342871E-001
 8.7000000E+002, 9.9710687E-001, 8.7000000E+002, 9.9632031E-001, 8.7000000E+002, 9.9699624E-001, 8.7000000E+002, 9.9968604E-001, 8.7000000E+002, 9.4285258E-001, 8.7000000E+002, 9.1850631E-001, 8.7000000E+002, 9.3903949E-001, 8.7000000E+002, 9.3423438E-001
 8.9000000E+002, 9.9766170E-001, 8.9000000E+002, 9.9695987E-001, 8.9000000E+002, 9.9761556E-001, 8.9000000E+002, 9.9974511E-001, 8.9000000E+002, 9.5172829E-001, 8.9000000E+002, 9.2899948E-001, 8.9000000E+002, 9.4891381E-001, 8.9000000E+002, 9.4399197E-001
 9.1000000E+002, 9.9814256E-001, 9.1000000E+002, 9.9738145E-001, 9.1000000E+002, 9.9807115E-001, 9.1000000E+002, 9.9979738E-001, 9.1000000E+002, 9.5991408E-001, 9.1000000E+002, 9.3638273E-001, 9.1000000E+002, 9.5671092E-001, 9.1000000E+002, 9.5317636E-001
 9.3000000E+002, 9.9860192E-001, 9.3000000E+002, 9.9784855E-001, 9.3000000E+002, 9.9843895E-001, 9.3000000E+002, 9.9984403E-001, 9.3000000E+002, 9.6832482E-001, 9.3000000E+002, 9.4511628E-001, 9.3000000E+002, 9.6340262E-001, 9.3000000E+002, 9.6195843E-001
 9.5000000E+002, 9.9893333E-001, 9.5000000E+002, 9.9821744E-001, 9.5000000E+002, 9.9881861E-001, 9.5000000E+002, 9.9987896E-001, 9.5000000E+002, 9.7478467E-001, 9.5000000E+002, 9.5247637E-001, 9.5000000E+002, 9.7078683E-001, 9.5000000E+002, 9.6895790E-001
 9.7000000E+002, 9.9920811E-001, 9.7000000E+002, 9.9847135E-001, 9.7000000E+002, 9.9908911E-001, 9.7000000E+002, 9.9990287E-001, 9.7000000E+002, 9.8048479E-001, 9.7000000E+002, 9.5787546E-001, 9.7000000E+002, 9.7638746E-001, 9.7000000E+002, 9.7405952E-001
 9.9000000E+002, 9.9941795E-001, 9.9000000E+002, 9.9872488E-001, 9.9000000E+002, 9.9927879E-001, 9.9000000E+002, 9.9992549E-001, 9.9000000E+002, 9.8511613E-001, 9.9000000E+002, 9.6360716E-001, 9.9000000E+002, 9.8054589E-001, 9.9000000E+002, 9.7920007E-001
 1.0100000E+003, 9.9958699E-001, 1.0100000E+003, 9.9895397E-001, 1.0100000E+003, 9.9946519E-001, 1.0100000E+003, 9.9994343E-001, 1.0100000E+003, 9.8908153E-001, 1.0100000E+003, 9.6910067E-001, 1.0100000E+003, 9.8489816E-001, 1.0100000E+003, 9.8351578E-001
 1.0300000E+003, 9.9974270E-001, 1.0300000E+003, 9.9916391E-001, 1.0300000E+003, 9.9958931E-001, 1.0300000E+003, 9.9995702E-001, 1.0300000E+003, 9.9294723E-001, 1.0300000E+003, 9.7445219E-001, 1.0300000E+003, 9.8796909E-001, 1.0300000E+003, 9.8698695E-001
 1.0500000E+003, 9.9985678E-001, 1.0500000E+003, 9.9935397E-001, 1.0500000E+003, 9.9969384E-001, 1.0500000E+003, 9.9996773E-001, 1.0500000E+003, 9.9594657E-001, 1.0500000E+003, 9.7958380E-001, 1.0500000E+003, 9.9071039E-001, 1.0500000E+003, 9.8988601E-001
 1.0700000E+003, 9.9995004E-001, 1.0700000E+003, 9.9951014E-001, 1.0700000E+003, 9.9979270E-001, 1.0700000E+003, 9.9997728E-001, 1.0700000E+003, 9.9854866E-001, 1.0700000E+003, 9.8404882E-001, 1.0700000E+003, 9.9345373E-001, 1.0700000E+003, 9.9262343E-001
 1.0900000E+003, 1.0000000E+000, 1.0900000E+003, 9.9966999E-001, 1.0900000E+003, 9.9986456E-001, 1.0900000E+003, 9.9998550E-001, 1.0900000E+003, 1.0000000E+000, 1.0900000E+003, 9.8887029E-001, 1.0900000E+003, 9.9556241E-001, 1.0900000E+003, 9.9510640E-001
 1.1100000E+003, 1.0000000E+000, 1.1100000E+003, 9.9979006E-001, 1.1100000E+003, 9.9991420E-001, 1.1100000E+003, 9.9999049E-001, 1.1100000E+003, 1.0000000E+000, 1.1100000E+003, 9.9269180E-001, 1.1100000E+003, 9.9710522E-001, 1.1100000E+003, 9.9670034E-001
 1.1300000E+003, 1.0000000E+000, 1.1300000E+003, 9.9988214E-001, 1.1300000E+003, 9.9995558E-001, 1.1300000E+003, 9.9999535E-001, 1.1300000E+003, 1.0000000E+000, 1.1300000E+003, 9.9579166E-001, 1.1300000E+003, 9.9845588E-001, 1.1300000E+003, 9.9834088E-001
 1.1500000E+003, 1.0000000E+000, 1.1500000E+003, 9.9998011E-001, 1.1500000E+003, 9.9999173E-001, 1.1500000E+003, 9.9999931E-001, 1.1500000E+003, 1.0000000E+000, 1.1500000E+003, 9.9927021E-001, 1.1500000E+003, 9.9970445E-001, 1.1500000E+003, 9.9974676E-001
 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000, 1.1700000E+003, 1.0000000E+000
 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000, 1.1900000E+003, 1.0000000E+000
 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000, 1.2100000E+003, 1.0000000E+000
 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000, 1.2300000E+003, 1.0000000E+000
 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000, 1.2500000E+003, 1.0000000E+000
 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000, 1.2700000E+003, 1.0000000E+000
 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000, 1.2900000E+003, 1.0000000E+000
