T,U
0,100
0.25,86.4244751836367
0.5,76.0942776389312
0.75,67.9699266606702
1,61.4130454904962
1.25,56.0099153511557
1.5,51.4806399341922
1.75,47.6290853635903
2,44.3137275855822
2.25,41.4298829037385
2.5,38.8984529648343
2.75,36.6585583382861
3,34.6625786102105
3.25,32.8727291464805
3.5,31.2586463612453
3.75,29.7956510840553
4,28.4634777995227
4.25,27.2453301943314
4.5,26.1271692689664
4.75,25.0971698361156
5,24.1453007005224
5.25,23.2629968838094
5.5,22.4429011800982
5.75,21.6786585160912
6,20.9647509431589
6.25,20.2963641935805
6.5,19.6692789744004
6.75,19.0797818091167
7,18.5245914455353
7.25,18.0007977487893
7.5,17.5058106763006
7.75,17.0373174459816
8,16.5932464028022
8.25,16.1717363926337
8.5,15.7711106883418
8.75,15.3898546977938
9,15.0265968289105
9.25,14.6800920021637
9.5,14.3492073928132
9.75,14.0329100588331
10,13.7302561698413
10.25,13.4403816004291
10.5,13.1624936904219
10.75,12.8958640066027
11,12.6398219667141
11.25,12.3937492082298
11.5,12.1570746023394
11.75,11.9292698285144
12,11.7098454374774
12.25,11.4983473408243
12.5,11.2943536743153
12.75,11.097471989238
13,10.9073367324961
13.25,10.7236069813798
13.5,10.5459644034843
13.75,10.3741114160959
14,10.2077695226545
14.25,10.0466778067341
14.5,9.89059156640868
14.75,9.73928107397007
15,9.59253044777749
15.25,9.45013662458556
15.5,9.31190842206388
15.75,9.17766568240618
16,9.04723848896244
16.25,8.9204664487314
16.5,8.79719803434277
16.75,8.6772899798532
17,8.56060672529049
17.25,8.4470199054183
17.5,8.33640787866816
17.75,8.22865529260411
18,8.12365268265717
18.25,8.02129610119486
18.5,7.92148677428388
18.75,7.82413078376327
19,7.72913877247714
19.25,7.6364256707222
19.5,7.54591044215005
19.75,7.4575158475287
20,7.37116822491611
20.25,7.28679728493049
20.5,7.2043359199217
20.75,7.12372002595475
21,7.04488833661293
21.25,6.96778226771511
21.5,6.89234577212005
21.75,6.8185252038613
22,6.74626919092087
22.25,6.67552851600723
22.5,6.60625600475646
22.75,6.53840642082277
23,6.47193636736813
23.25,6.40680419450019
23.5,6.34296991224373
23.75,6.2803951086634
24,6.21904287278554
24.25,6.15887772199407
24.5,6.09986553360046
24.75,6.0419734803103
25,5.98516996933019
