T,U
0,150
0.06,22.5398952433657
0.12,12.1854790239858
0.18,8.34975436412262
0.24,6.35069365992896
0.3,5.12394237911771
0.36,4.29440116495592
0.42,3.69603170602323
0.48,3.24401940826023
0.54,2.89051865817729
0.6,2.60648953010564
0.66,2.37328499251115
0.72,2.17838342351687
0.78,2.01306430165926
0.84,1.87106760363545
0.9,1.74778319473257
0.96,1.63974087487212
1.02,1.54427855543633
1.08,1.45931996773864
1.14,1.38322192149621
1.2,1.31466698415204
1.26,1.25258656719391
1.32,1.19610482166466
1.38,1.14449705795443
1.44,1.09715848461126
1.5,1.05358039713933
1.56,1.01333182456888
1.62,0.976045228027264
1.68,0.94140524466836
1.74,0.909139746329298
1.8,0.879012675976379
1.86,0.850818262780998
1.92,0.824376315907629
1.98,0.79952836941581
2.04,0.776134503953462
2.1,0.754070710563723
2.16,0.733226691709623
2.22,0.713504017193156
2.28,0.694814569896288
2.34,0.677079229559404
2.4,0.660226753123975
2.46,0.64419281822384
2.52,0.628919202747661
2.58,0.614353078412178
2.64,0.600446400280755
2.7,0.587155377360848
2.76,0.574440011989527
2.82,0.562263697800431
2.88,0.550592867760396
2.94,0.539396685148651
3,0.528646771487832
3.06,0.518316966372499
3.12,0.508383114915833
3.18,0.498822879178944
3.24,0.489615570484095
3.3,0.480741999962392
3.36,0.472184345063825
3.42,0.463926030075415
3.48,0.455951618961988
3.54,0.448246719071926
3.6,0.440797894444056
3.66,0.433592587617068
3.72,0.426619048984253
3.78,0.419866272857521
3.84,0.413323939508911
3.9,0.406982362547584
3.96,0.400832441067959
4.02,0.394865616071799
4.08,0.389073830725435
4.14,0.383449494064057
4.2,0.377985447799210
4.26,0.372674935924343
4.32,0.367511576847
4.38,0.362489337806003
4.44,0.357602511357952
4.5,0.352845693740397
4.56,0.348213764939205
4.62,0.343701870305559
4.68,0.339305403583848
4.74,0.335019991225684
4.8,0.330841477877781
4.86,0.326765912942463
4.92,0.322789538119434
4.98,0.318908775846225
5.04,0.315120218562591
5.1,0.311420618731144
5.16,0.307806879552788
5.22,0.304276046321173
5.28,0.300825298365434
5.34,0.29745194153504
5.4,0.294153401184672
5.46,0.290927215620736
5.52,0.287771029974459
5.58,0.284682590469521
5.64,0.281659739054891
5.7,0.278700408376018
5.76,0.275802617059740
5.82,0.27296446529032
5.88,0.270184130655844
5.94,0.267459864245913
6,0.264789986983052
