Time,d,z
0,100,2.95
0.4,99.36781789,2.790990342
0.8,98.05735635,2.684458061
1.201,96.73158709,2.580036461
1.601,95.39666315,2.478254835
2.001,94.04880553,2.378858329
2.401,92.68749375,2.281855492
2.801,91.3121718,2.187254911
3.201,89.9222447,2.095065207
3.601,88.51707459,2.005295033
4.001,87.09613621,1.918043858
4.401,85.65918618,1.833589374
4.801,84.20546705,1.751937987
5.2,82.73782173,1.673268544
5.6,81.24796596,1.597171845
6,79.73854613,1.523833587
6.4,78.20846274,1.453238763
6.8,76.65651476,1.385372305
7.2,75.08138611,1.320219081
7.6,73.48162967,1.25776389
8,71.8556484,1.197991455
8.4,70.20167278,1.140886418
8.8,68.5177337,1.086433336
9.2,66.80162966,1.034616672
9.6,65.05088665,0.985420788
10.001,63.25818886,0.938716709
10.401,61.42929087,0.894721473
10.801,59.55612853,0.853299366
11.201,57.63450005,0.814434247
11.601,55.65951551,0.778109822
12.001,53.62542872,0.744309626
12.401,51.52541238,0.713017001
12.801,49.35125121,0.684215079
13.201,47.09291346,0.657886756
13.601,44.73793579,0.634014656
14.001,42.27051194,0.6125811
14.401,39.67008944,0.593568053
14.801,36.90910525,0.576957068
15.201,33.94911077,0.562729203
15.601,30.73361788,0.550864916
16.001,27.1734658,0.541343908
