T,U,F,
0,10,-0.75398224,
10,6.141304549,-0.28436909,
20,4.431372759,-0.14805998,
30,3.466257861,-0.09059054,
40,2.84634778,-0.06108535,
50,2.41453007,-0.04395683,
60,2.096475094,-0.03313909,
70,1.852459145,-0.02587369,
80,1.65932464,-0.02075983,
90,1.502659683,-0.01702481,
100,1.373025617,-0.01421407,
