T,U
0,10
1,9.4088260255825
2,8.8836478829534
3,8.41399862411074
4,7.99151357335163
5,7.60942776389312
6,7.26221096574395
7,6.94529827480402
8,6.65488829268062
9,6.38778990763168
10,6.14130454904962
11,5.91313468976702
12,5.70131201436411
13,5.50414049263944
14,5.32015087054756
15,5.14806399341922
16,4.98676102428623
17,4.83525909095831
18,4.69269124138261
19,4.55828984354395
20,4.43137275855822
21,4.31133176109946
22,4.1976227922557
23,4.08975771520169
24,3.98729731013888
25,3.88984529648343
26,3.79704321074897
27,3.70856600055089
28,3.62411822058420
29,3.54343073675876
30,3.46625786102105
31,3.39237485260218
32,3.32157573216085
33,3.25367136404457
34,3.18848776906922
35,3.12586463612453
36,3.06565400579694
37,3.00771910325433
38,2.95193330101341
39,2.89817919503389
40,2.84634777995227
41,2.79633771126184
42,2.74805464393044
43,2.70141063837379
44,2.65632362591532
45,2.61271692689664
46,2.57051881548612
47,2.52966212598999
48,2.49008389612052
49,2.45172504323617
50,2.41453007005224
51,2.37844679673895
52,2.34342611668749
53,2.30942177353973
54,2.27639015735281
55,2.24429011800982
56,2.21308279419777
57,2.18273145645859
58,2.15320136298011
59,2.12445962693691
60,2.09647509431589
61,2.06921823127229
62,2.0426610201602
63,2.01677686346776
64,1.99154049496499
65,1.96692789744004
66,1.94291622646097
67,1.91948373965439
68,1.89660973104065
69,1.87427447000885
70,1.85245914455353
71,1.83114580843002
72,1.81031733191608
73,1.78995735589637
74,1.77005024901064
75,1.75058106763006
76,1.73153551844614
77,1.71289992347546
78,1.69466118730019
79,1.67680676637941
80,1.65932464028022
81,1.64220328468989
82,1.62543164608176
83,1.60899911791786
84,1.59289551828057
85,1.57711106883418
86,1.56163637502511
87,1.54646240743639
88,1.53158048421871
89,1.51698225452630
90,1.50265968289105
91,1.48860503447362
92,1.47481086113454
93,1.46126998827261
94,1.44797550238182
95,1.43492073928132
96,1.42209927297642
97,1.40950490511153
98,1.39713165497853
99,1.38497375004693
100,1.37302561698413
