 Time,Duct 1,Duct 2,Duct 3,Duct 4,Duct 5,Duct 56,Duct 6,Duct 7
 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00
 0.250000000 , 86.4218750 , 38.1875000 , 38.1875000 , 48.2343750 , 29.8671875 , 10.4843750 , 25.6796875 , 107.242188
 0.500000000 , 295.273438 , 145.773438 , 145.773438 , 149.500000 , 88.6953125 , 99.2578125 , 69.1562500 , 306.023438
 0.750000000 , 550.414063 , 299.468750 , 299.468750 , 250.984375 , 138.617188 , 320.859375 , 90.8750000 , 447.726562
 1.00000000 , 769.367188 , 443.828125 , 443.828125 , 325.656250 , 166.835938 , 591.359375 , 88.1484375 , 501.601563
 1.25000000 , 734.289062 , 444.882812 , 444.890625 , 289.546875 , 135.312500 , 687.398438 , 49.4765625 , 373.156250
 1.50000000 , 720.531250 , 442.406250 , 442.406250 , 278.226563 , 125.101562 , 716.671875 , 37.1562500 , 329.851562
 1.75000000 , 716.367188 , 441.109375 , 441.117187 , 275.273438 , 122.179688 , 725.320312 , 33.5859375 , 317.265625
 2.00000000 , 715.140625 , 440.593750 , 440.593750 , 274.554688 , 121.328125 , 727.929688 , 32.5468750 , 313.625000
 2.25000000 , 714.726563 , 440.359375 , 440.359375 , 274.367188 , 121.093750 , 728.671875 , 32.2500000 , 312.562500
 2.50000000 , 714.593750 , 440.257813 , 440.257813 , 274.335938 , 121.015625 , 728.890625 , 32.1562500 , 312.242188
 2.75000000 , 714.562500 , 440.226562 , 440.226562 , 274.335938 , 121.000000 , 728.960938 , 32.1328125 , 312.156250
 3.00000000 , 714.578125 , 440.226562 , 440.226562 , 274.351562 , 121.000000 , 729.000000 , 32.1328125 , 312.140625
 3.25000000 , 714.531250 , 440.210938 , 440.210938 , 274.320313 , 120.992188 , 728.976563 , 32.1171875 , 312.101562
 3.50000000 , 714.523438 , 440.203125 , 440.203125 , 274.320313 , 120.984375 , 728.976563 , 32.1171875 , 312.101562
 3.75000000 , 714.523438 , 440.203125 , 440.203125 , 274.320313 , 120.976562 , 728.976563 , 32.1171875 , 312.101562
 4.00000000 , 714.523438 , 440.203125 , 440.203125 , 274.320313 , 120.976562 , 728.968750 , 32.1171875 , 312.093750
 4.25000000 , 714.523438 , 440.203125 , 440.203125 , 274.320313 , 120.968750 , 728.968750 , 32.1171875 , 312.093750
 4.50000000 , 714.507812 , 440.203125 , 440.203125 , 274.304688 , 120.984375 , 728.968750 , 32.1171875 , 312.093750
 4.75000000 , 714.507812 , 440.195312 , 440.203125 , 274.304688 , 120.984375 , 728.968750 , 32.1171875 , 312.093750
 5.00000000 , 714.507812 , 440.195312 , 440.203125 , 274.304688 , 120.984375 , 728.968750 , 32.1171875 , 312.093750
 5.25000000 , 714.523438 , 440.195312 , 440.203125 , 274.320313 , 120.968750 , 728.968750 , 32.1171875 , 312.093750
 5.50000000 , 714.523438 , 440.195312 , 440.203125 , 274.320313 , 120.976562 , 728.960938 , 32.1171875 , 312.101562
 5.75000000 , 714.523438 , 440.195312 , 440.203125 , 274.320313 , 120.976562 , 728.960938 , 32.1250000 , 312.101562
 6.00000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.976562 , 728.968750 , 32.1171875 , 312.101562
 6.25000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.976562 , 728.968750 , 32.1171875 , 312.101562
 6.50000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.976562 , 728.976563 , 32.1171875 , 312.101562
 6.75000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.984375 , 728.968750 , 32.1171875 , 312.101562
 7.00000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.984375 , 728.968750 , 32.1250000 , 312.101562
 7.25000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.984375 , 728.976563 , 32.1171875 , 312.117188
 7.50000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.984375 , 728.976563 , 32.1171875 , 312.117188
 7.75000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 120.984375 , 728.984375 , 32.1171875 , 312.117188
 8.00000000 , 714.531250 , 440.195312 , 440.203125 , 274.320313 , 121.000000 , 728.968750 , 32.1171875 , 312.117188
 8.25000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.968750 , 32.1250000 , 312.117188
 8.50000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.976563 , 32.1171875 , 312.117188
 8.75000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.976563 , 32.1171875 , 312.117188
 9.00000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.976563 , 32.1171875 , 312.117188
 9.25000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.976563 , 32.1250000 , 312.117188
 9.50000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.984375 , 32.1171875 , 312.117188
 9.75000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.984375 , 32.1171875 , 312.117188
 10.0000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.984375 , 32.1171875 , 312.125000
 10.2500000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.984375 , 32.1171875 , 312.109375
 10.5000000 , 714.539062 , 440.195312 , 440.203125 , 274.328125 , 120.992188 , 728.984375 , 32.1171875 , 312.109375
