 Time,Duct 1,Duct 2,Duct 3,Duct 4,Duct 5,Duct 56,Duct 6,Duct 7
 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00 , 0.00000000E+00
 0.203220338 , 225.101563 , 101.953125 , 101.953125 , 123.148438 , 75.6875000 , 37.0937500 , 63.9609375 , 269.882812
 0.406440675 , 294.031250 , 149.296875 , 149.296875 , 144.734375 , 84.6718750 , 116.117188 , 63.7812500 , 288.546875
 0.609661043 , 374.617188 , 205.656250 , 205.656250 , 169.054688 , 92.9687500 , 223.273438 , 60.0468750 , 299.664063
 0.812881351 , 454.429688 , 260.875000 , 260.875000 , 193.648438 , 100.492188 , 335.507813 , 55.1015625 , 307.039063
 1.01610172 , 523.734375 , 308.578125 , 308.578125 , 215.234375 , 106.546875 , 436.578125 , 49.9765625 , 311.132812
 1.21932197 , 578.921875 , 346.515625 , 346.515625 , 232.476563 , 111.070312 , 519.078125 , 45.3906250 , 313.031250
 1.42254245 , 620.382812 , 375.039062 , 375.039062 , 245.398438 , 114.328125 , 582.093750 , 41.6640625 , 313.710938
 1.62576270 , 650.343750 , 395.679688 , 395.679688 , 254.687500 , 116.585938 , 628.101562 , 38.8437500 , 313.812500
 1.82898307 , 671.414062 , 410.203125 , 410.203125 , 261.226562 , 118.117188 , 660.710938 , 36.7812500 , 313.671875
 2.03220344 , 685.960938 , 420.273438 , 420.273438 , 265.710938 , 119.164062 , 683.343750 , 35.3281250 , 313.492188
 2.23542380 , 695.882812 , 427.148438 , 427.148438 , 268.750000 , 119.875000 , 698.843750 , 34.3203125 , 313.320312
 2.43864417 , 702.609375 , 431.804688 , 431.804688 , 270.820312 , 120.343750 , 709.359375 , 33.6250000 , 313.203125
 2.64186430 , 707.148438 , 434.945312 , 434.953125 , 272.203125 , 120.656250 , 716.453125 , 33.1562500 , 313.093750
 2.84508491 , 710.195313 , 437.039062 , 437.046875 , 273.156250 , 120.859375 , 721.210938 , 32.8437500 , 313.031250
 3.04830503 , 712.171875 , 438.429688 , 438.437500 , 273.742188 , 121.000000 , 724.375000 , 32.6171875 , 312.953125
 3.25152540 , 713.531250 , 439.375000 , 439.382813 , 274.148438 , 121.085938 , 726.492188 , 32.4765625 , 312.921875
 3.45474577 , 714.429688 , 439.992188 , 440.000000 , 274.429688 , 121.148438 , 727.906250 , 32.3828125 , 312.906250
 3.65796614 , 715.031250 , 440.406250 , 440.406250 , 274.625000 , 121.195312 , 728.843750 , 32.3203125 , 312.882812
 3.86118650 , 715.429688 , 440.703125 , 440.703125 , 274.726562 , 121.226562 , 729.468750 , 32.2812500 , 312.867188
 4.06440687 , 715.703125 , 440.882812 , 440.882812 , 274.820313 , 121.234375 , 729.898438 , 32.2500000 , 312.867188
 4.26762724 , 715.828125 , 440.976562 , 440.976562 , 274.851562 , 121.234375 , 730.148438 , 32.2265625 , 312.820312
 4.47084761 , 716.007812 , 441.093750 , 441.093750 , 274.914063 , 121.265625 , 730.359375 , 32.2265625 , 312.875000
 4.67406797 , 716.109375 , 441.148438 , 441.156250 , 274.953125 , 121.273438 , 730.507812 , 32.2187500 , 312.882812
 4.87728834 , 716.171875 , 441.195312 , 441.203125 , 274.968750 , 121.281250 , 730.593750 , 32.2187500 , 312.875000
 5.08050871 , 716.203125 , 441.218750 , 441.226563 , 274.976562 , 121.273438 , 730.656250 , 32.2109375 , 312.867188
 5.28372860 , 716.226562 , 441.242188 , 441.250000 , 274.976562 , 121.296875 , 730.695313 , 32.2109375 , 312.875000
 5.48694897 , 716.257813 , 441.265625 , 441.273438 , 274.984375 , 121.281250 , 730.742188 , 32.2031250 , 312.875000
 5.69016933 , 716.273438 , 441.265625 , 441.273438 , 275.000000 , 121.273438 , 730.765625 , 32.2031250 , 312.875000
 5.89338970 , 716.281250 , 441.273438 , 441.281250 , 275.000000 , 121.289062 , 730.773438 , 32.1953125 , 312.875000
