s,kW,kW,kW,kW,kW,kW,,kJ
Time,"NET HEAT FLUX-LEFT","NET HEAT FLUX-RIGHT","NET HEAT FLUX-UP","NET HEAT FLUX-DOWN","NET HEAT FLUX-INSIDE","NET HEAT FLUX-FRONT","Q_IN","SENSIBLE_ENTHALPY"
 0.0000000E+000,-6.4797368E-003,-6.4797368E-003,-6.4796878E-003,-6.4796878E-003,-6.4797368E-003,-6.4797368E-003, 0.0000000E+000,-3.5368984E-002
 1.0434984E+000,-6.4807544E-003,-6.4808015E-003,-6.4800034E-003,-6.4810750E-003,-6.4808335E-003,-6.4807190E-003, 4.0575644E-002,-7.0518143E-003
 2.0027457E+000,-6.4799454E-003,-6.4797811E-003,-6.4799058E-003,-6.4797338E-003,-6.4801455E-003,-6.4795555E-003, 7.7870260E-002, 4.6920451E-002
 3.0197817E+000,-6.4797509E-003,-6.4796428E-003,-6.4798449E-003,-6.4801874E-003,-6.4797359E-003,-6.4796157E-003, 1.1741129E-001, 1.0051203E-001
 4.0632801E+000,-6.4798952E-003,-6.4797640E-003,-6.4797660E-003,-6.4793655E-003,-6.4797256E-003,-6.4798518E-003, 1.5798099E-001, 1.5676285E-001
 5.0322429E+000,-6.4798055E-003,-6.4798404E-003,-6.4799145E-003,-6.4796612E-003,-6.4798414E-003,-6.4800203E-003, 1.9565327E-001, 2.1131442E-001
 6.0012057E+000,-6.4797294E-003,-6.4799473E-003,-6.4799382E-003,-6.4786830E-003,-6.4798151E-003,-6.4798331E-003, 2.3332459E-001, 2.6382541E-001
 7.0447041E+000,-6.4800991E-003,-6.4796052E-003,-6.4799794E-003,-6.4788972E-003,-6.4797637E-003,-6.4798043E-003, 2.7389378E-001, 3.1833274E-001
 8.0136669E+000,-6.4797455E-003,-6.4800947E-003,-6.4800523E-003,-6.4794461E-003,-6.4801633E-003,-6.4798363E-003, 3.1156644E-001, 3.7281375E-001
 9.0571653E+000,-6.4795144E-003,-6.4795753E-003,-6.4800111E-003,-6.4790606E-003,-6.4797276E-003,-6.4797918E-003, 3.5213524E-001, 4.2726223E-001
 1.0037771E+001,-6.4799377E-003,-6.4797876E-003,-6.4799952E-003,-6.4791250E-003,-6.4795342E-003,-6.4799698E-003, 3.9025952E-001, 4.8174827E-001
 1.1054829E+001,-6.4796575E-003,-6.4793609E-003,-6.4802542E-003,-6.4787724E-003,-6.4798262E-003,-6.4797149E-003, 4.2980028E-001, 5.3569863E-001
 1.2023288E+001,-6.4799516E-003,-6.4796099E-003,-6.4799490E-003,-6.4791816E-003,-6.4798283E-003,-6.4797260E-003, 4.6745225E-001, 5.8959987E-001
 1.3066786E+001,-6.4797802E-003,-6.4796059E-003,-6.4798090E-003,-6.4791347E-003,-6.4795674E-003,-6.4798016E-003, 5.0802122E-001, 6.4389879E-001
 1.4035749E+001,-6.4794611E-003,-6.4794944E-003,-6.4797398E-003,-6.4786394E-003,-6.4797795E-003,-6.4794130E-003, 5.4569098E-001, 6.9816786E-001
 1.5020383E+001,-6.4795703E-003,-6.4798868E-003,-6.4802156E-003,-6.4789349E-003,-6.4796013E-003,-6.4796724E-003, 5.8397153E-001, 7.5069732E-001
 1.6054023E+001,-6.4797442E-003,-6.4796619E-003,-6.4800098E-003,-6.4788313E-003,-6.4795612E-003,-6.4794549E-003, 6.2415661E-001, 8.0512765E-001
 1.7022985E+001,-6.4799792E-003,-6.4798687E-003,-6.4801135E-003,-6.4788581E-003,-6.4796925E-003,-6.4799661E-003, 6.6182838E-001, 8.5901266E-001
 1.8034702E+001,-6.4795981E-003,-6.4798534E-003,-6.4802114E-003,-6.4789180E-003,-6.4801287E-003,-6.4796442E-003, 7.0116222E-001, 9.1217601E-001
 1.9003665E+001,-6.4793324E-003,-6.4795498E-003,-6.4803134E-003,-6.4789174E-003,-6.4798253E-003,-6.4796953E-003, 7.3883334E-001, 9.6539550E-001
 2.0047163E+001,-6.4796504E-003,-6.4796041E-003,-6.4798533E-003,-6.4783351E-003,-6.4794648E-003,-6.4796495E-003, 7.7940094E-001, 1.0193455E+000
 2.1016126E+001,-6.4796201E-003,-6.4795819E-003,-6.4806506E-003,-6.4788483E-003,-6.4797138E-003,-6.4795380E-003, 8.1707222E-001, 1.0732321E+000
