Time,CH4,C2H6,C3H8,CHO,H2plusC7H8
3,0.0002,0.000194,0.0000485,0.000923,0.000124
4,0.0002,0.000194,0.0000485,0.000923,0.000124
5,0.0002,0.000194,0.0000485,0.000923,0.000124
