s,kg,kg,kg, , , , 
Time, "pCO2", "pH2O", "pCO", "lCO2", "lH2O", "lCO", 
0.000000, 0.001404, 0.012215, 0.000000, 0.001404, 0.012215, 0.000000, 
0.500000, 0.002023, 0.012752, 0.000717, 0.002020, 0.012750, 0.000715, 
1.000000, 0.004259, 0.014695, 0.003311, 0.004233, 0.014672, 0.003281, 
1.500000, 0.006670, 0.016789, 0.006108, 0.006665, 0.016784, 0.006102, 
2.000000, 0.009373, 0.019137, 0.009244, 0.009524, 0.019268, 0.009419, 
2.510000, 0.011905, 0.021336, 0.012181, 0.012184, 0.021577, 0.012504, 
3.010000, 0.014469, 0.023563, 0.015155, 0.014697, 0.023760, 0.015420, 
3.510000, 0.017065, 0.025817, 0.018166, 0.017212, 0.025944, 0.018337, 
4.010000, 0.019710, 0.028115, 0.021235, 0.019772, 0.028168, 0.021307, 
4.510000, 0.022551, 0.030582, 0.024530, 0.022564, 0.030592, 0.024545, 
5.010000, 0.025319, 0.032986, 0.027741, 0.025398, 0.033053, 0.027832, 
5.510000, 0.027245, 0.034659, 0.029975, 0.027368, 0.034764, 0.030118, 
6.010000, 0.027393, 0.034788, 0.030147, 0.027493, 0.034872, 0.030263, 
6.510000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
7.010000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
7.510000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
8.010000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
8.510000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
9.010000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
9.510000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
10.010000, 0.027396, 0.034790, 0.030150, 0.027495, 0.034874, 0.030265, 
