Time,O2,C3H8,CO,CO2,H2O,Temperature,Pressure
1.25,0.0227,0,0.03975,0.11816,0.09858,2545.37,384975
1.5,0.0227,0,0.03975,0.11816,0.09858,2545.37,384975
1.75,0.0227,0,0.03975,0.11816,0.09858,2545.37,384975
2,0.0227,0,0.03975,0.11816,0.09858,2545.37,384975
