Mixture_Fraction, FDS_Temperature, FDS_Fuel, FDS_Ox, FDS_Prod
0.000000, 0.000000, 0.000000, 1.000000, 0.000000
0.014386, 0.257235, 0.000000, 0.739311, 0.260689
0.028364, 0.509486, 0.000000, 0.486016, 0.513984
0.041952, 0.756897, 0.000000, 0.239805, 0.760195
0.055185, 0.999999, 0.000000, 0.000000, 1.000000
0.100000, 0.966827, 0.047432, 0.000000, 0.952568
0.200000, 0.889101, 0.153273, 0.000000, 0.846727
0.300000, 0.805811, 0.259114, 0.000000, 0.740886
0.400000, 0.716337, 0.364955, 0.000000, 0.635045
0.500000, 0.619964, 0.470796, 0.000000, 0.529204
0.600000, 0.515860, 0.576636, 0.000000, 0.423364
0.700000, 0.403059, 0.682477, 0.000000, 0.317523
0.800000, 0.280421, 0.788318, 0.000000, 0.211682
0.900000, 0.146602, 0.894159, 0.000000, 0.105841
1.000000, 0.000000, 1.000000, 0.000000, 0.000000
