Time,C3H8,O2,CO,CO2,H2,H2O,N2,Temperature,Pressure
   0.00100,   0.06032,   0.21885,   0.00001,   0.00059,   0.00000,   0.00722,   0.71302, 450.02058,   3.99159
   0.20100,   0.05954,   0.21800,   0.00148,   0.00059,   0.00014,   0.00723,   0.71302, 454.43200, 857.93504
   0.40100,   0.05867,   0.21704,   0.00315,   0.00059,   0.00030,   0.00723,   0.71302, 459.44828,1830.52102
   0.60100,   0.05767,   0.21594,   0.00506,   0.00059,   0.00048,   0.00724,   0.71302, 465.22711,2954.10849
   0.80100,   0.05649,   0.21465,   0.00730,   0.00059,   0.00070,   0.00726,   0.71302, 472.01397,4278.34102
   1.00100,   0.05508,   0.21309,   0.00998,   0.00060,   0.00095,   0.00728,   0.71302, 480.19623,5881.66444
   1.20100,   0.05333,   0.21115,   0.01332,   0.00060,   0.00127,   0.00731,   0.71302, 490.43129,7897.69988
   1.40100,   0.05102,   0.20860,   0.01771,   0.00060,   0.00168,   0.00736,   0.71302, 503.96434,10580.77805
   1.60100,   0.04771,   0.20491,   0.02402,   0.00061,   0.00228,   0.00745,   0.71302, 523.60241,14507.79690
   1.80100,   0.04200,   0.19851,   0.03488,   0.00064,   0.00330,   0.00766,   0.71302, 558.11004,21494.71627
   2.00100,   0.02255,   0.17590,   0.07187,   0.00075,   0.00668,   0.00923,   0.71302, 687.29844,48244.48052
   2.20100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05197,361726.18758
   2.40100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   2.60100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   2.80100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   3.00100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   3.20100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   3.40100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   3.60100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   3.80100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   4.00100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   4.20100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   4.40100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   4.60100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
   4.80100,  -0.00000,   0.00000,   0.00001,   0.18118,   0.00000,   0.10579,   0.71302,2904.05204,361726.19555
