Time,CH4,C3H8,O2,CO2,H2O
0.6,0.2642,0.3567,5.55E-17,0.2279,0.1512
0.7,0.2642,0.3567,5.55E-17,0.2279,0.1512
0.8,0.2642,0.3567,5.55E-17,0.2279,0.1512
0.9,0.2642,0.3567,5.55E-17,0.2279,0.1512
1,0.2642,0.3567,5.55E-17,0.2279,0.1512
