Time,O2,CH4,CO2,H2O
0,0.8,0.1,0,0
0.05,0.64259,0.060647,0.10822,0.088544
0.1,0.54714,0.036786,0.17384,0.14223
0.15,0.48925,0.022314,0.21364,0.17479
0.2,0.45412,0.013531,0.23779,0.19456
0.25,0.43285,0.0082116,0.25242,0.20652
0.3,0.41992,0.0049799,0.26131,0.2138
0.35,0.41208,0.0030206,0.26669,0.2182
0.4,0.40733,0.0018331,0.26996,0.22088
0.45,0.40445,0.0011115,0.27194,0.2225
0.5,0.4027,0.00067434,0.27315,0.22348
0.55,0.40164,0.00040918,0.27387,0.22408
0.6,0.40099,0.0002481,0.27432,0.22444
0.65,0.4006,0.00015055,0.27459,0.22466
0.7,0.40037,9.13E-05,0.27475,0.22479
0.75,0.40022,5.54E-05,0.27485,0.22488
0.8,0.40013,3.36E-05,0.27491,0.22492
0.85,0.40008,2.04E-05,0.27494,0.22495
0.9,0.40005,1.24E-05,0.27497,0.22497
0.95,0.40003,7.50E-06,0.27498,0.22498
1,0.40002,4.55E-06,0.27499,0.22499
