Time,O2,C3H8,CO,CO2,H2O
0,0.219,0.06,0,0,0
0.2,0.20934,0.056224,0.0071292,0.00012489,0.0061788
0.4,0.20028,0.052739,0.01344,0.00066343,0.011882
0.6,0.1917,0.049518,0.018919,0.0017143,0.017152
0.8,0.18354,0.04654,0.023599,0.0032953,0.022025
1,0.17577,0.043785,0.02753,0.0053848,0.026534
1.2,0.16834,0.041234,0.030771,0.0079423,0.030708
1.4,0.16125,0.038873,0.033388,0.010914,0.034571
1.6,0.15448,0.036686,0.035446,0.01424,0.03815
1.8,0.148,0.034661,0.037008,0.017864,0.041465
2,0.14182,0.032783,0.038133,0.021727,0.044536
2.2,0.13592,0.031043,0.038878,0.025777,0.047384
2.4,0.13029,0.029429,0.039296,0.029963,0.050025
2.6,0.12492,0.027932,0.039432,0.03424,0.052475
2.8,0.11981,0.026542,0.03933,0.038571,0.05475
3,0.11494,0.02525,0.039026,0.042922,0.056863
3.2,0.11031,0.02405,0.038556,0.047261,0.058827
3.4,0.1059,0.022934,0.037949,0.051564,0.060654
3.6,0.10171,0.021895,0.037231,0.055811,0.062354
3.8,0.097727,0.020926,0.036423,0.059984,0.063939
4,0.093944,0.020024,0.035547,0.06407,0.065416
4.2,0.09035,0.019181,0.034618,0.068057,0.066794
4.4,0.086936,0.018394,0.033651,0.071937,0.068082
4.6,0.083694,0.017659,0.032659,0.075703,0.069286
4.8,0.080615,0.01697,0.031651,0.079351,0.070412
5,0.07769,0.016325,0.030638,0.082879,0.071468
5.2,0.074912,0.015721,0.029625,0.086285,0.072457
5.4,0.072274,0.015153,0.028619,0.089568,0.073386
5.6,0.069767,0.01462,0.027626,0.092729,0.074259
5.8,0.067385,0.014118,0.026649,0.095769,0.075079
6,0.06512,0.013646,0.025691,0.098691,0.075852
6.2,0.062967,0.013201,0.024755,0.1015,0.07658
6.4,0.06092,0.012781,0.023844,0.10419,0.077267
6.6,0.058971,0.012385,0.022957,0.10677,0.077916
6.8,0.057118,0.01201,0.022098,0.10925,0.078529
7,0.055352,0.011655,0.021265,0.11162,0.07911
7.2,0.053671,0.011319,0.020461,0.11389,0.079659
7.4,0.052069,0.011001,0.019684,0.11607,0.08018
7.6,0.050543,0.010699,0.018934,0.11815,0.080675
7.8,0.049086,0.010412,0.018213,0.12014,0.081144
8,0.047697,0.010139,0.017518,0.12205,0.081591
8.2,0.046371,0.0098792,0.016851,0.12388,0.082016
8.4,0.045105,0.0096318,0.016209,0.12563,0.082421
8.6,0.043896,0.009396,0.015593,0.12731,0.082807
8.8,0.042739,0.009171,0.015001,0.12891,0.083175
9,0.041634,0.0089561,0.014434,0.13045,0.083526
9.2,0.040576,0.0087507,0.01389,0.13192,0.083862
9.4,0.039564,0.0085542,0.013368,0.13333,0.084184
9.6,0.038594,0.0083662,0.012869,0.13468,0.084492
9.8,0.037665,0.0081859,0.01239,0.13597,0.084787
10,0.036775,0.0080131,0.011931,0.13721,0.085069
