Time,C3H8,O2,CO,CO2,H2O,N2,Temperature,Pressure
   0.05000,   0.05901,   0.21648,   0.00188,   0.00001,   0.00162,   0.72100,  54.92680,12259.32687
   0.45000,   0.05178,   0.19749,   0.01453,   0.00177,   0.01343,   0.72100, 306.54660,101673.02631
   0.85000,   0.04566,   0.17991,   0.02265,   0.00735,   0.02343,   0.72100, 527.84489,181482.94263
   1.25000,   0.04048,   0.16356,   0.02693,   0.01613,   0.03190,   0.72100, 728.57381,254332.57872
   1.65000,   0.03611,   0.14855,   0.02841,   0.02689,   0.03904,   0.72100, 910.75037,320525.92307
   2.05000,   0.03242,   0.13496,   0.02803,   0.03852,   0.04506,   0.72100,1074.60574,379966.53558
   2.45000,   0.02931,   0.12280,   0.02655,   0.05018,   0.05016,   0.72100,1220.47128,432728.94784
   2.85000,   0.02666,   0.11202,   0.02449,   0.06134,   0.05448,   0.72100,1349.23434,479154.43960
   3.25000,   0.02440,   0.10252,   0.02221,   0.07169,   0.05818,   0.72100,1462.26006,519781.07011
   3.65000,   0.02246,   0.09417,   0.01993,   0.08109,   0.06135,   0.72100,1561.17261,555242.33684
   4.05000,   0.02078,   0.08684,   0.01776,   0.08952,   0.06409,   0.72100,1647.66214,586187.66286
   4.45000,   0.01932,   0.08040,   0.01577,   0.09703,   0.06648,   0.72100,1723.35521,613232.90685
   4.85000,   0.01803,   0.07473,   0.01399,   0.10367,   0.06858,   0.72100,1789.74254,636935.02742
   5.25000,   0.01690,   0.06971,   0.01241,   0.10955,   0.07043,   0.72100,1848.14785,657782.80463
   5.65000,   0.01589,   0.06527,   0.01102,   0.11474,   0.07208,   0.72100,1899.72230,676196.99820
   6.05000,   0.01499,   0.06132,   0.00982,   0.11933,   0.07355,   0.72100,1945.45338,692535.40946
   6.45000,   0.01418,   0.05778,   0.00877,   0.12340,   0.07487,   0.72100,1986.18071,707100.03981
   6.85000,   0.01345,   0.05461,   0.00786,   0.12702,   0.07607,   0.72100,2022.61435,720144.74070
   7.25000,   0.01279,   0.05174,   0.00707,   0.13025,   0.07715,   0.72100,2055.35311,731882.51322
   7.65000,   0.01218,   0.04915,   0.00638,   0.13314,   0.07814,   0.72100,2084.90143,742492.07167
   8.05000,   0.01163,   0.04680,   0.00579,   0.13574,   0.07905,   0.72100,2111.68435,752123.54212
   8.45000,   0.01112,   0.04465,   0.00527,   0.13809,   0.07988,   0.72100,2136.06056,760903.30308
   8.85000,   0.01064,   0.04268,   0.00481,   0.14021,   0.08065,   0.72100,2158.33334,768938.04016
   9.25000,   0.01021,   0.04087,   0.00441,   0.14215,   0.08137,   0.72100,2178.75985,776318.11328
   9.65000,   0.00980,   0.03920,   0.00406,   0.14391,   0.08203,   0.72100,2197.55879,783120.33487
