s, kg, kg, kg, kg, kg
Time, depo_all, depo_none, depo_gravitational, depo_thermophoretic, depo_turbulent
0.010000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.500000, 0.000003, 0.000003, 0.000003, 0.000003, 0.000003
1.000000, 0.000022, 0.000022, 0.000022, 0.000022, 0.000022
1.500000, 0.000063, 0.000063, 0.000063, 0.000063, 0.000063
2.000000, 0.000112, 0.000112, 0.000112, 0.000112, 0.000112
2.510000, 0.000179, 0.000179, 0.000179, 0.000179, 0.000179
3.010000, 0.000229, 0.000229, 0.000229, 0.000229, 0.000229
3.510000, 0.000279, 0.000280, 0.000280, 0.000279, 0.000280
4.010000, 0.000342, 0.000344, 0.000344, 0.000342, 0.000344
4.510000, 0.000394, 0.000397, 0.000397, 0.000394, 0.000397
5.010000, 0.000431, 0.000434, 0.000434, 0.000431, 0.000434
5.510000, 0.000441, 0.000444, 0.000444, 0.000441, 0.000444
6.010000, 0.000441, 0.000445, 0.000445, 0.000441, 0.000445
6.510000, 0.000440, 0.000445, 0.000445, 0.000440, 0.000445
7.010000, 0.000439, 0.000445, 0.000445, 0.000439, 0.000445
7.510000, 0.000439, 0.000445, 0.000445, 0.000439, 0.000445
8.010000, 0.000438, 0.000445, 0.000445, 0.000438, 0.000445
8.510000, 0.000438, 0.000445, 0.000445, 0.000438, 0.000445
9.010000, 0.000437, 0.000445, 0.000445, 0.000437, 0.000445
9.510000, 0.000437, 0.000445, 0.000445, 0.000437, 0.000445
10.010000, 0.000436, 0.000445, 0.000445, 0.000436, 0.000445
