Time,O2,C3H8,CO,CO2,H2O
0,0.219,0.06,0,0,0
0.2,0.2093,0.056225,0.0070479,0.00024906,0.0061769
0.4,0.20006,0.052743,0.013025,0.0013016,0.011874
0.6,0.19115,0.049533,0.017877,0.0033088,0.017128
0.8,0.18255,0.046574,0.021657,0.0062445,0.021969
1,0.17425,0.04385,0.024466,0.010004,0.026427
1.2,0.16625,0.041343,0.026424,0.014448,0.03053
1.4,0.15857,0.039037,0.027657,0.019428,0.034303
1.6,0.15123,0.036917,0.028287,0.024799,0.037772
1.8,0.14422,0.034967,0.02843,0.030421,0.040962
2,0.13756,0.033175,0.028183,0.036189,0.043896
2.2,0.13125,0.031524,0.027648,0.041981,0.046597
2.4,0.12529,0.030004,0.026884,0.04774,0.049084
2.6,0.11967,0.028602,0.025975,0.053375,0.051378
2.8,0.11438,0.027309,0.024949,0.058868,0.053495
3,0.10941,0.026112,0.023868,0.064157,0.055453
3.2,0.10474,0.025005,0.022744,0.069246,0.057265
3.4,0.10036,0.023977,0.02162,0.074095,0.058947
3.6,0.096251,0.023023,0.020499,0.078719,0.060508
3.8,0.092393,0.022135,0.019398,0.083112,0.061961
4,0.088775,0.021307,0.018332,0.08727,0.063315
4.2,0.085379,0.020535,0.017304,0.091202,0.064579
4.4,0.082192,0.019813,0.016323,0.094911,0.065761
4.6,0.079199,0.019136,0.015389,0.098408,0.066868
4.8,0.076387,0.018502,0.014506,0.1017,0.067906
5,0.073742,0.017906,0.013672,0.1048,0.068882
5.2,0.071254,0.017344,0.012889,0.10771,0.0698
5.4,0.068911,0.016816,0.012154,0.11045,0.070665
5.6,0.066701,0.016316,0.011466,0.11303,0.071483
5.8,0.064616,0.015844,0.010822,0.11546,0.072255
6,0.062649,0.015397,0.01022,0.11775,0.072986
6.2,0.060788,0.014974,0.0096578,0.1199,0.073679
6.4,0.059025,0.014572,0.0091341,0.12193,0.074337
6.6,0.057357,0.01419,0.0086454,0.12385,0.074962
6.8,0.055774,0.013826,0.0081899,0.12565,0.075558
7,0.05427,0.013479,0.0077652,0.12736,0.076125
7.2,0.052841,0.013148,0.0073693,0.12897,0.076666
7.4,0.051481,0.012832,0.0069999,0.1305,0.077184
7.6,0.050185,0.01253,0.0066551,0.13195,0.077678
7.8,0.04895,0.012241,0.0063335,0.13332,0.078151
8,0.04777,0.011964,0.0060327,0.13463,0.078605
8.2,0.046644,0.011698,0.0057519,0.13587,0.079039
8.4,0.045567,0.011443,0.0054892,0.13704,0.079456
8.6,0.044535,0.011198,0.0052432,0.13817,0.079857
8.8,0.043548,0.010963,0.005013,0.13923,0.080243
9,0.0426,0.010736,0.0047973,0.14025,0.080613
9.2,0.041692,0.010518,0.0045952,0.14122,0.08097
9.4,0.04082,0.010308,0.0044057,0.14215,0.081314
9.6,0.039981,0.010106,0.0042276,0.14304,0.081645
9.8,0.039175,0.0099102,0.0040603,0.14389,0.081965
10,0.0384,0.0097216,0.003903,0.1447,0.082274
