Time,O2,CH4,CO,CO2,H2O
0,0.8,0.1,0,0,0
0.05,0.67327,0.060648,0.052971,0.024726,0.088382
0.1,0.58449,0.036772,0.064287,0.072446,0.14201
0.15,0.5234,0.022285,0.058513,0.12126,0.17454
0.2,0.48196,0.013501,0.047317,0.16295,0.19427
0.25,0.45418,0.0081784,0.035858,0.19556,0.20623
0.3,0.43573,0.004954,0.026079,0.21976,0.21347
0.35,0.42358,0.0030008,0.018438,0.23713,0.21786
0.4,0.41562,0.0018177,0.012768,0.24928,0.22051
0.45,0.41044,0.0011011,0.0087029,0.25764,0.22212
0.5,0.40708,0.00066696,0.0058586,0.2633,0.2231
0.55,0.40492,0.00040401,0.0039043,0.26709,0.22369
0.6,0.40352,0.00024472,0.0025803,0.26961,0.22405
0.65,0.40263,0.00014824,0.0016934,0.27126,0.22426
0.7,0.40206,8.98E-05,0.0011048,0.27235,0.22439
0.75,0.4017,5.44E-05,0.00071708,0.27306,0.22447
0.8,0.40147,3.29E-05,0.00046335,0.27351,0.22452
0.85,0.40132,2.00E-05,0.00029823,0.27381,0.22455
0.9,0.40123,1.21E-05,0.00019129,0.274,0.22457
0.95,0.40117,7.32E-06,0.00012231,0.27412,0.22458
1,0.40114,4.43E-06,7.80E-05,0.2742,0.22459
