Time,C3H8,O2,CO2,H2O,N2,Temperature,Pressure
   0.05000,   0.05138,   0.18773,   0.02580,   0.01408,   0.72100, 486.64499,162804.38249
   0.25000,   0.03260,   0.11960,   0.08203,   0.04477,   0.72100,1313.58717,457157.51411
   0.45000,   0.02385,   0.08784,   0.10823,   0.05907,   0.72100,1670.11853,586573.10162
   0.65000,   0.01879,   0.06947,   0.12339,   0.06735,   0.72100,1873.03685,660913.80336
   0.85000,   0.01549,   0.05750,   0.13328,   0.07274,   0.72100,2004.43057,709315.71172
   1.05000,   0.01316,   0.04907,   0.14023,   0.07654,   0.72100,2096.53844,743369.71398
   1.25000,   0.01144,   0.04282,   0.14539,   0.07935,   0.72100,2164.71545,768641.73395
   1.45000,   0.01011,   0.03800,   0.14936,   0.08152,   0.72100,2217.22584,788144.47228
   1.65000,   0.00906,   0.03417,   0.15253,   0.08325,   0.72100,2258.91755,803652.63864
   1.85000,   0.00820,   0.03105,   0.15510,   0.08465,   0.72100,2292.82378,816280.18727
   2.05000,   0.00748,   0.02846,   0.15723,   0.08582,   0.72100,2320.94007,826761.85859
   2.25000,   0.00688,   0.02628,   0.15903,   0.08680,   0.72100,2344.63331,835601.97781
   2.45000,   0.00637,   0.02442,   0.16057,   0.08764,   0.72100,2364.87134,843158.25272
   2.65000,   0.00593,   0.02281,   0.16190,   0.08836,   0.72100,2382.35873,849691.46377
   2.85000,   0.00554,   0.02140,   0.16306,   0.08900,   0.72100,2397.62060,855396.22193
   3.05000,   0.00520,   0.02017,   0.16408,   0.08956,   0.72100,2411.05639,860420.70957
   3.25000,   0.00489,   0.01907,   0.16499,   0.09005,   0.72100,2422.97531,864879.75006
   3.45000,   0.00462,   0.01809,   0.16580,   0.09049,   0.72100,2433.62048,868863.69675
   3.65000,   0.00438,   0.01720,   0.16653,   0.09089,   0.72100,2443.18569,872444.62301
   3.85000,   0.00416,   0.01641,   0.16718,   0.09125,   0.72100,2451.82731,875680.72353
   4.05000,   0.00396,   0.01568,   0.16778,   0.09157,   0.72100,2459.67291,878619.50168
   4.25000,   0.00378,   0.01502,   0.16833,   0.09187,   0.72100,2466.82758,881300.11741
   4.45000,   0.00361,   0.01442,   0.16882,   0.09214,   0.72100,2473.37871,883755.14217
   4.65000,   0.00346,   0.01386,   0.16928,   0.09239,   0.72100,2479.39954,886011.88877
   4.85000,   0.00332,   0.01335,   0.16971,   0.09262,   0.72100,2484.95192,888093.43152
   5.05000,   0.00319,   0.01288,   0.17010,   0.09284,   0.72100,2490.08844,890019.39782
