s,kg,kg, , , , , 
Time, "pCO2", "pH2O", "lfCO2", "lfH2O", "loCO2", "loH2O", 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.500000, 0.004215, 0.003451, 0.004215, 0.003451, 0.004215, 0.003451, 
1.000000, 0.011767, 0.009633, 0.011765, 0.009633, 0.011767, 0.009634, 
1.500000, 0.018738, 0.015341, 0.018736, 0.015340, 0.018738, 0.015341, 
2.000000, 0.025348, 0.020752, 0.025343, 0.020750, 0.025347, 0.020752, 
2.510000, 0.031725, 0.025974, 0.031718, 0.025970, 0.031725, 0.025973, 
3.010000, 0.037837, 0.030977, 0.037827, 0.030972, 0.037836, 0.030976, 
3.510000, 0.043642, 0.035730, 0.043629, 0.035722, 0.043641, 0.035728, 
4.010000, 0.049214, 0.040291, 0.049197, 0.040281, 0.049211, 0.040289, 
4.510000, 0.054560, 0.044669, 0.054540, 0.044656, 0.054557, 0.044666, 
5.010000, 0.059691, 0.048869, 0.059666, 0.048853, 0.059687, 0.048866, 
5.510000, 0.064612, 0.052898, 0.064584, 0.052879, 0.064608, 0.052894, 
6.010000, 0.069329, 0.056759, 0.069297, 0.056739, 0.069325, 0.056756, 
6.510000, 0.073848, 0.060459, 0.073812, 0.060436, 0.073843, 0.060455, 
7.010000, 0.078175, 0.064002, 0.078136, 0.063976, 0.078170, 0.063997, 
7.510000, 0.082319, 0.067395, 0.082275, 0.067365, 0.082313, 0.067389, 
8.010000, 0.086287, 0.070643, 0.086237, 0.070609, 0.086279, 0.070636, 
8.510000, 0.090086, 0.073754, 0.090030, 0.073714, 0.090075, 0.073744, 
9.010000, 0.093726, 0.076733, 0.093660, 0.076687, 0.093711, 0.076721, 
9.510000, 0.097213, 0.079588, 0.097137, 0.079533, 0.097193, 0.079571, 
10.010000, 0.100554, 0.082324, 0.100465, 0.082258, 0.100528, 0.082302, 
