Time,CH4_CO,CH4_H2,C3H8_CO,C3H8_H2O,C2H6_CO,C2H6_H2
2.00E-05,0.004456,0.000641,0.001982,0.017624,0.029206,0.003153
4.00E-05,0.004456,0.000641,0.001982,0.017624,0.029206,0.003153
6.00E-05,0.004456,0.000641,0.001982,0.017624,0.029206,0.003153
8.00E-05,0.004456,0.000641,0.001982,0.017624,0.029206,0.003153
1.00E-04,0.004456,0.000641,0.001982,0.017624,0.029206,0.003153
