Time,O2,CO,CO2,N2,Temperature,Pressure
   0.00100,   0.16546,   0.28956,   0.00016,   0.54483,  21.37993, 471.76279
   0.40100,   0.14261,   0.24956,   0.06300,   0.54483, 540.62448,174191.04259
   0.80100,   0.11977,   0.20956,   0.12585,   0.54483, 986.39823,316223.65075
   1.20100,   0.09692,   0.16956,   0.18870,   0.54483,1391.60662,438801.56112
   1.60100,   0.07407,   0.12956,   0.25154,   0.54483,1772.40094,547910.04997
   2.00100,   0.05122,   0.08956,   0.31439,   0.54483,2135.63632,646193.48263
   2.40100,   0.02838,   0.04956,   0.37724,   0.54483,2484.96403,735131.02638
   2.80100,   0.00553,   0.00956,   0.44008,   0.54483,2822.62272,815680.31295
   3.20100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   3.60100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   4.00100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   4.40100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   4.80100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   5.20100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   5.60100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   6.00100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   6.40100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   6.80100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   7.20100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   7.60100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   8.00100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   8.40100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   8.80100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   9.20100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
   9.60100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
  10.00100,  -0.00001,  -0.00014,   0.45532,   0.54483,2902.92536,834030.16201
