Time,O2,CH4,CO,CO2,H2O
0,0.1,0.4,0.4,0,0
0.05,0.036739,0.38946,0.3631,0.086984,0.023723
0.1,0.013481,0.38558,0.34953,0.11896,0.032445
0.15,0.0049463,0.38416,0.34455,0.1307,0.035645
0.2,0.0039977,0.384,0.344,0.132,0.036001
0.25,0.0039977,0.384,0.344,0.132,0.036001
0.3,0.0039977,0.384,0.344,0.132,0.036001
0.35,0.0039977,0.384,0.344,0.132,0.036001
0.4,0.0039977,0.384,0.344,0.132,0.036001
0.45,0.0039977,0.384,0.344,0.132,0.036001
0.5,0.0039977,0.384,0.344,0.132,0.036001
0.55,0.0039977,0.384,0.344,0.132,0.036001
0.6,0.0039977,0.384,0.344,0.132,0.036001
0.65,0.0039977,0.384,0.344,0.132,0.036001
0.7,0.0039977,0.384,0.344,0.132,0.036001
0.75,0.0039977,0.384,0.344,0.132,0.036001
0.8,0.0039977,0.384,0.344,0.132,0.036001
0.85,0.0039977,0.384,0.344,0.132,0.036001
0.9,0.0039977,0.384,0.344,0.132,0.036001
0.95,0.0039977,0.384,0.344,0.132,0.036001
1,0.0039977,0.384,0.344,0.132,0.036001
