Time,O2,C3H8,CO2,H2O
0.100000,0.098336,0.027106,0.099450,0.054280
0.200000,0.044185,0.012182,0.144136,0.078669
0.300000,0.019854,0.005476,0.164214,0.089628
0.400000,0.008921,0.002463,0.173236,0.094552
0.500000,0.004008,0.001109,0.177290,0.096765
0.600000,0.001801,0.000500,0.179112,0.097759
0.700000,0.000809,0.000227,0.179930,0.098206
0.800000,0.000364,0.000104,0.180298,0.098406
0.900000,0.000163,0.000049,0.180463,0.098497
1.000000,0.000073,0.000024,0.180537,0.098537
1.100000,0.000033,0.000013,0.180571,0.098555
1.200000,0.000015,0.000008,0.180586,0.098564
1.300000,0.000007,0.000006,0.180592,0.098567
1.400000,0.000003,0.000005,0.180595,0.098569
1.500000,0.000001,0.000004,0.180597,0.098570
1.600000,0.000001,0.000004,0.180597,0.098570
1.700000,0.000000,0.000004,0.180598,0.098570
1.800000,0.000000,0.000004,0.180598,0.098570
1.900000,0.000000,0.000004,0.180598,0.098570
2.000000,0.000000,0.000004,0.180598,0.098570
